Gene,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
Mix_1,111.645547502,85.5215377014,242.454293202,318.436164403,285.330376703,146.952796702,402.070735123,154.521631001,134.310117803,138.692074503,203.750503403,164.837050601,1278.73463711,99.0867338012,194.546297701,124.225327505,375.778994901,234.235503603,118.648291703,1517.4359625,389.532887703,151.691180503,357.454448703,268.662168221,227.840782107,314.054207703,1017.5364718,150.999292607,187.962879501,3733.5109739,130.221689301,132.171555203,413.895728309,291.305772207
Mix_2,120.760472541,102.161203335,269.682309966,206.237663205,277.371710368,154.582484585,392.741090383,149.702127136,129.826020245,140.324463563,194.689375533,134.521945561,1198.43986812,107.140870373,196.689754599,118.944525577,359.628432616,220.594993859,112.063789075,1547.05912238,363.104268555,158.937919856,353.073999069,240.343416972,201.896415027,308.129311921,1032.99007594,148.09898647,211.103833579,3687.42216316,126.789983916,143.913796218,428.960719892,310.271561838
Mix_3,118.845140589,85.5337709985,226.614727259,217.445100421,313.461470262,154.464799622,381.651305008,167.552165418,132.461930578,135.214936315,198.99996189,133.563132879,1211.57665425,111.327317192,194.404559988,118.082769775,337.963221421,208.804897756,111.073193583,1587.38311618,370.723989872,153.660074855,342.579800293,227.46180596,223.247589462,309.416669493,1197.81162563,145.168110972,188.517363065,4070.12841016,138.370304458,153.151827654,441.052698332,406.597772496
Mix_4,123.142384605,91.778718306,235.812289113,180.72085984,311.02862556,158.485324466,388.167381346,164.897870044,131.786549809,137.002624624,195.535587768,125.817639466,1200.98778071,113.153870223,195.952336034,116.716395533,331.462733048,207.02977325,110.720598208,1610.8664013,358.349716606,157.503949565,342.983805493,227.786524539,211.896317269,307.022465026,1139.51069276,146.238303463,198.802356285,3895.00975621,134.434917691,153.753215367,448.622763818,396.50234624
Mix_5,124.162806495,118.915920076,286.046472139,154.752762108,293.217892199,150.458013356,363.534273538,160.263005739,127.505417548,141.179735445,185.849173901,114.459105354,1132.63868675,111.906566015,197.517925173,116.545704965,349.616856661,210.321138362,115.107369314,1516.6337915,361.933871898,158.54105461,346.9225096,210.300880116,202.704036853,304.197863001,1167.92855606,144.886994954,199.76659078,4049.46185666,135.466909288,155.441542537,410.837284339,274.397979109
Mix_6,108.421466284,97.344508573,268.577940154,349.562241587,264.392177327,141.141880558,384.503151986,149.564452091,131.596299484,139.355274464,202.192762702,174.653506074,1265.09576724,99.0290228807,196.296962624,121.208461255,394.431577206,238.690572693,121.718920134,1437.06936434,398.311064729,149.385791474,364.059273804,256.480064676,229.40022105,312.477403894,1071.93812686,146.961111792,189.992795449,4001.81896461,130.626427603,132.8214008,387.004400512,258.52190021
Mix_7,123.539679965,93.5098142816,250.213066841,155.431862885,291.255673951,159.711611181,377.942960605,157.419528417,128.49989033,135.089628301,196.707259673,119.618069594,1161.6382924,117.594590272,199.912594145,113.977397143,331.456656901,201.577935553,106.832545392,1610.61791185,352.121215655,161.269511178,344.242181132,218.267163212,198.694925174,306.064677488,1174.53125814,144.490749035,210.298594212,4025.73896995,133.71079726,158.171618077,462.087467947,450.143567918
Mix_8,116.24489053,98.4098099706,281.576992607,235.133356459,237.432904901,153.381692791,393.04171943,136.958933335,129.31791405,135.872532489,206.506694183,145.034512948,1206.12221923,110.722352897,201.382503513,119.141959456,370.897248858,225.410068896,106.594029685,1514.64195283,370.535115244,162.579886609,358.059612181,251.882036161,195.334872112,308.791333827,1048.57599006,148.529102343,225.210895401,3797.80386429,118.54443899,142.753071171,448.176562355,378.194241177
Mix_9,120.039421609,99.1780671503,262.312472796,200.21355722,289.591639289,154.221547894,381.423182926,154.304716076,130.726534101,137.338405223,195.833365854,131.627522811,1190.71898316,110.308743317,198.328411593,116.366159847,347.753927177,216.847195317,112.235473056,1556.46496226,364.5261789,156.370059475,350.068775128,234.783801736,208.544237647,307.043097927,1118.04384618,147.512647191,203.983848533,3904.21981146,132.001779668,150.867097545,432.252808717,346.53412703
Mix_10,115.080462986,105.953703991,280.321883069,251.655892035,258.682047782,142.478848571,357.265531699,148.020095096,128.010038204,134.583477707,196.533165171,146.17301293,1160.89114713,107.366178593,198.18105222,115.750482983,369.090479378,223.478834555,114.066378645,1447.98566482,378.380216173,152.945647567,350.366136532,225.941610792,209.173002027,303.500953488,1156.99778769,141.519090188,196.623708424,4151.84233958,129.458730096,144.217278854,400.527093618,305.022079975
