Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_18,164.8087,356.2629,863.8716,522.5657,477.9451,98.4705,414.7973,298.0962,1238.7798,241.2279,644.5011,142.4569,238.4157,41.3115,175.2886,245.5876,317.9364,467.4993,1754.3882,161.2369,361.529
mix_19,224.0794,406.1956,860.9792,518.1148,455.8339,103.1619,409.2749,246.6468,923.5135,317.546,534.2224,133.053,198.2113,40.6033,163.4412,341.4959,472.8319,612.4916,1514.519,210.5745,325.2139
mix_20,224.0173,528.2324,438.8572,544.6412,491.636,115.4739,417.6571,189.4146,434.4134,429.8599,369.0994,130.3999,139.3365,46.6799,146.4255,596.5698,784.8722,958.5254,1168.376,307.6214,293.7737
mix_21,250.5996,433.0056,769.5789,524.7803,437.1767,108.0736,409.9438,222.5759,689.9129,354.549,460.4592,130.8904,170.4879,42.3875,152.9961,435.1157,612.46,732.6159,1244.2149,250.0441,321.3935
mix_22,236.0265,395.8983,920.5142,532.468,455.3925,102.6206,403.956,241.6407,869.9851,344.7032,512.2904,131.5657,193.6783,40.5305,162.2611,317.9216,465.3163,623.8511,1544.1198,213.123,325.4902
mix_23,246.1135,401.337,984.4589,519.8139,449.9594,105.0386,413.3421,253.1673,886.1736,312.332,528.3071,135.0349,197.1817,41.2603,165.3549,346.5936,537.9141,572.4934,1418.1208,214.9544,338.4532
mix_24,151.1154,343.279,847.8317,529.779,485.4913,96.9969,411.594,301.8089,1306.8971,251.0175,680.6415,144.0305,246.361,40.357,176.7042,225.1631,281.9556,455.4565,1886.7168,154.9933,362.8177
mix_25,181.7887,420.4623,557.8058,517.9124,461.1029,104.1356,420.9178,250.122,934.7836,304.5157,547.8821,134.427,201.7539,41.8464,162.1357,422.4593,556.1759,639.4933,1357.2344,222.3064,330.3832
mix_26,198.5233,476.294,342.4032,558.9954,487.9477,113.0765,411.8127,189.83,493.4114,485.6135,378.2011,127.3032,146.0315,46.9898,153.5155,569.4638,741.9247,897.3838,1355.3367,298.8245,294.1275
mix_27,232.3689,337.4964,1290.1176,532.126,452.0972,100.0555,394.1997,279.8338,1112.5888,292.8972,600.8852,138.9424,220.0801,40.3316,170.2928,205.2645,332.5648,469.525,1679.0413,172.4709,345.6981
mix_28,245.6339,512.2332,543.849,540.9683,466.2099,117.1123,418.5736,194.0071,454.6061,435.0557,374.4175,127.1931,146.3274,45.6498,150.0034,570.2609,797.4923,879.213,1172.101,298.0334,287.2007
mix_29,197.2395,407.9566,706.6744,530.3697,463.0866,103.3358,410.9939,244.82,908.7016,334.9387,532.0258,132.8657,196.0059,40.2759,160.3632,373.229,504.2937,635.5961,1545.7513,214.8238,329.616
mix_30,212.2339,407.7838,748.7392,528.509,459.7075,103.3018,410.2191,245.8221,889.9175,328.8974,521.6397,133.0135,195.7075,40.5793,160.8515,367.7895,514.989,631.8647,1522.2249,215.9903,330.1113
mix_31,195.2235,410.1445,692.3791,523.7712,457.1122,102.9374,414.8978,250.2991,922.5509,318.5161,549.1932,133.0623,203.3821,40.6805,163.6334,386.0979,543.8555,603.396,1491.6505,215.5893,333.8063
mix_32,217.6505,424.4938,702.8876,530.9944,450.0285,105.5828,410.7969,228.8531,796.2822,350.5286,495.1073,131.5993,182.2842,40.4375,157.7502,418.1079,580.2491,689.4452,1350.798,235.0324,326.454
mix_33,211.1678,397.8174,851.692,527.0271,449.8407,103.226,409.7291,254.6621,961.2726,315.8431,560.5619,134.1567,205.8143,41.358,164.5363,337.6754,489.3849,560.7284,1514.446,206.753,329.1818
