T cells	CD8 T cells	Cytotoxic lymphocytes	NK cells	B lineage	Monocytic lineage	Myeloid dendritic cells	Neutrophils	Endothelial cells	Fibroblasts
mix_1	1239.79003055621	1665.971564523	1193.53478066457	208.528816129	49.092440134875	282.535625489	218.1711326618	242.410916099417	453.846492772061	987.36948432575
mix_2	892.609784330357	1089.333384143	797.898492063857	132.403880351571	161.229380620625	91.4859375904286	164.319496797	227.137617036667	657.461450233636	851.9456821655
mix_3	569.781690952143	436.514777296	402.135407867286	75.6806501795714	80.2200132145	325.167677731571	214.344052882	251.047009107333	393.316314830364	2135.91314691413
mix_4	1554.313935873	1147.849476994	846.696249904	142.396876803714	122.223520966125	107.997484796143	75.7215725284	231.19865048475	129.894253445455	1454.1792246935
mix_5	1152.05151428364	1075.117533009	805.750152247429	129.603073972571	112.506823236625	193.872329842286	109.6990039664	243.079702663167	111.79365577703	2044.51923764163
mix_6	1487.25744944264	1221.926921634	941.784037156286	151.324436742286	121.099180263375	104.844545098571	88.1497979892	227.206029480417	214.067422615394	1494.74532909913
mix_7	857.805505204	896.826628757	658.730579995143	97.2441159665714	117.3770922245	202.805518779571	133.3045046658	243.30588364875	206.59073289903	2209.3432979845
mix_8	893.270629453	1060.056869316	800.087301353143	139.315977528571	72.72422782825	127.204258331	151.685676045	237.1506720935	474.091306275333	1764.18362945812
mix_9	1752.75563818621	1503.940632643	1098.48825773057	180.089370931286	121.9928971135	132.356092435857	86.3648248944	232.60505832825	168.749553628939	1075.86162449138
mix_10	1206.27261930143	468.879437463	418.017534678286	53.0567311498571	146.842369733	328.278174601429	198.5764089456	240.25772804425	286.160384036697	1137.58580398887
mix_11	1322.46832471857	1605.185808793	1175.55635681657	193.507818826429	169.05835636625	288.591906702571	236.2851553734	235.010007904	495.214931886576	236.30511038975
mix_12	1333.61111012136	980.149578412	775.007600436143	124.307892536429	47.043692965875	191.249518371143	125.1549225798	239.437752764167	154.139423169636	1980.93187527937
mix_13	1573.50689187771	752.510423175	627.556308181571	90.6269486751429	46.2601400125	145.764219977286	193.602742807	254.919042309917	498.054191083545	827.009691661375
mix_14	1650.54786022071	1097.904106137	838.410604358571	123.450649645714	144.60771245225	289.660400942143	160.9877110122	238.774093659667	201.605850824667	773.264622402125
mix_15	1097.66028317679	1042.240129029	808.940103247	134.771145947714	93.514140905	151.691980450286	140.5892434472	238.763660473417	355.546555553485	1756.23346810363
mix_16	491.311643907286	386.967646734	349.830772881571	57.6285423291429	142.521504785125	199.587914243857	186.227272687	247.228598696583	426.33851755697	2444.6989432035
mix_17	599.0457543225	273.056584152	294.263608734571	26.620503437	112.63082119975	134.988895173857	162.4750397793	248.407466432	435.061579777576	2407.471009373
mix_18	1274.02252597643	151.05323761	218.242268732571	12.1913207198571	95.397880390125	257.382330412857	224.6840962188	249.078121695583	565.841991425242	595.409840419
mix_19	644.361372558786	637.729987702	462.951575165286	70.8393518248571	31.229516905	298.941795485286	232.9594639732	254.051697495417	502.24159167597	2013.9394374105
mix_20	1399.844841036	997.011194753	793.472978171	118.963892605857	142.987291973	74.4937728802857	138.5808321633	237.266123013417	522.437473406636	807.665830966
mix_21	1032.83551151943	278.349936513	299.368507586286	35.6684613664286	53.516547805625	160.107653654429	160.4322095862	256.3988709235	398.296583945333	2057.85861543238
mix_22	1452.2913348865	1343.373824339	970.158873598571	170.276420203	94.255230212625	364.798100976	183.4814222288	237.919384501833	142.382983796121	1047.33619576287
mix_23	1502.23777311957	1203.70303981	918.321274921286	154.575332524714	136.83946345775	225.046629425286	213.2638899974	235.364989436333	489.001239284909	453.231058578
mix_24	1190.16426722821	872.465445499	674.649409437	110.394955316143	92.8930037285	131.826855335571	105.1114372722	240.624536939083	216.480980190394	2037.0107094375
mix_25	1706.23680446486	1214.422492467	943.976512175571	152.539127839571	135.531755046375	115.777017878	102.3967081292	230.8871566525	301.246281368242	833.1889476675
mix_26	924.304850489214	209.773705783	240.011743723857	27.4244811945714	35.161865642125	294.704205624857	212.0603984194	252.581742779417	408.834923331182	1962.61422273312
mix_27	1442.97486953364	1543.643248573	1111.15743704329	182.407091669429	122.6736904185	223.400228246	190.0168698982	241.010432179917	399.253399675758	753.027876302625
mix_28	1369.34761116221	1138.998386256	816.762420224714	126.380630856429	109.28536650775	115.929066968714	120.6847005206	236.316543780167	308.155936892727	1377.50511168075
mix_29	1268.55740179414	1469.440733165	1074.80546942671	176.292172109714	100.163017117	240.177445330714	184.5022480708	238.899024565583	398.523286907303	862.369832329375
mix_30	1607.25244287407	1151.95055099	875.295718592857	138.010967907857	105.224010854	146.773765768714	97.5903124708	235.870179702083	224.684188000333	1236.5266406765
mix_31	1366.54189367886	911.855367457	696.441749652	105.363219436714	67.409256750875	237.859336076143	170.7805668266	240.96170038275	377.397267078909	1082.174261892
mix_32	1743.02078897336	1185.791462405	797.499787432429	123.761301408286	157.782594792	371.914425514714	188.585967924	245.759061498	134.450039320333	475.923555258625
mix_33	1343.74377415879	512.24492698	463.625965857429	64.9482375825714	51.16159197175	323.660186779857	231.9742662462	256.013504804333	429.760643786242	1167.48414488625
mix_34	720.540156885286	166.886342231	189.331124419714	15.0957986185714	94.539877617375	325.571942040429	268.5117810152	258.717839300667	558.999414055727	1275.39293020588
mix_35	1404.08308182679	1137.205469645	857.566637961286	137.351164402429	58.088265991375	192.518178071571	127.9578920886	239.348325925333	182.997807688455	1542.47618698675
mix_36	1217.66219271421	1009.079618879	743.410837361429	117.410952164857	90.326920716625	290.158086330286	158.7242388912	254.586139752417	172.364653179515	1606.16255985637
mix_37	789.435919189214	625.483456134	467.665725837857	63.0571695898571	75.513057240625	188.807132883429	170.7071414038	253.011957089417	385.816928243636	2226.4041220745
mix_38	875.072953990786	896.151917153	702.226897177571	114.600950785	88.75471081675	260.413875218429	190.9736318724	243.57379177675	344.350486070848	1981.8049426845
mix_39	1344.22408533571	1168.322471594	885.515362360857	135.335755261571	119.947644449125	89.4565066178571	108.7739408756	234.735970950583	332.529157366091	1276.65388248
mix_40	1323.007231909	782.956665694	641.104128710429	103.685338823571	72.136922848125	318.351873601143	155.8943736976	245.390056832917	129.497903898242	1561.99270109613
mix_41	886.822650322643	307.471960482	315.265000184143	37.7945841118571	71.068053892375	343.425935108	229.7143340896	246.658807076167	414.183729488182	1682.34389066812
mix_42	1751.91951988821	572.698053769	537.865591604	63.5564668201429	179.97914061325	118.529084445714	94.3310427942	235.5553684835	267.570360995242	377.6182267895
mix_43	976.702417442357	193.474440503	239.018492504571	29.2768645032857	110.907314327375	308.274689265143	229.5804616736	252.261427002	384.31714838303	1417.25687489663
mix_44	1329.06959212121	1051.940681325	866.327807763857	123.371255417286	165.43566814525	200.084031615429	174.152259917	242.26925190625	542.870076319394	431.166457075375
mix_45	1132.7238240225	986.890964591	803.807809325429	137.365999474	116.41919606575	164.147851398286	106.9115866318	225.4381892935	214.569027380758	1629.62321567588
mix_46	1066.80085472307	599.88675202	497.733530355714	77.1954060537143	44.60230390975	445.137236395286	241.8434343726	256.0169009995	278.753692647364	1642.91437785612
mix_47	140.641734617071	88.421613697	151.739814819286	33.3843356951429	110.936788615875	146.733863574	230.7202904684	253.194514835583	722.382241311485	2412.352935663
mix_48	1418.16281088757	492.839751253	413.752018483429	42.7549461521429	162.044835923375	284.962853668	192.6519484138	238.657120552667	371.12143982103	582.650224686875
mix_49	1365.46663648386	1149.296524576	939.501872185429	148.043745649	109.881445575125	582.667913599857	276.1912776726	264.397302398833	80.6911847318182	810.32552951675
mix_50	1424.93467709593	1207.716987011	925.135704485571	147.807284340714	96.33649351975	132.053455961714	81.6475285437	240.570203375625	225.478194708727	1389.88026881675
mix_51	732.585497784643	154.989551606	189.078678900571	20.6941756645714	89.4986498805	276.394721525143	206.0151735114	249.958442542	378.359798282697	2107.80556418862
mix_52	879.781927409714	419.943952127	363.793395594571	45.2522276945714	87.697979389	296.389217555429	224.6797135434	241.2461909765	415.789516947182	1632.89044337188
mix_53	883.937632757643	414.451972444	340.283008384571	37.8977274768571	202.4514203725	271.843406233	195.9899586578	238.119799582667	526.349040794727	789.808592046
mix_54	1335.97112649671	839.310375307	622.508485658571	88.4643623621429	101.73494604825	220.410031440571	160.50346612	244.603536025167	270.981175461545	1493.98255139075
mix_55	1180.98861992486	252.466860332	278.747385084857	36.1832506107143	47.774771067	188.507984267286	184.8233948372	250.865622887	491.791067117061	1416.35632873975
mix_56	1650.80178869929	992.210352186	761.321010963429	112.985128091286	44.495176641	287.197360398714	176.3826361164	246.323065832583	235.497322561848	1137.12613685375
mix_57	1604.96178700371	1451.249799892	1052.772257138	178.349174820286	130.567793567875	162.264946322429	110.4091318704	228.762145094	118.076345453848	1206.925510543
mix_58	1250.00878769971	1022.606741072	783.843270528429	118.109734412	55.791521501375	167.546393935143	137.200115508	239.619792559083	321.574259853303	1796.2081737605
mix_59	701.290990624	387.553103064	335.427825057857	39.7638048178571	152.24796226425	343.197807184857	221.329414003	245.919915771917	344.76771369803	1638.78758529975
mix_60	1272.24005260114	523.807509147	450.441053154	58.2474561962857	85.325854862125	246.021244792143	188.4255729312	245.542879586333	421.693676656939	1257.05786916088
mix_61	1191.23524216464	896.826628757	693.640644658	103.283962199	106.96445084825	244.160970408429	140.6446467234	244.615974143583	123.027220929424	1901.89484119925
mix_62	872.741137565	693.928885838	513.596289596	73.06391838	60.69812972875	330.365506811714	226.6438101072	251.649125855333	334.395724009333	2035.90691381288
mix_63	1360.52764084429	1037.588021225	772.494510646143	120.001207704286	53.942089730625	178.696191585571	130.8638958184	240.120322700833	242.399443445152	1805.06684454913
mix_64	172.317058088143	112.925812141	175.894320140286	26.0872053471429	175.13380005125	137.826216324429	199.2372607164	244.141707159083	633.327448702424	2161.7596498885
mix_65	780.614080162643	452.401277314	403.395880365	52.6567059441429	83.655274226625	319.614022477429	247.1359164212	252.606501915333	455.375614172576	1671.28689559625
mix_66	796.8931878565	822.903943192	597.716230229929	73.7044585285714	172.290092140125	301.444915970286	223.3654563114	241.24110868825	480.422787739364	985.81320180075
mix_67	1122.25043930943	1391.866920412	988.270553276286	159.602951558286	142.015040266125	312.875603259429	195.1272508104	235.922968745917	301.694712809818	1343.91765829812
mix_68	972.914901601357	570.521492612	485.459309483143	63.7983890987143	87.0006738085	160.281322391429	134.9587966362	244.76999178025	379.057267127152	1828.12713883613
mix_69	1340.22199831429	864.886069696	682.414664597	101.301056130857	166.309486667	87.479303489	94.2072683978	237.798567905583	261.689356798273	1385.44043171925
mix_70	862.669032314214	279.883744423	296.979696144286	37.4753694718571	31.579250361625	234.300831700857	176.965277792	247.49311898225	376.886019662515	2266.5312304665
mix_71	906.462523614929	770.583082813	595.173098569286	90.4883733695714	81.062896898	230.369096888286	192.269598591	246.884320265	428.038470636545	1774.01826974563
mix_72	811.588122938714	677.396909021	562.560316616571	69.5301471584286	81.80646680675	310.550582717286	205.895718503	248.68643813725	305.787223354152	2166.42513745187
mix_73	900.300630807071	347.343635768	346.837519075	50.9408661804286	72.0785098595	199.301703964857	136.9727720992	247.887927847083	183.289044981394	2659.11407007975
mix_74	1828.39767800186	1280.638942882	954.321842318143	136.360428803571	106.9450245225	150.280188453143	155.7199722358	229.694663552292	418.170702164212	282.748030120125
mix_75	1279.50135154286	525.291622903	427.567123637714	58.9471339258571	126.650149992125	240.278534418	180.6397839926	241.844052112833	333.847063406333	1262.39110503987
mix_76	968.620252255286	1243.377274374	871.233745618714	145.201749517571	83.3538139115	342.445622492571	172.6817458772	254.1270638335	139.486278555364	2103.50416062775
mix_77	1388.45346261579	959.450291606	747.928085818286	110.394208292857	142.537440420625	192.423449305571	122.5550410056	222.18958871925	241.778625609879	1254.96628526738
mix_78	1059.0191015255	586.663477207	502.632588132286	67.35505554	85.473904645875	187.272313746429	169.118264564	244.985320139083	417.067938507212	1756.24359610163
mix_79	618.728168525286	250.748663635	285.84428038	27.7968777918571	202.642390691	379.106131748429	219.7870231058	255.870497639083	257.114205269424	2164.18219202963
mix_80	1055.03162059057	409.304723751	340.774790507143	29.2464910428571	192.98355282725	381.791661305857	216.6952899414	247.303107411667	355.497690441455	923.09134238775
mix_81	596.3918375235	275.041084071	350.670135482	56.552108044	137.937846975625	444.580705035429	352.660411755	255.169577908833	721.334337277667	804.460866431125
mix_82	198.194310932643	197.263054036	192.786335804857	32.9968043255714	50.046215581875	242.887143260143	192.5673578436	263.612437269167	414.544253878636	2893.25659753287
mix_83	1100.63946204821	292.841572355	287.834336952857	34.2087628742857	43.636302538125	139.080604870143	99.1982843396	244.6662618325	163.060029663394	2432.76108930237
mix_84	998.928693414	929.820380793	692.275255533429	112.947639288	75.533056985375	203.305286037286	149.6072974944	235.3066268165	276.879286334333	1959.90144325225
mix_85	670.543085826714	518.009196124	445.788318187429	67.1310724465714	77.623458342625	304.018016248571	223.3541772364	255.27570983875	423.348039085636	1892.13688264337
mix_86	1278.26467768886	930.075699599	739.226653167571	106.215700986429	110.445095156125	167.813922314571	104.9688924572	237.014193275167	180.799196683576	1866.59273304612
mix_87	2067.46774185193	1850.994255686	1340.22988976629	244.074000234714	131.689433972	327.572930411429	168.2551230918	244.987440366	80.9087642346667	332.059862439
mix_88	1509.096756913	1102.046627838	841.957386220714	138.214618048571	81.82069683975	282.193460164143	180.89505057	241.301933639833	326.778839814697	938.92696061475
mix_89	428.230143742286	73.299266775	157.8234184345	13.85443217	219.588169418375	384.072917229714	334.8896332104	246.876043489833	631.597814820364	1305.84877456875
mix_90	1834.92034564007	1685.570683055	1220.21449183943	202.535768460857	65.4305570118125	176.670275385429	106.3481790504	230.38994246	191.468282722667	792.771891762625
mix_91	1415.39600036807	1187.649887237	870.913687409429	138.533308886429	56.306051318625	221.145886303571	134.1512909544	237.677682688083	175.206850520333	1602.85234276363
mix_92	1396.04153430971	848.519886654	663.393146565571	98.624307071	103.098845929875	128.936862027429	132.3914375724	239.4189957235	406.071916694636	1061.97313507362
mix_93	527.416894137929	247.88121585	240.551418491286	38.9652210241429	109.5818853395	183.325839766143	131.7823638288	261.241411859958	154.371704036273	3212.95048485513
mix_94	1732.33852811286	1286.574127862	952.972371512429	157.331537377857	88.803709513	181.392558722571	100.1294650198	237.024267735667	131.748029429758	1116.4164204285
mix_95	1570.48129464743	830.462428957	690.923706248571	107.356160144571	49.590781502875	137.417314828286	126.7931183396	243.04576128975	348.208367462121	1185.25187741138
mix_96	1141.91367090557	744.446065936	599.567763065429	94.0331208658571	110.825689910125	287.564781526143	223.6104755448	239.785545023583	472.873157584424	892.330316357125
mix_97	1690.13777477714	1131.517864142	873.932865322429	132.135878200143	133.063033143625	285.642060993714	170.1626356504	250.724639282083	77.5217457348182	695.2429161825
mix_98	1485.25971491893	583.479744211	546.293397548143	73.7772956524286	69.937609210375	311.674682480571	171.2950576842	255.139607662083	158.511365696758	1309.462965762
mix_99	317.629595646929	141.915605465	181.581334460857	22.788344988	208.9970562585	258.130933362714	154.8978664044	254.0853417515	101.426868650758	2697.40764178462
mix_100	1334.01966088293	820.473342765	689.516907055286	104.002917209571	33.27773585025	194.904158409	101.5790083998	247.0820414705	87.3968208080303	2119.82663914425
