ID,CD14,CD19B,CD4HelperT,CD4MemoryT,CD4NaiveT,CD4RegulatoryT,CD56NK,CD8CytotoxicT,CD8NaiveT
S10001,6.409798,6.138948,6.877116,5.967746,5.678114,5.591614,6.48107,5.597096,5.758774
S10006,6.258878,6.15329,6.90544,5.954972,5.7209,5.59523,6.488268,5.772714,5.752262
S1001,6.257948,6.08287,6.882332,5.840056,5.763574,5.480264,6.538784,5.87913,5.687776
S10010,6.398554,6.022268,6.902076,5.906884,5.702748,5.54129,6.520888,5.743832,5.661194
S10011,6.39362,5.9748,6.944384,6.032968,5.707968,5.601156,6.443456,5.718676,5.762416
S10014,6.28511,6.019814,6.78673,5.924578,5.58778,5.462288,6.399416,5.702422,5.657176
S10026,6.205688,6.104698,6.859196,5.839476,5.730814,5.440152,6.571608,5.929554,5.712388
S10032,6.335084,6.188618,6.9455,5.88841,5.670258,5.506344,6.550476,5.819748,5.679624
S10036,6.113352,6.017522,6.73282,5.807868,5.75493,5.513388,6.441378,5.787774,5.706076
S10042,6.326912,6.156808,6.99604,5.968358,5.718706,5.580828,6.618398,5.873124,5.763148
S10044,6.261062,6.176286,6.990166,5.96928,5.77405,5.521512,6.690584,5.9684,5.78915
S10049,6.287196,6.226172,6.950668,5.92958,5.717474,5.53032,6.61784,5.947014,5.772834
S10057,6.28184,5.976104,6.750026,5.981402,5.673802,5.566394,6.301168,5.707542,5.774994
S10062,6.366396,6.117368,6.981666,5.941828,5.726564,5.550772,6.59858,5.910812,5.785254
S10066,6.438252,6.119202,6.909826,5.972908,5.654942,5.574778,6.460158,5.664106,5.666228
S10067,6.209772,6.093768,6.894686,5.899718,5.76205,5.450844,6.557918,5.965606,5.684708
S1007,6.355474,6.095976,6.862536,5.94188,5.729524,5.570872,6.456696,5.76347,5.75891
S10073,6.276924,6.103638,7.085382,6.00248,5.779182,5.582528,6.63418,5.923568,5.786804
S10077,6.485814,6.01926,6.917162,5.97403,5.701498,5.529298,6.488248,5.738518,5.728412
S10080,6.49551,6.10345,7.02215,6.015344,5.721938,5.621188,6.562228,5.741236,5.815128
S10082,6.273246,6.130352,6.96573,5.951452,5.73099,5.530556,6.533012,5.909198,5.734006
S10087,6.32102,6.229032,6.980498,5.952398,5.656592,5.523394,6.596498,5.908088,5.664794
S10089,6.3669,6.032066,6.74003,5.906936,5.65962,5.547076,6.351304,5.6752,5.709112
S1009,6.378654,6.106482,7.035,6.013182,5.77232,5.598712,6.553044,5.868262,5.808232
S10090,6.251866,6.02243,6.69578,5.876062,5.56667,5.591496,6.263238,5.69384,5.706048
S10093,6.329774,5.95909,6.791764,5.945744,5.72497,5.661506,6.412424,5.697598,5.785538
S10094,6.378628,6.154448,7.01001,5.971906,5.732388,5.536556,6.648768,5.867738,5.72093
S1010,6.412584,6.194368,6.965196,5.97831,5.729598,5.626642,6.519294,5.825948,5.830358
