Gene,naive_B_cell,memory_B_cell,CD14_positive_monocyte,CD16_positive_monocyte,CD56dim_natural_killer_cell,CD56bright_natural_killer_cell,neutrophil,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,macrophage_m0,macrophage_m1,macrophage_m2,MAST_cell,basophil,eosinophil,gamma_delta_T_cell,hematopoietic_progenitor,myeloid_dendritic_cell,plasma_cell,plasmacytoid_dendritic_cell
mix_1,2804.2328125,19.22,1010.44473684,583.976176471,427.783333333,188.64,137.690555556,159.925833333,704.646,49.91625,364.658181818,719.268,23.5125,1308.21666667,127.790909091,539.2435,198.779642857,67.258125,327.805333333,33.7834210526
mix_2,2852.4434375,15.595,1180.20473684,643.607647059,381.963333333,87.9758333333,160.656944444,122.886666667,566.289,58.37875,426.622272727,738.2505,25.151875,1333.59527778,125.037272727,452.3785,204.495357143,69.40375,331.711666667,37.7355263158
mix_3,3358.111875,17.26,341.955263158,315.068823529,362.544583333,122.029166667,60.1288888889,464.128333333,1558.936,24.5525,153.607272727,718.2315,36.050625,1120.50611111,131.313636364,1153.5125,225.193571429,58.455,320.099333333,29.1121052632
mix_4,3461.9275,21.515,622.590789474,424.833382353,391.585,147.9075,90.2102777778,275.329166667,1063.14,29.526875,233.220909091,675.285,31.553125,1153.42166667,132.275,785.757,207.548571429,63.6375,327.304333333,30.1978947368
mix_5,3316.0234375,22.937,537.739210526,390.624264706,436.489583333,233.330833333,81.1477777778,245.670833333,1246.689,30.7875,225.079090909,662.27,31.116875,1172.26583333,129.935,878.6,210.738214286,60.60125,325.875666667,27.7697368421
mix_6,3132.3040625,17.552,786.878157895,491.517941176,393.073333333,140.1175,110.696111111,218.555,999.847,40.119375,304.696363636,696.6455,29.599375,1207.85472222,125.37,719.873,211.73,63.195625,325.817,32.1223684211
mix_7,3494.78125,26.099,421.408684211,348.378676471,422.644166667,194.17,74.0472222222,300.166666667,1125.426,28.0575,184.072272727,660.108,32.33625,1094.53,134.383636364,847.1895,206.309642857,66.7275,328.03,28.0860526316
mix_8,3372.055625,22.925,914.610789474,539.714558824,330.77375,22.7916666667,132.620277778,215.513333333,650.112,44.86625,322.865,689.2505,28.116875,1203.14083333,130.498636364,527.423,208.406428571,71.0175,321.635,32.9376315789
mix_9,2912.1009375,16.511,809.916315789,487.809117647,438.945833333,216.361666667,111.498055556,238.5025,932.134,42.08875,302.003181818,706.807,27.50625,1224.18388889,133.579545455,720.258,200.943571429,65.596875,323.533333333,31.9257894737
mix_10,3703.7284375,25.233,550.321315789,387.264264706,339.419166667,34.73,86.8794444444,236.436666667,1122.546,29.2775,228.255454545,647.7825,29.575625,1086.58666667,131.929090909,760.4845,214.3475,66.078125,324.672333333,31.0965789474
mix_11,2916.8,19.188,1120.00868421,609.388823529,366.8125,90.2558333333,150.923055556,175.4975,543.406,55.18875,408.774545455,764.5515,19.34,1336.03888889,125.764545455,469.618,208.797857143,72.44625,331.618333333,37.8297368421
mix_12,2857.889375,12.467,973.719210526,560.123382353,367.145,95.1866666667,135.706944444,212.245833333,903.641,48.35375,368.405454545,722.217,27.8625,1208.56,125.254545455,665.9265,212.451428571,61.095,326.670666667,34.3268421053
mix_13,3721.8415625,29.012,426.698684211,358.873529412,444.14875,235.186666667,78.0577777778,230.623333333,899.951,29.76125,178.520909091,619.2375,29.390625,1083.64527778,140.242272727,694.5365,199.541071429,74.6375,328.222,28.1586842105
