CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	otherCells
mix_1	0.46523878142118	3.44588967999872e-06	2.47289871904587e-05	0.0689595118445643	4.43089638376181e-08	2.1377917368847e-08	0.000182686948442594	2.94493017318703e-07	0.465590484729044
mix_2	0.455577542339271	8.37461190563897e-08	5.35443910559927e-06	0.064368591531339	0.000388700611744172	6.70023010876709e-05	1.19760415467006e-06	9.74939480530729e-07	0.479590552487699
mix_3	0.568306308475847	4.4620260173347e-08	0.000938663501324206	1.73494418633406e-06	1.40007538546273e-06	2.66786964297787e-06	0.00278670391898983	1.54131357643247e-06	0.427960935280787
mix_4	0.563911404316565	6.95379597488698e-06	0.000108377401746064	0.000307515448972891	0.0013001469726325	0.000671442545846274	9.48960705377339e-08	0.000104259289752134	0.43358980533244
mix_5	0.551010540056732	9.59885003084046e-06	0.000738372155719618	0.0138256405582336	2.34620406375416e-05	1.37821030004663e-06	2.11888481251306e-06	3.63659657657528e-05	0.434352523277768
mix_6	0.528087585549009	6.27335151300037e-09	4.64233206905607e-05	0.00810218157053301	0.00764171680147104	9.66560130028681e-05	2.52879557283797e-09	2.37946577152966e-06	0.456023048477375
mix_7	0.567358737173559	8.10802795918844e-09	2.32710246727603e-05	2.13623435074649e-09	0.00106802361295016	3.20071828240722e-05	0.00308288105920362	9.5580922397745e-05	0.42833948878013
mix_8	0.553384456454678	3.51141869711024e-09	2.73593597595123e-06	4.22441280154307e-06	9.07612862991555e-05	4.092374031222e-06	0.000107360725803815	2.93625876949463e-07	0.446406071673114
mix_9	0.485835606814168	2.04264888029138e-09	0.000193524728852566	0.0637113122929056	1.65316075682272e-06	1.8364222213772e-05	3.98313657475375e-07	3.9644443898938e-08	0.450239098780353
mix_10	0.574464204793506	9.83367811129913e-08	0.000325207291591396	7.72184500081315e-06	2.2107997049751e-09	5.58097494813662e-05	0.000549943851930689	0.000120036452331771	0.424476975468577
mix_11	0.477909764168545	3.15857716766606e-08	6.31267664908449e-07	0.0469155858618281	0.000538877183870035	6.50487219485653e-06	2.32682529829917e-06	3.45619102560696e-06	0.474622822043802
mix_12	0.495970433722573	2.62007192647298e-08	1.75601162347329e-06	0.0462344224983465	0.000111930012607369	1.59636551752369e-08	0.000107557845714202	3.97463577897111e-08	0.457573817998403
mix_13	0.550998690684824	0.000286819489457356	0.0022962529328564	4.77522909538336e-07	1.56448232587967e-08	3.70775330695119e-07	0.00917327541222765	1.60867826538837e-06	0.437242488859306
mix_14	0.570859602566684	5.43910396937047e-08	0.00221589882995333	7.06972071514691e-05	0.000708577828940253	6.95556878605444e-05	9.14369708674068e-07	0.000349861345699372	0.425724837772962
mix_15	0.566004740755234	3.26707557212919e-05	9.0986200945648e-06	0.00930014148421788	0.00192150461131598	1.36358880441261e-06	7.33826344483215e-08	0.000181254498994399	0.422549152302983
mix_16	0.571104568261173	1.18759212473724e-06	4.33767019952775e-09	2.31970646412761e-05	7.76233400841515e-05	2.33614041684262e-08	0.00113177733886918	6.95605579443328e-05	0.427592058146089
mix_17	0.566912058669542	1.30868147209224e-05	1.65592780362265e-09	3.14957653967044e-05	0.00275023133365967	0.000975128433140494	0.00610844527090926	4.93170118958609e-08	0.423209502739692
mix_18	0.491871565813393	1.23990056123889e-05	0.000265669034574863	0.0279922157604147	4.65640065677464e-10	0.000126105436494479	1.83800345558615e-05	8.02917804763289e-08	0.479713584157534
mix_19	0.553835871683343	1.52385399345216e-06	0.000639232740336027	0.00443061765085333	0.000194092266227053	7.19810055020163e-05	4.44362013481552e-07	2.40501470131947e-06	0.440823831423031
mix_20	0.571220657369384	6.45527574551828e-06	1.26797295923678e-05	1.44893440660654e-05	0.00246002462012204	0.00253437091866915	3.45371705008762e-08	2.79447576488587e-06	0.423748493729485
mix_21	0.576257308474953	5.58217946050661e-08	2.59399399882806e-06	2.83515947596187e-06	0.000411301358447014	6.07561079253015e-06	0.000121342437772049	1.46504768374216e-06	0.423197022095082
mix_22	0.530345468025464	8.8982110528547e-06	2.99503649624856e-08	0.0288988576702686	1.58804654636817e-06	6.03175649014444e-07	0.000839231954100056	2.66553263981838e-06	0.439902657433914
mix_23	0.563577719051988	1.51703733444527e-07	3.1175866579659e-06	1.75909608734963e-06	2.08419816564479e-07	5.54205382703684e-07	5.41287332560799e-05	0.000142043754474526	0.436220317448603
mix_24	0.439210571136661	2.6936159475143e-06	4.30405909927121e-07	0.0720103022783009	3.42049883303038e-06	4.97854714253823e-06	0.000132705541734239	7.81870326783491e-06	0.488627079272203
mix_25	0.543602462734232	2.97594658297718e-09	7.99760236857605e-05	0.00755693978261275	0.000187429997398439	4.50450135059807e-09	0.00166484887405243	1.97404442148111e-07	0.446908137703129
mix_26	0.530837315027066	7.13892375807317e-09	2.00051716031514e-08	0.0338527080496967	0.000797338919916392	0.000442509832358007	0.00312679305080883	3.49202049918808e-06	0.43093981595556
mix_27	0.497636581040133	7.76675910615151e-08	0.000247626486641079	0.0342487772299981	1.43925542181655e-05	2.13287537572152e-07	0.0010592982973611	3.04282304263188e-05	0.466762605206093
mix_28	0.57991523935505	0.00010854603206483	6.15657519730621e-06	1.06389168811694e-07	0.00034163201272212	6.24911717729065e-10	0.0012591980106538	3.02476188202021e-07	0.418368818524043
mix_29	0.532284573142153	1.0403733247351e-05	2.69837248944993e-09	0.0252502686854625	0.000101983901780215	2.64467827928004e-05	2.51173645515873e-06	1.25658531732422e-08	0.442323796753884
mix_30	0.554317572546518	6.60396462241778e-08	1.23078733315344e-05	0.00481491813621109	0.000644398000789722	2.62769129454089e-08	4.08011650530459e-05	1.30427643970555e-07	0.440169779533894
mix_31	0.546039864314761	0.000455569338718527	2.69422916755855e-07	0.00572379752799641	0.0016165222471205	1.29442698359124e-08	3.55635719901565e-09	5.02499395601957e-07	0.446163458148464
mix_32	0.561531090517144	6.85948511903105e-06	6.32581247354733e-05	1.77572421066162e-05	0.00182532245841579	1.50426401852959e-06	1.13897207292509e-09	1.06056018816381e-06	0.4365531462093
mix_33	0.551580157679192	1.61972538798218e-08	8.43360151682821e-05	0.00343211665148259	0.000300583014739206	3.04620110661594e-06	2.36073361711679e-06	2.05029017616215e-07	0.444597178478423
mix_34	0.45944088603053	1.69761068395013e-07	0.000475269382825729	0.0689668678852756	1.30843369693314e-08	4.14652089417705e-05	0.000138192828439177	1.50628923777868e-05	0.470922072926205
mix_35	0.508541928170934	1.84990691295543e-05	5.95370523472682e-08	0.0424653425866978	9.53553577981587e-08	2.0961273126197e-08	1.71794387225207e-06	1.28922080884153e-06	0.448971047154874
mix_36	0.572837953352508	0.000199913730001432	5.57017842914846e-05	5.11779547233626e-06	0.00032492058292034	7.60120811717765e-08	0.000654688508221656	0.000223422769285665	0.425698205465218
