ID,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
S10001,6.476118,4.983226,5.37318,6.0711,5.641864,6.0636
S10006,6.393928,5.116012,5.666532,6.10471,5.644406,6.016072
S1001,6.427148,5.00855,5.629056,6.13426,5.616684,6.086364
S10010,6.446932,4.900126,5.438142,6.161712,5.58674,6.046192
S10011,6.49866,4.987096,5.338962,6.146962,5.561254,6.029662
S10014,6.34512,5.062106,5.5521,6.06852,5.60178,5.996792
S10026,6.431036,4.912992,5.714654,6.147534,5.573892,6.052194
S10032,6.484946,4.9269,5.542664,6.158502,5.646282,6.15782
S10036,6.330624,5.025884,5.624768,6.040846,5.53113,5.879504
S10042,6.499776,4.991928,5.639572,6.219952,5.66656,6.111044
S10044,6.670872,4.9324,5.72281,6.243816,5.67371,6.119376
S10049,6.594482,4.966112,5.6779,6.181308,5.695938,6.137662
S10057,6.244708,5.154022,5.500846,5.979966,5.53453,5.956884
S10062,6.562054,4.970006,5.59261,6.20581,5.640788,6.12191
S10066,6.430972,4.931414,5.315592,6.123996,5.586594,6.06024
S10067,6.611656,4.920114,5.602534,6.148232,5.631782,6.0275
S1007,6.441112,5.081636,5.552496,6.091482,5.629072,6.015266
S10073,6.674286,4.870238,5.618626,6.2433,5.667268,6.116644
S10077,6.484906,5.005554,5.329616,6.116442,5.636986,6.103828
S10080,6.516528,5.07714,5.481442,6.22771,5.675344,6.118592
S10082,6.589732,4.925606,5.509618,6.189276,5.621138,6.040076
S10087,6.584118,4.928122,5.578464,6.203022,5.659192,6.157056
S10089,6.335208,5.057628,5.383354,6.00962,5.530962,5.989262
S1009,6.641028,5.013682,5.501682,6.188278,5.69687,6.071718
S10090,6.350182,5.053794,5.50653,5.997196,5.57362,5.88875
S10093,6.291348,5.205822,5.6215,6.068856,5.62315,5.989228
S10094,6.537798,4.93674,5.54269,6.205414,5.668698,6.127866
S1010,6.526824,5.096922,5.555266,6.147358,5.637906,6.135246
S10111,6.619352,4.934354,5.574888,6.227276,5.689562,6.138584
S10116,6.600858,5.008232,5.42288,6.152208,5.640236,6.053092
S10119,6.52687,5.017536,5.556996,6.15232,5.593818,6.013138
S10121,6.414332,4.946222,5.452922,6.07658,5.54637,6.040712
S10130,6.412506,5.066048,5.426786,6.084022,5.594912,6.029864
S10140,6.435138,4.89424,5.521968,6.180056,5.674658,6.07064
S10142,6.490952,5.029452,5.593404,6.222172,5.626568,6.080312
S10150,6.29574,5.077898,5.461144,6.028854,5.578654,5.934994
S10155,6.571276,5.04024,5.60053,6.19087,5.613462,6.082006
S1016,6.28944,4.988484,5.536806,5.983472,5.53387,5.96472
S10163,6.479528,5.103682,5.424052,6.218632,5.764902,6.120234
S10167,6.48172,5.062528,5.650586,6.188836,5.640604,6.064134
S10168,6.549334,4.95043,5.558758,6.122368,5.621144,6.012122
S10173,6.578794,4.978494,5.550936,6.10879,5.60048,5.949946
S10175,6.43945,5.023538,5.595714,6.12896,5.553114,6.044924
S10179,6.723246,4.984892,5.814266,6.331426,5.762132,6.209564
S10186,6.568466,4.963994,5.671694,6.18742,5.624562,6.070026
S1019,6.51722,4.983042,5.498472,6.142798,5.608254,6.063436
S10190,6.68251,5.01898,5.745352,6.254766,5.634276,6.119726
S10195,6.414412,5.049726,5.615016,6.152074,5.593554,6.048458
S10196,6.651516,4.990646,5.693182,6.27619,5.696582,6.161692
S10200,6.391266,4.966934,5.519128,6.128244,5.619664,6.051938
S10201,6.203704,5.02714,5.303366,6.004016,5.51137,5.959748
S10202,6.42933,4.968264,5.402704,6.123914,5.635946,6.005446
S10205,6.591784,4.938592,5.698738,6.231546,5.702658,6.14208
S10211,6.247288,5.138928,5.728154,6.06764,5.556746,5.993274
S10221,6.6622,4.988066,5.694448,6.311966,5.700214,6.17964
S10222,6.35085,5.05913,5.432012,6.047664,5.602948,5.887448
S10226,6.497998,4.937776,5.558544,6.130602,5.60988,6.076932
S10227,6.427492,5.00485,5.475316,6.11249,5.619466,6.06203
S10228,6.502088,4.97526,5.533774,6.11088,5.616642,6.00773
S10232,6.439258,5.145592,5.626616,6.056026,5.531128,5.89197
S10248,6.48317,4.908984,5.66273,6.084086,5.546776,6.018274
S10249,6.354992,4.96469,5.447494,6.208552,5.617138,6.11756
S1025,6.615278,4.922506,5.598814,6.170622,5.64418,6.090458
S10266,6.378856,5.019628,5.423818,6.082748,5.594098,6.034996
S10269,6.402442,5.012086,5.465244,6.062294,5.56757,6.046432
S10272,6.296048,5.0289,5.589682,6.061646,5.519764,5.99796
S10273,6.485786,4.972638,5.44063,6.080226,5.601958,6.042842
S10274,6.496926,5.019698,5.645248,6.14889,5.588702,6.089246
S1028,6.532954,4.898514,5.692048,6.144938,5.54334,6.03388
S10280,6.83709,4.856832,5.62585,6.305144,5.763008,6.268876
S10283,6.62798,4.885586,5.654782,6.262578,5.702438,6.194606
S1029,6.55958,4.987516,5.492014,6.18467,5.629278,6.042784
S10292,6.460136,5.0409,5.507902,6.04412,5.564084,5.968206
S10294,6.577286,5.040274,5.728898,6.197228,5.646052,6.02703
S10302,6.455356,5.012198,5.684714,6.174864,5.585438,6.054032
S10303,6.479312,4.964146,5.37543,6.094244,5.590844,5.93438
S10323,6.422194,5.032562,5.480034,6.133996,5.599048,6.103852
S10326,6.446336,4.969344,5.586154,6.121534,5.642058,6.08201
S10328,6.615064,4.928926,5.485004,6.18555,5.68877,6.04069
S10329,6.612096,4.999302,5.539384,6.152146,5.661072,6.116652
