B.cells.naive,B.cells.memory,Monocytes,NK.cells.resting,NK.cells.activated,Neutrophils,T.cells.CD4.naive,T.cells.CD4.memory.resting,T.cells.CD4.memory.activated,T.cells.CD8,Macrophages.M0,Macrophages.M1,Macrophages.M2,Mast.cells.resting,Mast.cells.activated,Plasma.cells,T.cells.follicular.helper,T.cells.regulatory..Tregs.,T.cells.gamma.delta,Dendritic.cells.resting,Dendritic.cells.activated,Eosinophils
A,0.114495772783996,0,0.200396840453201,0.196238662876288,0,0.0986893746754334,0,0.0967767338883535,0,0.167170386870417,0,0,0.0380592343709616,0,0,0.0322189396284471,0.0555483069580847,0,0,0,0,0.000405747494818386
B,0.110238943591224,0.00925253186518427,0.200338992407339,0.189041430390898,0,0.100261770618522,0,0.120669459820869,0,0.163787151183228,0,0,0.0374689258823056,0,0,0.0374501046966775,0.0314906895437519,0,0,0,0,0
C,0.0585993989699376,0,0.110650741378198,0.173814319130648,0,0.0252266448653838,0,0.205278048788257,0.0115029824370748,0.179604092946082,0,0,0,0.00247625682940284,0,0.0515358806192598,0.0961462063180406,0.0592562158852242,0,0,0,0.0259092118324909
D,0.0594807064734557,0,0.108749522283274,0.179957301144979,0,0.0198300042871845,0,0.204602926449574,0.0191531727425489,0.179534737765224,0,0,0,0.00273277685444309,0,0.0552956205053559,0.0897989557188784,0.0523929726427851,0,0,0,0.0284713031322968
E,0.0528397781482613,0,0.145529039623623,0.203615791034671,0,0.0633093471020792,0,0.0831923852009805,0.0051008801294706,0.299460192905918,0,0,0,0,0,0.0439817145049572,0.0792974800979496,0.0236733912520902,0,0,0,0
F,0.0678355848328182,0,0.153629001034312,0.381208126677708,0,0.0877150799018175,0,0.0875529878013522,0,0.139796896798713,0,0,0.0207676480722409,0,0,0.0355231313274189,0.0259715435536194,0,0,0,0,0
G,0.104441167389004,0.0155799653171599,0.193272521270258,0.164643107145847,0,0.224616126663593,0,0.114175454038428,0,0.0630345529849426,0,0,0.0701516067972365,0.000931143817973816,0,0.0213940268661988,0.0139610202874878,0,0,0,0,0.0137993074218718
H,0.0854807371581849,0.024681549838156,0.30295453557379,0.0876057282630297,0,0.100925592985388,0,0.098678671433159,0,0.0671397730234148,0,0.0429861808782037,0.0966544807286476,0,0,0.0170169384921136,0.0285582406144646,0,0,0.0174089416232683,0,0.0299086293881792
I,0.0750609884725526,0.0298611749632233,0.303027433895345,0.0849439376323154,0,0.0955345349562798,0,0.118279460139415,0,0.0661430491389197,0,0.0545774675052677,0.106035008176338,0,0,0.0257424348747494,0.00571733070258156,0,0,0.0118089518131443,0,0.0232682277298686
J,0.0734372357889647,0,0,0.164714060597511,0,0,0.00690085848087935,0.298524320713746,0.0231916568347497,0.0800934333685169,0,0,0.00859913618551598,0.0361505334670745,0,0.0814181853500138,0.0911183673619193,0.0791283294082722,0,0,0,0.0567238824428363
K,0.0718690595601114,0,0,0.184829784896008,0,0,0,0.107371621949024,0.0430637382256953,0.343350645059528,0,0,0,0.0254887710893579,0,0.0985493122922086,0.0653420789411407,0.0329908154265817,0,0,0,0.027144172560344
L,0,0.0158158021979437,0.0740275764299201,0.17981642315631,0,0,0,0.31101290048362,0.00430371413183471,0.0628146390267256,0,0,0,0.0840417448427485,0,0.0309281808538472,0.0967516843256386,0.0616094234979828,0,0,0,0.0788779110534283
