naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	otherCells
S10001	0.00415644394502404	0.0248213030405108	0.00410278594943603	6.3440354019547e-05	3.26764539822849e-06	0.0799758458486023	0.212320551281756	0.0681405229126462	6.98310286088006e-05	0.00936597667558002	1.00419730845428e-06	2.61527513992834e-05	0.0789021957886033	5.72635483789122e-06	5.57753619545078e-06	0.00024380415406215	2.04258756828196e-06	1.72611082475997e-06	1.48100722582958e-05	0.303547758510562	0.214229233254798
S10006	0.00929813153603418	0.0238716803987355	0.000586759324349584	6.86664449325136e-06	1.71733555857349e-05	0.0942648710482195	0.210394226528003	0.0622664326474563	0.000863743854074374	0.00599695849819972	2.02389868503748e-05	2.21193563228862e-06	0.0806771179903595	7.99738828273962e-06	3.21514388805786e-05	8.77548583432922e-05	2.39407963690013e-05	4.42135629844041e-07	9.75584623781976e-06	0.299792660706917	0.211778884081347
S1001	0.000295650789929539	0.0272648739801362	0.00207262071790733	3.0568213765788e-05	6.09875232273336e-06	0.104215079809415	0.209914384659427	0.065528385775156	0.000110796748559177	0.00647111420216166	7.35872303971185e-06	4.15290982306396e-05	0.0804178207160321	1.08082730184534e-05	1.41447367524984e-05	0.000119873705196781	1.17141766885484e-05	7.6194472923577e-06	5.2388950690611e-06	0.289153747998796	0.214300570581103
S10010	6.24754189470208e-05	0.038122736677092	0.00132589334046798	3.6636529155961e-05	4.13574577695987e-05	0.094466663072738	0.231039963046801	0.0561541930001385	0.00030143363510747	0.00678028749643173	7.97501897395172e-06	1.98534681566485e-05	0.0742588939930045	5.39756201382191e-07	1.10513929662082e-05	0.000306151138147201	2.7989331116261e-05	3.0256294627619e-05	1.21756436612857e-05	0.284232124040924	0.212761350247571
S10011	0.0131277521515096	0.0132051842971382	0.00489606830028497	8.18489898798959e-05	1.28987236954672e-05	0.0807177323532572	0.213577878261553	0.0780958437860646	0.000199924907251668	0.00894931704943764	2.60736845903019e-05	3.48827006620036e-05	0.0761796768393927	3.68867706699727e-06	1.02850266719765e-05	3.48302134598544e-05	7.06115078831592e-05	3.88020536692874e-06	3.14843197222065e-05	0.296839822159911	0.213900315845201
S10014	0.00271958795206419	0.0280955302751176	0.00335751340379175	1.21297967712912e-05	7.6075860383933e-06	0.0938166008335659	0.210905201576576	0.0634255380559417	0.00013981065908628	0.00607022319834937	2.31232046722682e-05	6.67351172552081e-05	0.0798781923959049	2.08233756282441e-06	7.94514829767279e-06	5.40368597729797e-05	4.15473595158842e-05	1.77243152484135e-06	1.56952121551174e-05	0.297224047746468	0.214135078849568
S10026	0.000342614112541366	0.0301666947955229	0.000762978356341747	6.93510138899218e-06	7.93675002481708e-06	0.0975592286526613	0.221090350915438	0.0665753314135082	0.000608371954456737	0.00557314680085616	2.912853822277e-06	1.34739734559666e-05	0.0784767455307119	4.06134239103356e-06	2.04899259866027e-05	0.000240369576102085	8.33977648234406e-05	8.32363314641698e-06	1.35128718714502e-06	0.284284785661708	0.214170499597925
S10032	0.0262908656863415	0.00209713068047914	0.0151521765472284	4.15902385057731e-06	3.15995564069515e-06	0.0978729781963498	0.206195025359292	0.0625569186203361	0.000150155743694084	0.00716805305401432	8.98354935064499e-06	1.90593959233459e-05	0.0784841350390922	1.39056171494012e-06	3.03666988993333e-05	2.50063071613715e-05	2.97876079508491e-05	1.63883544730145e-05	1.26585650807657e-05	0.288759105369477	0.21512249568365
S10036	0.00466505829568636	0.0236899899178734	0.000230297554649755	3.41681881478679e-05	3.92835419566715e-06	0.0932847266509878	0.214542208595508	0.0663603873665602	0.000207363389305236	0.00513084126392173	1.34736132106906e-05	2.46551006852311e-07	0.0848358441045242	5.88769145963593e-07	4.42372980128583e-05	0.000171163115929174	3.93767948866573e-05	8.76104023404512e-06	2.3610634842403e-06	0.295524157739571	0.211210820333158
S10042	0.00586351514502567	0.0229642957116418	0.00198032154841048	1.70697104787742e-05	7.78083132240493e-06	0.099962873969865	0.215615640106518	0.0644524405849733	0.000116621050373987	0.00635399819910487	2.28631410825279e-06	1.55526536662395e-05	0.0792561155030273	1.68590427666314e-06	5.70487642116445e-06	0.00016696596913383	1.50540794611114e-05	4.63472816329617e-05	2.95795956517735e-06	0.290105386511172	0.213047386089822
