Mixture	B cells naive	B cells memory	Monocytes	NK cells resting	NK cells activated	Neutrophils	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells CD8	Macrophages M0	Macrophages M1	Macrophages M2	Mast cells resting	Mast cells activated	Plasma cells	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	Dendritic cells resting	Dendritic cells activated	Eosinophils	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.191135960812185	0	0.892820205853832	0.383655527345775	0.133436387099101	0.056285337361274	0.148930284217122	0	0.10443120864466	0.786835391483103	0	0	0.0551272055055619	0.0110306091377159	0	0.0184864992670544	0.0136742110139683	0	0	0	0.00479597324044318	0	9999	0.703501203504518	0.727038818506669	2.8006448009818
B	0.255162095070193	0	0.895557546710122	0.415431877897246	0.204096934246015	0	0.0965818968707763	0	0.0474734242909984	0.759425692287022	0	0	0.101539741270573	0	0	0	0.0174862270070861	0.0774356300566017	0	0	0.0303842612272593	0	9999	0.700179141369254	0.728344655278351	2.90057532693389
C	0.029350136264029	0.00464771519974858	0.104625417970125	0.144543755283631	0.0219938662639358	0	0.267480015898313	0.502013396076017	0.0915200829131788	0.537548768500231	0	0	0.0153751388360425	0.00526680627329983	0	0.0184571356580694	0.0134591424663898	0.119553662120013	0.068169470497879	0	0	0	9999	0.754554918297598	0.667747051744176	1.9440045102209
D	0.0412576902019515	0	0.116777196323902	0.156457180652303	0.00208485412641235	0	0.305001089887468	0.414988354528153	0.0925414407228231	0.626321304727049	0	0	0.00505812673740605	9.32961162606983e-05	0	0.0164575290856744	0	0.147218717267219	0.0485890829567443	0	0	0	9999	0.768605760526196	0.65343824177241	1.97284586333337
E	0.022351670435835	0	0.197294215494068	0.209740706237473	0.149318238649475	0.0213124486209638	0.145634418874974	0	0.0626753448007335	1.10667532536371	0.000546111444822683	0	0	0	0	0.00608799273540333	0.00567982959883619	0	0.172935396216408	0	0	0	9999	0.786812419790232	0.621341989321922	2.1002516984727
F	0.0479445876598563	0	0.281014342947168	1.17058876311805	0.0139649251338586	0	0	0.0133930437301435	0.0353472667053851	0.362829947827895	0	0	0.0407622913351051	0.0613828214439455	0	0	0.00354725774112402	0.0101148047217116	0	0	0	0	9999	0.804149369349447	0.594797512633248	2.04089005236425
G	0.17378094666115	0.0709795759809827	1.24267313929371	0.360318284156166	0	0.468524321780636	0.101130223488958	0.0604920565052106	0.027146964380248	0.26391092237704	0.0597470166481	0	0.0725341248393177	0.018909979507401	0	0	0	0.0140443111084808	0	0	0	0	9999	0.669719505794233	0.747331264987787	2.9341918667274
H	0.101320259044268	0.028514740494301	1.7853304763129	0.0378333705126169	0.0387328610500248	0	0.0254694246507026	0.112089306821859	0	0.159932237483419	0.000345135316046456	0.00515630050435904	0.0832308601716815	0.00132141458788675	0	0	0	0.00301380214644315	0	0	0	0.00129847396362625	9999	0.637129683785034	0.771459460504547	2.38358866306013
I	0.116775453343777	0	1.76891643944847	0.0889240619071218	0	0	0.00508483294140898	0.135391694552223	0.00457825694014816	0.13364005470429	0	0.00824700629097658	0.127109529351411	0	0	0	0.00237030153496268	0	0	0	0	0	9999	0.687509330748218	0.726029040425579	2.39103763101479
J	0.0182141342992047	0.0173729238621834	0	0.0789000306467315	0.0256526843733418	0	0.350116540087048	0.785667627734914	0	0.0494522678036323	0	0	0	0.0160522983058001	0	0.0157274150225786	0.00299448417296658	0.139500269073093	0	0	0	0.0147252234206724	9999	0.745194731191862	0.672799327050928	1.51437589880217
K	0.00644006589864417	0.00409055722797052	0	0.14841212538575	0.0464073391869907	0	0.042688696068251	0	0.0688457877056296	1.08464626658736	0.000961098977247921	0	0	0.0171816556316624	0	0.0152877739042382	0	0	0	0	0	0	9999	0.794520769091585	0.607247718766762	1.43496136657374
L	0	0.00148996828725849	0.0805563625873373	0.339082474511898	0	0	0.156398552944611	0.962026523682685	0	0.0432196973007633	0	0	0	0.00748132090136454	0.0181316023268172	0	0.0012457823882764	0.187479165568632	0	0	0	0.00210728526089092	9999	0.738135137479571	0.682069443678663	1.79921873576053
