CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	otherCells
mix_1	0.0564451337401733	1.36084062237139e-09	0.000799583683646585	2.37823730237286e-06	9.88113730235542e-08	0.0208751935028533	0.044952235653156	1.15809728198781e-06	4.78225020848876e-08	0.876924169090871
mix_2	0.0547149035970761	4.27157175270452e-06	6.26037312359285e-05	1.443933522326e-05	3.8510048064513e-05	0.0271936417665306	0.0416446163494325	8.22137745611037e-08	9.29376348078221e-07	0.876326002010562
mix_3	0.0604896890454659	1.30231128328392e-05	0.00121414204362129	9.69749156333795e-08	6.57065561301446e-08	0.0260576084750955	0.0366159820169155	7.37916496551685e-08	2.15470388187255e-06	0.875607164129066
mix_4	0.0523442368029855	3.78155380853246e-07	0.000251186947315568	3.84298831619259e-07	9.32837375293313e-06	0.0296488319437552	0.0409186474305802	1.17718827384777e-07	5.19830802128411e-08	0.876826836345491
mix_5	0.0543654587585891	3.32089778347949e-08	6.61778396501866e-05	1.31977701564898e-07	3.3166465213145e-07	0.0286568573511744	0.0405838591700094	1.51171919659305e-09	9.7708859756424e-08	0.876327050808666
mix_6	0.0509561399082515	5.00629022807693e-07	2.26338878521463e-05	1.76250283412136e-08	1.0932238934161e-05	0.0297393474950444	0.0420443041798739	5.36788205776311e-09	2.46725481978508e-09	0.877226116200856
mix_7	0.0565696194217848	1.84455214935227e-08	0.000199247488622561	6.53692402863071e-08	2.07966838635292e-08	0.0290871366630034	0.0385181278894753	8.23902370162587e-07	1.7109106044748e-08	0.875624922914192
mix_8	0.0563998353157143	3.27604715639842e-09	0.00148307748013145	4.41691516696104e-06	2.75240657608759e-05	0.0251384016918918	0.0405295103850112	4.99622443822936e-09	1.95798664698902e-08	0.876417206294185
mix_9	0.0504850362152381	4.00128423267965e-09	3.93406059116301e-07	2.90798468654191e-07	7.63234384798971e-07	0.0281934439519074	0.0434654314046192	6.48989851398262e-06	6.20726137303522e-06	0.877841939828151
mix_10	0.0585700198428307	4.96344943479764e-07	1.75181596084793e-05	8.30987991975663e-08	1.05886815481666e-08	0.0278842082118186	0.0379842076954244	3.85433942272392e-09	1.79956405971917e-06	0.875541652639495
mix_11	0.0555705752699616	4.00704214252226e-05	0.000896638680474723	3.34853507009633e-06	2.05480509086681e-07	0.0201743128270566	0.0456694689997472	2.47388617298222e-08	4.75358932435115e-09	0.877645350293304
mix_12	0.0537629488470276	1.88903560080815e-08	1.86014572137193e-07	2.58485608429547e-08	1.68764008005817e-06	0.0298293362440839	0.0398880231479867	8.44953315139627e-06	1.48260186923445e-05	0.876494497815489
mix_13	0.0525241446021375	5.87974001516364e-06	2.4332463990632e-05	1.12223743932766e-05	9.89001202817202e-09	0.0309276666660173	0.0394327595173811	3.78196210458458e-08	6.99147984399097e-08	0.877073877011634
mix_14	0.0535766258673422	5.6432017582438e-09	3.18276855745335e-05	6.7891300973997e-08	5.91169204740163e-09	0.0270012973351129	0.0417518756555129	2.08362318959221e-08	8.19716116690406e-07	0.877637453457914
