Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	otherCells
A	0.0294217760357528	0.0294190055189913	0.0294331395129067	0.0294288687194197	0.0294141581209883	0.0293999737097901	0.0294107497662078	0.0294040635396237	0.0293612616280609	0.0294165544825105	0.029400309814262	0.0294103364071031	0.0294257730479172	0.0293994738837804	0.0294144201336451	0.0294110429035572	0.0294209406273439	0.0294351194442584	0.0294885995456104	0.0293992998066247	0.0294084259478974	0.0294016475200204	0.0293988189515484	0.029415494205976	0.0293989103200262	0.0294006177370466	0.0293986774353406	0.029402403500917	0.0294104752071655	0.0294114751277468	0.0293977991141553	0.0294006243628535	0.0294200984239133	0.0294179152334993	1.75026353943508e-06
B	0.0294118310288066	0.0294130487498652	0.0294318324484225	0.0294278052396777	0.0294133642971974	0.0294003986370447	0.0294109940246802	0.0294001423770319	0.0293652101720293	0.0294148237746854	0.0294013988422404	0.0294114825186711	0.0294255401758575	0.0294005905277256	0.0294149101161335	0.0294117774826659	0.029421078275929	0.0294338685496821	0.0294881350615042	0.029399421184112	0.0294098184964872	0.0294016606434548	0.0293980951874175	0.0294159367367177	0.0294005117893712	0.0294020542558883	0.0293991807747577	0.0294038174370877	0.0294111049126797	0.0294223807630343	0.0293992146602817	0.0294005532095367	0.0294190952517445	0.0294170998380161	1.82255956282518e-06
C	0.0294217760357528	0.0294190055189913	0.0294331395129067	0.0294288687194197	0.0294141581209883	0.0293999737097901	0.0294107497662078	0.0294040635396237	0.0293612616280609	0.0294165544825105	0.029400309814262	0.0294103364071031	0.0294257730479172	0.0293994738837804	0.0294144201336451	0.0294110429035572	0.0294209406273439	0.0294351194442584	0.0294885995456104	0.0293992998066247	0.0294084259478974	0.0294016475200204	0.0293988189515484	0.029415494205976	0.0293989103200262	0.0294006177370466	0.0293986774353406	0.029402403500917	0.0294104752071655	0.0294114751277468	0.0293977991141553	0.0294006243628535	0.0294200984239133	0.0294179152334993	1.75026353943508e-06
D	0.0294231099081433	0.0294198468859172	0.0294338863361348	0.0294295477763159	0.0294145677753801	0.0294010543840792	0.0294113080066645	0.0293989915782179	0.0293618326588158	0.0294202375305791	0.0294008498772025	0.0294113855591027	0.0294258840850625	0.0293997766325844	0.0294146546452473	0.029411697375008	0.0294207005859881	0.0294351748952208	0.0294883551315523	0.0293995210531179	0.0294086458226914	0.0294010727413821	0.0293986929795712	0.0294150533381277	0.0293985753082734	0.02940023448792	0.0293979409240781	0.0294018898855412	0.029410017129913	0.0294111203733378	0.0293969176296769	0.0293993800258964	0.0294191601884986	0.0294169295878413	1.98689691643938e-06
E	0.0294118310288066	0.0294130487498652	0.0294318324484225	0.0294278052396777	0.0294133642971974	0.0294003986370447	0.0294109940246802	0.0294001423770319	0.0293652101720293	0.0294148237746854	0.0294013988422404	0.0294114825186711	0.0294255401758575	0.0294005905277256	0.0294149101161335	0.0294117774826659	0.029421078275929	0.0294338685496821	0.0294881350615042	0.029399421184112	0.0294098184964872	0.0294016606434548	0.0293980951874175	0.0294159367367177	0.0294005117893712	0.0294020542558883	0.0293991807747577	0.0294038174370877	0.0294111049126797	0.0294223807630343	0.0293992146602817	0.0294005532095367	0.0294190952517445	0.0294170998380161	1.82255956282518e-06
F	0.0294217760357528	0.0294190055189913	0.0294331395129067	0.0294288687194197	0.0294141581209883	0.0293999737097901	0.0294107497662078	0.0294040635396237	0.0293612616280609	0.0294165544825105	0.029400309814262	0.0294103364071031	0.0294257730479172	0.0293994738837804	0.0294144201336451	0.0294110429035572	0.0294209406273439	0.0294351194442584	0.0294885995456104	0.0293992998066247	0.0294084259478974	0.0294016475200204	0.0293988189515484	0.029415494205976	0.0293989103200262	0.0294006177370466	0.0293986774353406	0.029402403500917	0.0294104752071655	0.0294114751277468	0.0293977991141553	0.0294006243628535	0.0294200984239133	0.0294179152334993	1.75026353943508e-06
G	0.0294231099081433	0.0294198468859172	0.0294338863361348	0.0294295477763159	0.0294145677753801	0.0294010543840792	0.0294113080066645	0.0293989915782179	0.0293618326588158	0.0294202375305791	0.0294008498772025	0.0294113855591027	0.0294258840850625	0.0293997766325844	0.0294146546452473	0.029411697375008	0.0294207005859881	0.0294351748952208	0.0294883551315523	0.0293995210531179	0.0294086458226914	0.0294010727413821	0.0293986929795712	0.0294150533381277	0.0293985753082734	0.02940023448792	0.0293979409240781	0.0294018898855412	0.029410017129913	0.0294111203733378	0.0293969176296769	0.0293993800258964	0.0294191601884986	0.0294169295878413	1.98689691643938e-06
H	0.0294219982506853	0.0294121810717457	0.0294366048450744	0.0294316689031896	0.0294147065537027	0.029398186503402	0.0294112488961534	0.0294029243839173	0.029354643273966	0.0294098702072395	0.0293996439636076	0.0294110234459898	0.0294283559108442	0.0293985427160018	0.0294154159137366	0.0294117033204195	0.0294227794224747	0.0294387826378365	0.0295015012877483	0.0293971205668205	0.0294088214287475	0.0294010712556163	0.0293964225009901	0.029416498177447	0.0293979990521687	0.0293998820331492	0.0293974190018958	0.029401848377133	0.0294110147039375	0.0294117671878402	0.0293967187333089	0.0293996820608457	0.0294213467018026	0.0294188238937679	1.78281679441561e-06
I	0.0294118310288066	0.0294130487498652	0.0294318324484225	0.0294278052396777	0.0294133642971974	0.0294003986370447	0.0294109940246802	0.0294001423770319	0.0293652101720293	0.0294148237746854	0.0294013988422404	0.0294114825186711	0.0294255401758575	0.0294005905277256	0.0294149101161335	0.0294117774826659	0.029421078275929	0.0294338685496821	0.0294881350615042	0.029399421184112	0.0294098184964872	0.0294016606434548	0.0293980951874175	0.0294159367367177	0.0294005117893712	0.0294020542558883	0.0293991807747577	0.0294038174370877	0.0294111049126797	0.0294223807630343	0.0293992146602817	0.0294005532095367	0.0294190952517445	0.0294170998380161	1.82255956282518e-06
J	0.0294217760357528	0.0294190055189913	0.0294331395129067	0.0294288687194197	0.0294141581209883	0.0293999737097901	0.0294107497662078	0.0294040635396237	0.0293612616280609	0.0294165544825105	0.029400309814262	0.0294103364071031	0.0294257730479172	0.0293994738837804	0.0294144201336451	0.0294110429035572	0.0294209406273439	0.0294351194442584	0.0294885995456104	0.0293992998066247	0.0294084259478974	0.0294016475200204	0.0293988189515484	0.029415494205976	0.0293989103200262	0.0294006177370466	0.0293986774353406	0.029402403500917	0.0294104752071655	0.0294114751277468	0.0293977991141553	0.0294006243628535	0.0294200984239133	0.0294179152334993	1.75026353943508e-06
