naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	basophil	eosinophil	gamma_delta_T_cell	hematopoietic_progenitor	myeloid_dendritic_cell	plasma_cell	plasmacytoid_dendritic_cell	otherCells
mix_1	0.0598738422229345	3.31689825773433e-05	1.33241504731643e-06	1.05843845032357e-07	0.244148890016809	2.40190859072735e-07	1.28793972031878e-06	0.37536101667807	0.210796011510249	0.0308415938380343	2.41335353536423e-05	1.76427506846296e-05	0.0757486035689113	5.11070921999749e-05	1.43974913499935e-05	6.77666637995119e-07	4.87577498766491e-06	1.40495906964343e-05	6.58584382578516e-07	0.000137715013661582	0.00292864929298897
mix_2	0.088177553160765	1.16521320265477e-06	8.66662349964495e-07	1.23480450390292e-07	0.297981664321781	5.95350868368495e-07	1.09382368446256e-06	0.310767283220225	0.144077694722683	0.00954625325260017	6.49026499836087e-06	6.58622206729461e-07	0.126514368798761	0.00284839852168992	2.87034109363564e-06	1.39640947161357e-07	1.16781916183158e-05	5.39075341672315e-05	0.0154717799492185	0.00449270799028066	4.27069364083987e-05
mix_3	0.0760205623995049	2.7907780907659e-07	2.1874797611637e-07	7.33023842148378e-07	0.29369326824834	3.44623740605862e-08	1.79907463469104e-07	0.294571144513764	0.0336428474790243	0.081908891369193	1.81742702839953e-06	6.25748693160103e-07	0.119534762926573	1.40045166575298e-05	8.43110407139346e-07	2.69945191336549e-07	0.0274474745929178	0.0294351346032912	4.40725151210237e-06	0.0436897469479925	3.27537004450873e-05
mix_4	0.0722109652176769	1.74738543164732e-06	2.25699377127612e-07	6.99377630986582e-07	0.235066980765462	2.36238784448639e-07	6.02014094654715e-07	0.445980639800306	0.1808301599934	3.05985816462009e-05	1.31946750775373e-06	6.33852454842998e-07	0.0619031881130207	1.25076109318968e-06	1.07088034901906e-05	4.06115476641452e-06	1.50428522755748e-06	2.01403069713083e-06	7.76119840844801e-06	0.00392912297375487	1.5580285768535e-05
mix_5	0.072428835722717	1.96276808454792e-06	1.6619249952026e-07	9.01315920587422e-08	0.257857747300093	1.23615261143287e-07	2.42314653825041e-07	0.334176487322771	0.164514669229802	0.0409458673083714	1.39032732784954e-06	2.9173862655714e-07	0.105440357686418	4.72447715837179e-07	1.16811852628793e-06	7.68991047482882e-07	7.69467060011943e-06	0.000156416663667423	0.000388399691173493	0.0240601114025997	1.67363564517187e-05
mix_6	0.073759613046046	1.23755642517565e-06	5.73237882970785e-08	2.77050914819137e-07	0.225141121007517	7.32822500246949e-07	9.55853752711559e-07	0.455000760583855	0.186911966032607	0.00145158854733967	1.23070489232306e-06	1.14510782672071e-06	0.057491876494929	7.2081120349255e-07	6.04866009365047e-06	1.63920605606971e-06	1.2527661822339e-06	1.44900350638051e-06	2.01664757331775e-05	0.000204291922648658	1.86902218235474e-06
mix_7	0.0715154037016116	1.51852642409216e-06	1.79539345915993e-07	1.95271253265781e-06	0.27620919480345	1.06848548073319e-07	2.26319006967043e-06	0.323859739395255	0.107732626264807	0.0566019899408007	6.42920969038163e-07	1.48854456794531e-07	0.124963342756981	2.53027307532634e-06	3.12434585993063e-06	2.40913755661775e-07	0.00833634619388766	9.34691881663796e-07	3.49042151819391e-05	0.0307225004284505	1.03094826567895e-05
mix_8	0.0657877275205811	8.84376846290193e-07	1.81966868920504e-07	2.51648454831042e-07	0.269633563985535	1.56973597614294e-07	2.68592368679326e-07	0.344012652754247	0.133521353840622	0.0370971105997814	1.24554290418647e-06	9.04261757506785e-08	0.120719633117467	2.03083388014345e-05	1.77731612528903e-06	9.94948904161725e-07	2.16505011263644e-05	5.63045885669976e-06	1.83655232244402e-06	0.0291625886092178	1.00919291964319e-05
mix_9	0.0648209675323166	3.77261136776781e-06	5.08097357742375e-07	1.67928246122335e-06	0.234986119480529	3.35444881483788e-06	9.91468333416349e-07	0.415667151430624	0.24661101370523	4.3352933965746e-05	2.88806183825395e-06	1.5602845235384e-06	0.0339254439095874	1.27020158014519e-06	7.39857634917284e-06	0.00353349198070838	7.48795123085788e-07	7.64518544835919e-07	2.89945883220647e-05	0.000307825656542522	5.07024358803454e-05
mix_10	0.077108753354264	3.89223094263529e-07	1.16778066911119e-07	5.63153882847922e-08	0.242741445012605	2.07644764712556e-07	2.01332957876712e-06	0.487619227971828	0.0523282096100355	0.0351597199651003	1.11032305933698e-06	5.02471242272512e-07	0.0957818474820071	2.57462249587875e-07	3.81741153088868e-06	1.61823884707843e-06	1.93938114192475e-06	9.4782355692506e-06	0.00889938076338396	0.000326165718841495	1.37433074012261e-05
mix_11	0.0766932687188981	3.77130631191601e-07	2.03334564403766e-07	3.15808840510784e-07	0.2480107583496	2.59776832178892e-06	9.13827862992204e-06	0.40015342737956	0.194494080546279	4.07693669788175e-05	7.84450239756152e-06	3.69269648453675e-06	0.0755207597766103	3.00045900198527e-06	7.32458185742916e-06	2.23920676163586e-06	3.79644530684409e-06	1.77540596754902e-06	0.00491118965458279	8.97993598444137e-06	0.000124460652741187
mix_12	0.0565542311296641	7.3333785126012e-07	4.09473922036912e-07	5.75992988223347e-07	0.225228557106881	4.31431433532331e-06	1.47027373278921e-07	0.458618339781492	0.142163090697938	0.0310605954224235	1.2286485929361e-06	1.42239001282157e-07	0.0861253960639511	7.19504678266452e-07	6.7094724302762e-07	3.23337074282262e-07	3.55742721604489e-06	3.3995914637457e-06	4.4404480132004e-08	0.000212427870800634	2.10956806299123e-05
mix_13	0.0636640623420209	7.57484792976197e-07	1.90121702885871e-06	2.12367801541376e-07	0.191384307687663	2.77204242650583e-06	4.2033024537263e-07	0.579343952159704	0.113290368052235	1.70113878522986e-05	2.58993544363023e-06	2.35259869196539e-07	0.0521586177466537	2.58521172871142e-07	0.000106866971041211	8.51068800971837e-07	1.20708066344301e-06	1.24087454819415e-06	2.54654372059423e-06	4.18320732303907e-06	1.56377189920454e-05
mix_14	0.0726133539423583	7.87155148895643e-07	6.88026649035145e-07	4.80820631400869e-08	0.206084110842084	6.00437299452651e-08	4.70378607935012e-06	0.521221491910768	0.148941437481639	0.00291348847960134	4.61478964345645e-06	5.63899629654735e-07	0.0466951473466683	1.00852663797478e-07	0.0014937865695475	1.14508003714133e-06	2.89123798958072e-07	8.56198611918155e-07	3.37964723640668e-06	3.56861646379119e-06	1.6378125578087e-05
mix_15	0.0696749165913666	2.34475016108337e-06	4.03376035958429e-07	1.25699473478233e-06	0.260818552657675	5.60752242611761e-07	4.79702187352713e-07	0.382713086745131	0.142981108740488	0.0293012954119616	1.10440683837278e-06	3.78169237649528e-07	0.0903593643956449	2.56918936934437e-07	4.00538516966647e-06	1.65755384019469e-07	1.29151644625137e-05	6.03385384595783e-06	2.87637421603265e-06	0.0240915223880326	2.73714662466507e-05
mix_16	0.0850944233265518	7.63406551519946e-07	1.67402349497895e-06	9.9814661239304e-07	0.290634488972631	1.53678369149171e-06	1.57970983699305e-07	0.255236125996256	0.0363710896836679	0.0780095095934315	1.47518767596832e-06	7.15819160344126e-07	0.0952780753100347	3.07715328587816e-08	1.69161362814216e-06	7.71790185081719e-07	0.0461261263176225	0.0168099860893156	0.0350637079066341	0.0613488135753879	1.78377149504527e-05
mix_17	0.0808066867143701	9.80449527380945e-07	1.18576632065721e-07	8.17071377392063e-08	0.292753388843867	1.23829700698184e-07	7.40331878502423e-07	0.322251840097357	0.0155325368540206	0.0670383843756337	6.03773678410934e-07	1.43102671868794e-07	0.120701163730095	9.51630116770321e-06	7.34472179265473e-07	7.96001984916239e-08	0.0363889522320867	0.00426818316051821	0.0078597197762607	0.0523755890667582	1.04330042605127e-05
mix_18	0.0715119255435052	8.23102920245022e-06	2.19497411719018e-06	3.24889087014127e-07	0.254760838361321	2.77381090169834e-06	3.7532757010934e-06	0.546535635477401	0.0145816195769321	0.0116415776162058	1.25717939749413e-05	3.21758079414247e-06	0.100648034767887	1.27885367637607e-05	8.14185291313064e-05	2.23974059854608e-06	1.65162594808155e-05	7.63783905482661e-05	8.37212279530914e-06	5.60009756517646e-05	3.35867479995811e-05
mix_19	0.0654049563310208	5.61073589386347e-06	3.22557309321193e-07	3.74360066069063e-06	0.282119921017131	6.74463590413741e-06	3.10831725026844e-06	0.331432686018922	0.0464788914128039	0.0794096969163724	1.09257264140069e-05	9.39630513951955e-07	0.122205252663575	8.62732212415496e-06	2.44035636943161e-06	2.28829137952053e-07	0.0219230705962292	0.0136572849197837	1.97301009112862e-06	0.0370860019580286	0.000237573444464401
mix_20	0.0949667637026988	3.0588349690265e-05	1.24313517412391e-06	8.61190996934257e-07	0.231484052975588	9.19629519210398e-07	2.83808009004451e-06	0.46656229081986	0.149365767048216	2.90959988065087e-05	1.60964012298843e-06	1.6894211091793e-08	0.0468864764408019	7.46830673408997e-06	4.38822529672954e-05	3.67090426892993e-06	5.82627544140444e-06	5.59859632953308e-06	0.0103322975983297	6.67943036151311e-05	0.000201937856538659
mix_21	0.0659826814821761	2.41928768876401e-06	3.5580446842207e-07	4.36327397381522e-07	0.244538767958934	1.96379659890291e-06	3.67973892540205e-07	0.478973407189489	0.0358073207945739	0.04846563472962	6.40893291029453e-07	4.10659910402012e-06	0.0979127469603163	5.21616885206916e-07	8.68043776400595e-06	4.00409416948848e-06	0.00857101495170658	1.40248677837874e-06	3.86199083992729e-06	0.0196499961343748	6.96684899306188e-05
mix_22	0.0566059563787266	8.16646943874469e-07	1.73265820444956e-06	3.88711327493194e-10	0.240413484856094	1.5567439773937e-06	4.18527105011565e-07	0.411728613361209	0.184687930220757	0.0270078407712817	1.64371264176125e-07	4.15703814234953e-07	0.0795283482081753	1.70697646410997e-06	2.64905915705681e-06	4.01618181787366e-07	4.23307909135455e-07	1.11137891622818e-06	4.44596374829114e-07	6.16117825420053e-06	9.82304847874094e-06
mix_23	0.0733701182968821	1.42638658346498e-06	5.60305766768146e-08	3.2693338800965e-07	0.219276611475545	2.21314109585291e-06	2.24542903559411e-06	0.480839017158202	0.173257471970493	7.26913263544061e-06	3.7971418383241e-06	5.50760630487722e-06	0.0531614187006873	4.06146607914159e-07	1.80698121083025e-05	3.29580103612062e-06	1.37488240770066e-06	3.17902681685125e-06	6.97037725312915e-06	1.27476439615847e-05	2.64769065410064e-05
mix_24	0.0692391645733757	1.98292161277552e-06	1.11004528372695e-06	5.2339985348014e-08	0.241001903580034	8.28971667514417e-08	2.74873480836837e-07	0.43799100626656	0.119826929046367	0.0317289345796763	2.86300333970029e-06	1.09706779984658e-07	0.0841859975538542	4.77843262847632e-07	2.25821282615879e-06	2.35855888278399e-06	1.93291654859003e-05	3.74103352850837e-06	2.1941434320423e-05	0.0159505581071842	1.89242569934578e-05
mix_25	0.0712064647382768	1.16296617180532e-06	1.66997694250673e-07	6.91976968079225e-08	0.212281688764329	6.10454383955471e-07	1.06691339357349e-06	0.479252904606308	0.209494466405612	7.31550538074344e-07	6.00480261568313e-07	2.37253244600857e-07	0.0263600738393973	1.98775868732043e-06	6.01324611625455e-05	1.35008657071953e-05	5.68351389783277e-07	1.64104260936032e-06	0.00106147991020179	0.000253079878612688	7.36556432234803e-06
