Mixture	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0	0.297424801278079	0	0	0.331445349114922	0.189654707199103	0.729749929789108	9999	0.0553252082110428	1.24584539969152	1.54827478738121
mix_2	0	0	0.187715589508237	0	0	0.828262219173854	0.392441578729651	0.142241119688749	9999	0.0665658825267905	1.24629407362515	1.55066050710049
mix_3	0	0	0.287177502132143	0	0	0.63267739543712	0.255515342986866	0.370710586773488	9999	0.0601494361167199	1.23452638671008	1.54608082732962
mix_4	0	0	0.124313536407851	0	0	0.947112608714655	0.298798518193258	0.162093961356087	9999	0.0635386056696219	1.22565947525939	1.53231862467185
mix_5	0	0	0.272638970073287	0	0	0.414419815328589	0.178063711922048	0.668145312752517	9999	0.0554261424738522	1.2408280382932	1.53326781007644
mix_6	0	0	0.160086286796157	0	0	0.822745682551105	0.229419021739493	0.321840096403702	9999	0.0597298823626273	1.22413574654182	1.53409108749046
mix_7	0	0	0.199856425749871	0	0	0.859445584819369	0.381615623094222	0.0958687173279646	9999	0.0674452376172039	1.24274316861691	1.53678635099143
mix_8	0	0	0.194455402997526	0	0	0.682756517822639	0.364755466138981	0.293888002457655	9999	0.0643350324488749	1.24823642755532	1.5358553894168
mix_9	0	0	0.0534575880108429	0	0	0.906676107440802	0.229043166361341	0.346678527603815	9999	0.0580137434611687	1.22323169232854	1.5358553894168
mix_10	0	0	0.207763493651556	0	0	0.773808392439831	0.195337137360915	0.379114477575244	9999	0.0566648973810175	1.22480193826726	1.55602350102755
mix_11	0	0	0.258080107399543	0	0	0.638009717521378	0.140849757618707	0.53545087061474	9999	0.0533537846884664	1.22962711099058	1.57239045315437
mix_12	0	0	0.200948815752109	0	0	0.79261807271926	0.192260942168771	0.349373129667479	9999	0.0575681021752184	1.2229111186328	1.53520096030762
mix_13	0	0	0.0757488362378219	0	0	0.90554793513332	0.222633441858344	0.339750932643631	9999	0.0574422622787235	1.22276275162216	1.54368114587312
mix_14	0	0	0.137194857191189	0	0	0.831097218626363	0.194417222749661	0.388613201314721	9999	0.0567774516540515	1.22329374163181	1.55132249988193
mix_15	0	0	0.130225115738987	0	0	0.912634695261616	0.337484556409745	0.158455505755254	9999	0.0645500501130912	1.23288995222278	1.5387998731656
mix_16	0	0	0.183762842749463	0	0	0.650858354378887	0.183613828923133	0.518235442769038	9999	0.0533667987947769	1.23212761428337	1.53647046882052
mix_17	0	0	0.130219148268307	0	0	0.999485885668624	0.210890759744377	0.19251403052882	9999	0.0572643289061132	1.21662039267388	1.53310982421013
mix_18	0	0	0.141986548965643	0	0	1.093871254319	0.203134651982123	0.12278483664664	9999	0.0580712974663057	1.21189016371423	1.56177729191341
mix_19	0	0	0.269304073751116	0	0	0.606424693372096	0.226879355196585	0.441421388937818	9999	0.0573475823783799	1.23421167560804	1.54402951125762
mix_20	0	0	0.119236485019672	0	0	1.03373237801745	0.284274630416274	0.110110327373426	9999	0.0627552166111085	1.22053103712481	1.54735382082682
mix_21	0	0	0.115103257046863	0	0	1.06797154282081	0.249848173756712	0.0997113422633067	9999	0.060889758510422	1.21580074234583	1.53263431588769
mix_22	0	0	0.247517173966743	0	0	0.501284525067443	0.151570066799699	0.647903021547328	9999	0.0533670726510053	1.23685865309884	1.54827478738121
mix_23	0	0	0.129558192710236	0	0	0.862114403551779	0.21550973239845	0.352161529979167	9999	0.0578102249085477	1.22309974606243	1.55934385863963
mix_24	0	0	0.115324975005059	0	0	0.938887768369697	0.325976710613854	0.152129170683241	9999	0.0649240704702618	1.22962035145257	1.53231862467185
mix_25	0	0	0.145465222980859	0	0	1.00787219750467	0.304351795866269	0.0833870933756354	9999	0.064877633992204	1.22320170242295	1.54107630972744
mix_26	0	0	0.17302416674736	0	0	1.10350782178609	0.216398565875176	0.0484645170757086	9999	0.0595004955122879	1.21105570448742	1.54139507148434
mix_27	0	0	0.195543540232875	0	0	0.791568325079213	0.198972463505277	0.364366539088415	9999	0.0574338435906753	1.2239064944223	1.55045086790578
mix_28	0	0	0.141107124985328	0	0	0.796593207620496	0.225391528825911	0.375708011733867	9999	0.0580525134281884	1.22632131030449	1.5387998731656
mix_29	0	0	0.227313952357513	0	0	0.64635778138897	0.191667093939243	0.487028844073821	9999	0.0560180290832986	1.23059726727768	1.55236767175955
