CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	otherCells
mix_1	0.217382403555922	0.0530099969638041	1.21297115045572e-06	3.17898843453784e-07	6.23211627941611e-10	4.1425430456419e-07	0.652430261227115	0.07717441656114	1.01231400974589e-07	8.74713107612557e-07
mix_2	0.234217494586026	0.157114138789763	1.14288455101256e-07	2.66866036613813e-07	1.03063850977108e-07	4.83282487708632e-08	0.608521974801488	0.000143878427986798	1.25157595991658e-06	7.2927218530694e-07
mix_3	0.000564039837193638	0.24981210808435	9.71639241732829e-07	0.000232583907829117	4.69331592829461e-05	1.55403926002201e-05	0.646671560699732	0.10134288973061	0.00131296054978125	4.11999378946426e-07
mix_4	0.0546739263434324	0.17677696181514	2.65977917978103e-09	8.0807640661959e-07	3.40455454848317e-07	8.62362805398969e-10	0.612407788970907	0.156139195456363	6.87282147237264e-09	9.68487332442258e-07
mix_5	0.0434472722087447	0.0346429055509365	1.54395575116902e-06	3.35450817419209e-05	1.31953173393464e-05	0.000615665594179121	0.628091784754543	0.293103018574729	4.88679504463285e-05	2.20101158920905e-06
mix_6	0.111301334792295	0.143294250752537	8.04996065041362e-08	6.89235467377757e-05	6.19254794879831e-07	3.23859248966207e-07	0.593190677035565	0.152141184920584	2.60305007714792e-07	2.34503362295246e-06
mix_7	0.000563295904845602	0.223918315798246	8.58479527701834e-06	2.10160875375924e-06	2.55842188791906e-07	6.90484244580154e-08	0.600816529876341	0.174684468800529	6.37652055172849e-06	1.80484260869918e-09
mix_8	0.174424172775451	0.209263471346972	4.99821896037532e-09	4.0721652347051e-07	5.39632255262788e-07	1.04637226989087e-06	0.614087541663533	0.00222117505280246	6.05781973134675e-07	1.03516000027337e-06
mix_9	0.159683164701443	0.12137216021443	2.49464854720157e-06	1.99194330413162e-07	0.000317901537514242	4.85714952832483e-06	0.633524212541497	0.0850929555935795	4.36761535092333e-08	2.01074297578874e-06
mix_10	0.00423984176620825	0.324802311131765	1.11616141274288e-07	2.3281645380533e-08	1.87579293099801e-06	2.49823573184058e-07	0.595696272003906	0.0752567317938242	3.42369565587477e-08	2.54855304926416e-06
mix_11	0.265292083771585	0.0405723132855213	1.13062500722863e-05	0.00121612386676258	2.25938567869394e-05	1.20001031403071e-05	0.6770552519609	0.01579895439339	1.41782395954347e-05	5.19427224621172e-06
mix_12	0.191318283753901	0.0718267672064264	1.29189035708433e-07	1.3860104588285e-08	3.61049493903538e-06	2.57822351759779e-08	0.592385810289545	0.14446165532222	7.73034857132884e-07	2.93106673565635e-06
mix_13	0.00450887661472114	0.275529002940885	1.41158216456689e-07	2.99699926228916e-07	0.000680231691802011	1.7834328210932e-07	0.626617347090567	0.0926633045372647	6.02297149064861e-07	1.56261865669194e-08
mix_14	0.000167299127865055	0.338397248088298	5.83012498326465e-09	6.19397322195272e-07	2.7631217830807e-08	3.22137987922776e-07	0.598106427828324	0.0633279701270745	6.76805666127604e-09	7.30637286228131e-08
mix_15	4.36876346571582e-06	0.238250242923881	3.94636255130015e-09	2.76341790506255e-05	2.55155653222619e-05	8.12192516224387e-07	0.598559769932165	0.163128014580712	2.24727375674118e-06	1.3906427684951e-06
mix_16	0.00248596523696878	0.133144556920757	7.55417943996813e-09	3.36451212180166e-09	8.65388210232367e-08	3.56804057655878e-06	0.595193315074064	0.269167276308548	5.0581221633059e-06	1.62839408512916e-07
mix_17	2.53579867998662e-06	0.248195981912536	3.57720441879602e-08	4.27609068947205e-08	3.05683535418534e-06	1.14246679554934e-08	0.501065611456218	0.250730672972156	4.88895636754823e-07	1.56217180002916e-06
mix_18	0.290809458836226	0.0804474917604466	9.65623177830871e-08	4.30298523096404e-05	1.16429572770924e-05	6.99515493480724e-08	0.628662787569708	2.50283860790092e-05	3.4551435823966e-07	4.86097275764763e-08
mix_19	0.108504276885984	0.232315635400155	1.41814181714013e-05	4.6681592530831e-05	0.000128107521613494	1.59521328419619e-05	0.630474768149533	0.0284437685670915	5.60595575347193e-05	5.6877454390758e-07
mix_20	7.1296645532095e-08	0.153493432667161	1.20181104892018e-08	1.6662083661193e-09	8.22446974239518e-08	8.25745281478147e-09	0.582624134765261	0.263881675373333	2.52041553221303e-07	3.29669577858738e-07
mix_21	2.02997622453718e-05	0.210414260331195	4.42200508845344e-07	7.29442102136175e-07	2.40347486146895e-06	3.24616468947265e-07	0.583091353570764	0.206470136598709	4.37406873663165e-08	6.26245821866434e-09
mix_22	0.0963294066455192	0.263597164614428	5.82226001425274e-06	0.000110782402429262	0.00011667030819178	3.49305202265769e-05	0.635350117291624	0.00441333587381948	4.11675081578928e-05	6.02575589647714e-07
mix_23	0.0975716736661404	0.279433471923487	1.15590664890865e-07	4.74230901480332e-07	2.31690033606039e-06	2.53050803404093e-07	0.622973276655487	1.51384382108022e-05	3.2776045539337e-06	1.93941451787083e-09
mix_24	0.333918814938878	0.0232930481594099	1.49430357273381e-07	2.77259349106902e-07	2.12961772735492e-07	2.70081421676574e-08	0.640225166699381	0.00256223641701324	1.2925501987851e-08	5.42001949987991e-08
mix_25	0.169849794801743	0.0645678201449063	2.06887202047656e-06	2.39580537587125e-05	1.64604047419141e-06	2.70294201311239e-06	0.599111795394353	0.166437428463918	1.9395216925087e-06	8.45765120160991e-07
mix_26	1.89962374856737e-08	0.15733429308114	8.51721889677961e-06	2.01811732695812e-07	9.86742191592135e-07	1.03752305014665e-05	0.636301307574229	0.206014637596387	0.000327987077000775	1.67467168321611e-06
mix_27	0.247512734034271	0.0772384508660948	3.41401330305794e-06	2.02457057099358e-05	5.51308755813726e-05	4.01351841333814e-05	0.67494542899228	0.00017540047681209	7.9964082435663e-06	1.06344357075905e-06
mix_28	1.90461974750984e-07	0.161958757318374	5.37808359931419e-05	0.00024597857936919	1.18534613311908e-05	1.08451886886881e-08	0.572490424046067	0.26523104160181	7.95897211089331e-06	3.87778087418411e-09
mix_29	0.132542409224142	0.177254753039533	3.45294603955654e-06	3.66769632715207e-06	5.17655774922203e-05	0.000193448804289436	0.599237185919813	0.0907010805355442	1.20331270556345e-05	2.03129764009269e-07
mix_30	0.126366725217302	0.0714358198186591	4.69306886235245e-06	3.96412451816904e-06	7.39427156944471e-08	1.41211199068791e-06	0.574652528640687	0.227534557613267	1.90684268204368e-07	3.47777301401564e-08
mix_31	0.134508979918115	0.210267036312504	0.000115072504125228	2.74176654437776e-05	3.12593867955496e-05	3.57030592532924e-05	0.601885351787026	0.0530716098991082	4.20192187572863e-05	1.55502488717874e-05
mix_32	0.0481018386351099	0.214523230408642	0.000233556711008382	0.000129111857032658	9.175590427361e-06	0.000129246185601512	0.623844413564745	0.113008825269797	1.60363812042822e-05	4.56539643145515e-06
mix_33	0.148365746533397	0.13978853769976	3.35154280114385e-08	2.80280253726312e-07	1.13244266020471e-09	5.66504570577098e-10	0.595479138240291	0.116365892361057	4.36026328427066e-08	3.2606823308079e-07
mix_34	0.223756163842717	0.131420245894848	2.42306048152465e-06	1.5977439633624e-06	1.62815296627053e-05	1.76073334410316e-07	0.643359198938325	0.00136858326039915	7.35506894731734e-05	1.77896679509626e-06
