Gene,T_cells_(CD4+),B_cells,T_cells_(CD8+),Endothelial_cells,Fibroblasts,Macrophage
mix_1,441.937438338,160.320229126,619.32096247,582.082528912,569.105905394,390.024064861
mix_2,434.071758402,169.866765008,595.471582696,625.840697654,570.271369909,386.339528555
mix_3,390.000061141,172.559289559,571.985292827,630.174142606,688.360119781,415.043740141
mix_4,462.537897345,173.290347657,618.473987364,525.59963557,600.070038119,350.741819968
mix_5,423.767315491,173.966742906,604.303276386,546.502073329,658.551910803,368.599529543
mix_6,460.530753239,169.956799023,623.300503819,543.248069523,605.108074104,346.212649022
mix_7,409.067998292,175.295565773,589.131805558,580.591530524,682.799703773,382.916383913
mix_8,413.022306236,172.296832385,590.109922682,603.188958813,650.907832753,388.083595134
mix_9,489.965684585,167.784126603,630.207159579,516.813020495,557.456290813,335.674946473
mix_10,435.98276545,173.663670015,594.738588267,568.398719986,589.219154403,400.332291121
mix_11,450.723118744,171.864415305,633.99290009,575.92729778,501.449969632,390.106644767
mix_12,444.923295824,170.236500766,597.990041464,551.086677822,653.829470115,370.275103601
mix_13,490.623402424,163.92714218,586.102695858,591.358324272,563.636380123,371.871090181
mix_14,475.278976462,172.704001801,626.112028765,522.563081619,540.313024633,375.995743772
mix_15,433.127448715,166.596321255,599.36264621,581.080438622,635.954969874,368.856336281
mix_16,397.625620675,172.478019925,569.050395427,627.370039398,705.426373177,390.435338915
mix_17,403.114880354,174.474604423,568.150569696,626.205031546,722.168600214,399.997306083
mix_18,455.289466517,169.46240063,577.484734805,602.763649872,556.131211756,411.290840945
mix_19,394.145433088,172.667754298,567.451001065,642.608612534,683.555214053,417.17623804
mix_20,464.246961654,166.285071167,619.535879453,575.124801314,560.470061046,352.86380995
mix_21,432.854718195,169.896003492,566.741418414,599.491614665,677.509986914,379.782897649
mix_22,452.845155373,170.047311473,613.022353959,541.430402231,574.826360157,402.053987106
mix_23,464.820736968,164.327804831,622.131211372,570.719176664,526.924855641,382.003276801
mix_24,437.980608908,168.27367788,599.686100757,560.247508259,659.286847437,358.495310522
mix_25,485.253785015,164.281509507,632.300276856,528.119071244,550.344242154,344.556136991
mix_26,421.100459926,170.242570984,560.503021829,617.381097978,674.389845717,407.770161529
mix_27,461.731774526,167.36119987,627.344394213,559.754987109,544.587356193,375.10463944
mix_28,451.671065896,168.390302785,612.432244956,558.512697251,606.339498384,355.959614876
mix_29,441.617592134,167.684923075,619.06061748,576.857836139,555.791584237,390.59417312
mix_30,470.621500084,168.321631397,615.484088905,532.08800736,581.699101534,356.535760498
mix_31,450.009427315,167.162726784,602.050219157,573.930861597,582.562703426,390.063158144
mix_32,479.554239098,174.50063674,613.718670003,515.181514683,509.878704425,384.990035265
mix_33,449.375072123,165.544352714,584.124273495,589.177929966,584.210475352,389.439848621
mix_34,409.414625876,171.135796064,567.577394602,652.558016763,620.86260799,433.224066366
mix_35,452.352874545,170.991064386,610.609787837,547.691304713,612.44662338,374.042016373
mix_36,429.248449417,172.197985631,599.474107906,560.357744302,623.575892976,383.943484736
mix_37,411.968938468,170.814165081,577.592090128,613.512356631,690.63906012,389.701243272
mix_38,413.550979388,171.22385315,592.414839927,601.414124067,657.98169699,390.989183335
mix_39,452.343902477,169.799380932,612.262991446,560.462483098,588.831997316,356.043024794
mix_40,437.927419808,175.575102561,593.932418324,556.331502174,620.59612985,390.998070778
mix_41,411.434951648,168.737286871,567.179846678,622.115140487,654.834897339,415.476165365
mix_42,494.716681476,176.312924169,611.161055806,531.698721854,520.277358983,374.126828985
mix_43,424.325531753,171.818019643,567.76875715,611.992975789,623.965619649,409.223632336
mix_44,460.636220027,169.270991379,611.540912038,575.288147745,515.862642757,378.443927119
mix_45,420.819404606,171.419016572,614.950536036,562.909092319,616.619275629,385.59170157
mix_46,421.335441454,171.488146062,584.826777972,596.796766294,637.960294304,413.624886022
mix_47,392.195480934,181.420341739,542.876843889,696.888366395,734.467493203,419.088726885
mix_48,461.410387969,172.200460574,595.822957686,566.060574892,549.357977054,401.604360524
mix_49,424.043324196,179.056216305,609.591269291,543.407312125,547.597843522,430.702196356
mix_50,459.569154078,174.483096246,619.659729244,545.592971053,593.485724432,364.865626772
mix_51,410.757568274,171.790010498,556.526408491,614.587632133,687.508038334,413.401310114
mix_52,418.352055499,168.80558442,576.756484317,608.820034765,640.091306273,408.400847551
mix_53,426.389848251,176.409281236,591.416012082,609.025329729,569.625494982,417.521022367
mix_54,453.174241982,166.82786696,602.293450759,565.098305729,610.315832174,364.450145844
mix_55,441.127680778,170.053734062,570.362562327,608.07631669,631.082654923,386.802454799
mix_56,464.85938178,166.986020589,606.666696788,546.745986619,587.08453456,380.238395146
mix_57,465.485713766,171.746982648,629.914152303,515.119150235,577.72899799,355.977368552
mix_58,442.466143052,166.381577934,601.843468092,573.605349385,639.477384237,365.946588284
mix_59,405.800486538,176.727677133,573.194323326,610.895276797,639.276746465,417.699949107
mix_60,450.670513695,168.516211986,585.310280358,589.054047757,603.355546289,380.338081375
mix_61,429.956826241,173.811301274,601.190968454,550.072890346,644.643470479,375.187848022
mix_62,405.936298466,171.876666769,584.968639116,605.392749694,659.161860881,404.108616524
mix_63,448.669151683,166.116820619,599.946823482,558.546426695,636.502718174,364.157029741
mix_64,382.088183828,179.449521337,556.492048215,666.935371338,719.210857117,413.381310794
mix_65,408.675716047,166.941761387,569.1108103,623.312681606,645.839856605,412.085792033
mix_66,418.228449369,177.354540955,593.509518369,610.726646375,579.636950425,416.504367456
mix_67,429.838993846,169.113151822,620.160383401,568.883630928,597.58296526,378.062417387
mix_68,427.788025454,168.700564372,578.942428878,598.364804772,657.927708198,383.088438301
mix_69,453.430750566,172.029073714,613.178857459,547.278271839,598.143035223,350.501322139
mix_70,416.479344727,172.718641391,561.854588067,612.891759729,698.286014672,400.188956468
mix_71,419.004116867,166.58096304,584.016449789,609.726342418,643.415294854,392.638208735
mix_72,404.554815629,168.150130101,577.713866071,607.876332179,679.359362802,388.566945893
mix_73,419.725707835,173.483589391,569.122363456,590.181342131,727.397819914,375.274414574
mix_74,500.752147185,168.065645478,624.83261794,533.749171333,503.540004625,352.148943484
mix_75,445.607905694,166.320612808,591.543074792,577.91875146,594.616139156,382.874583629
mix_76,412.930315448,169.021662637,596.840510178,567.273261745,659.155156543,392.276106388
mix_77,451.748137318,168.610694154,610.380321787,547.270061879,591.708186896,365.368913422
mix_78,430.750975855,166.037999272,580.534860106,596.604470101,652.620852316,381.581880149
mix_79,384.196731059,172.829064855,578.431846407,604.261378568,685.965691586,407.544311324
mix_80,428.29391453,172.765840209,588.279559499,581.495900539,560.049641748,405.186250465
mix_81,404.500760559,174.190530048,566.98118023,660.303445481,589.535072369,444.955412641
mix_82,377.968282412,183.078103703,544.976014058,655.929298461,767.417244381,432.302554463
mix_83,430.231474891,176.797660735,560.425326485,574.053952933,710.109918793,380.051297163
mix_84,417.944555839,170.198952287,594.001978072,582.586671745,659.300881199,386.225844063
mix_85,397.029844433,171.700054234,568.687972171,622.125503075,669.8772222,414.079762272
mix_86,437.827168315,169.56668183,601.516856462,551.665707508,636.902470118,357.124397142
mix_87,506.810825125,171.055172276,650.20211233,487.57970326,492.253433231,367.94914189
mix_88,456.997178098,170.255659354,614.787576602,559.776243811,568.075426979,378.018973815
mix_89,397.205796145,172.709566198,568.919184946,648.335511277,614.522766098,418.015993973
mix_90,495.75219584,173.911326326,634.746930611,518.018887738,543.792626039,355.426007126
mix_91,448.413635604,170.486544564,609.266600979,541.402843095,621.654081489,383.33638462
