Gene,B_cells,Blood_CD34._cells,Dendritic_cells,Eosinophils,Fibroblasts,Keratinocytes,Lymphatic_endothelial_cells,Macrophages,Monocytes,NK_cells,Neutrophils,Plasma_cells_CD138.,Platelets,Reticulocytes,Subcutaneous_Adipose,T_cells_CD3.,T_cells_CD4.,T_cells_CD8.,T_cells_Gamma_Delta,T_cells_Regulatory,Vascular_Endothelial_Cells
mix_1,582.812779334,532.89821289,582.544534515,764.936685921,908.563187082,332.14938924,792.655403307,776.906321366,670.127197098,877.200463558,804.272988,356.552937969,407.59498895,175.686079923,479.691186431,788.551068174,663.190307129,1289.53113462,859.068699814,576.313219454,661.737993217
mix_2,591.077274377,563.966051231,545.573370381,702.116613597,920.063725754,341.825009147,853.215401419,720.34824128,556.545334646,779.146409271,765.574476806,424.697343431,418.11395435,186.778008707,499.892295025,705.494418729,598.985412214,1160.9342513,849.872116069,552.835233606,689.405884363
mix_3,546.017371955,551.035235824,585.098561903,673.796677329,1106.75934268,341.410551509,844.265905658,829.56483014,639.365653303,675.286515726,771.746616216,420.174260977,425.376036558,182.344580472,586.551352645,593.837352427,514.433844908,977.904873212,832.58938133,473.181786512,688.610891181
mix_4,630.559393959,527.151798414,504.030837623,730.087257275,894.695396538,357.287322619,759.484254399,696.827522829,571.839339627,870.904364864,783.756448437,404.826186103,395.935387421,172.361411335,502.971261559,835.545523307,766.504505812,1292.09647613,842.787926933,625.818496449,562.779219454
mix_5,594.82482131,535.01921501,523.181323865,711.948497761,1017.33473684,345.217443292,775.237859491,738.797996303,591.253335109,806.607646297,777.935060632,416.851388853,408.440472514,174.105996389,558.113826052,727.304012172,653.596983235,1181.11699688,829.277838623,559.806162077,573.37848139
mix_6,619.755444397,525.983230208,499.834421385,706.317315095,927.471179382,348.393899182,769.803166578,686.61198655,550.634738348,857.769843637,777.379313552,411.480377127,393.696736712,176.160583787,516.224727043,814.868702649,738.425945135,1290.01289028,854.327204716,617.898724593,587.676609145
mix_7,580.542435041,542.081116808,531.102125308,702.163806195,1056.4784082,341.049936887,802.526911033,755.304489846,585.668725274,753.47023552,766.445806642,419.661581534,416.55834886,178.772609944,581.776987903,665.747353491,584.635486895,1096.43845592,815.900696438,515.774871315,607.621624825
mix_8,553.504138065,550.789154628,532.144783111,701.360356032,1033.63255793,337.337268786,836.590931292,739.912714091,563.503924263,762.893984031,756.272034681,389.880800606,419.008180486,183.812993921,547.419998859,675.511952111,570.788515004,1137.61102378,836.842100551,516.392302186,673.71885387
mix_9,657.325743646,528.920326455,509.326067416,734.255758371,843.009543016,346.765553235,738.963306771,685.046701674,580.889480711,927.428989199,790.11042395,411.341601331,387.869147915,172.491632438,469.121115153,897.780637898,823.221067653,1380.8272116,862.468574249,668.505145353,557.417393686
mix_10,627.823324135,542.32854458,590.721828652,718.879339794,919.846564702,351.999849747,783.546358468,810.528680202,682.223513769,769.661860575,808.310892261,427.425006724,410.633599235,168.090025784,490.194013225,755.699925272,715.499110156,1143.01040673,852.994155101,577.372149266,631.119387053
mix_11,626.717536875,542.310991914,616.335230386,772.166052747,802.51093995,341.904853905,786.403686467,788.157366536,693.675405079,901.194546981,824.526508422,423.141002596,414.382064299,183.876527678,416.258396681,821.455706457,711.437120891,1322.01673581,881.996254352,614.252379184,645.612473789
mix_12,591.772830074,526.052568693,517.310438209,725.397247211,992.382370021,352.48997004,774.840698828,731.238060812,590.63271675,806.951309134,783.837023888,371.577304215,403.035715574,173.056090997,549.984864731,762.309008594,704.26012411,1216.98808684,831.028355474,580.329754249,597.768529277
mix_13,629.527723434,516.427914289,536.199998066,706.084453641,843.265883039,350.041659324,806.184740407,736.608500131,587.644076946,815.962942465,781.070995926,370.851066691,388.920104779,180.668025132,478.264825798,840.323660241,808.215446068,1259.22104455,865.195755974,644.286883473,655.9726071
mix_14,656.379141194,528.464932045,575.55709307,754.516893511,819.598951255,353.181006739,741.672923899,773.446031205,684.293023868,878.288776004,824.336272728,409.990350418,397.948510575,173.694708702,448.221152669,867.857896061,813.39447313,1317.66531389,866.798659236,648.360924261,576.3047955
mix_15,582.838535718,529.074419373,516.084618272,680.474588017,1011.10460027,345.612386451,814.836457252,717.353815841,558.774767278,788.799342241,761.298073191,405.523628545,408.615485353,178.00058649,537.192628792,729.333412893,638.070810548,1182.33862502,841.599646475,555.780101558,630.995744023
mix_16,546.891575949,542.214949748,520.864439134,602.17362695,1175.0633396,344.838564377,860.657017624,750.88163602,534.88478009,645.131657879,728.423391146,460.168822108,419.472532973,188.647449935,617.094105517,571.064504917,475.448886398,944.157015638,818.730358811,467.329520299,667.53361305
mix_17,550.32528397,542.039415391,512.007775313,614.48977371,1146.67812107,346.869292771,858.96515595,735.95049033,524.885278357,655.84594525,728.157319061,429.156460888,414.857994547,184.389528161,623.350623515,582.209872498,509.027133101,952.099131836,816.030218017,475.701224838,670.974940915
mix_18,628.89439289,547.834066128,593.385590757,709.962209937,856.236903247,357.709178757,826.502930435,787.464074326,665.448169503,749.877723998,802.457256238,402.64918395,414.645756366,181.755480392,455.852174949,760.291346734,740.154816134,1129.33638429,867.269222899,594.662499756,699.176432774
mix_19,534.157494815,547.395200867,579.881794043,683.882926305,1117.74209561,351.272282411,850.955469193,808.480893602,622.911050805,687.905938657,762.783565641,376.050350113,424.584514738,184.369662442,580.373648054,602.244426781,520.991587985,1004.46661437,836.751661072,478.764728361,709.51752643
mix_20,628.566684983,523.815030173,523.024556462,671.027187708,883.616781309,346.247587334,816.559669107,688.547894069,535.830640233,830.191702948,755.181419068,430.457217528,395.877262709,183.828804667,477.863236659,812.22849846,724.831223037,1259.64932043,865.099828652,609.91718747,642.22384271
mix_21,574.956944848,531.259769085,523.156453242,633.440934998,1060.30604029,352.970612572,834.107352374,726.45127383,538.501008501,697.235235219,746.851265827,390.594418969,405.667915355,181.321133806,575.771154765,680.48930233,641.679381758,1065.91825789,829.482292055,535.565705072,666.844465115
mix_22,624.34046701,537.092000516,605.889249062,806.574646506,871.281479146,344.878574083,742.673489081,809.220100129,725.036861974,880.616403751,845.394337542,386.332155118,416.056172308,171.627337559,478.117588048,804.815765772,746.213945219,1287.64154333,853.872704425,605.169108545,585.250409673
mix_23,630.090973181,538.695221795,573.132820764,723.351704699,818.609127462,350.160248989,800.170130779,748.054774084,627.071136579,876.75634524,806.096199549,406.300475667,400.371757076,180.832579818,440.219134777,849.121670395,769.253712657,1299.0867172,873.63374748,634.687556971,647.200391931
mix_24,587.349954903,527.279619596,503.470618013,674.813726136,1026.21764708,347.565202282,805.528862207,709.784528683,540.022149215,777.607562473,756.159803283,412.015453864,399.172600202,179.237670978,561.835203118,727.161802421,659.418230607,1168.57678661,834.263400945,566.914599232,606.405777713
mix_25,650.281578722,524.258849229,516.431722568,713.920138427,829.955173359,350.680111154,771.222375477,694.906172924,570.036478773,894.518449246,788.040829178,414.841224787,397.534300346,176.09325752,459.512760262,892.388415797,815.180568142,1347.86441159,865.159846676,662.429165099,592.891192023
mix_26,564.486501395,532.816433798,563.289234999,663.152510653,1068.33087043,351.436400802,833.402754367,792.061861406,614.23078514,677.071468945,769.267422657,381.301044921,415.689144898,181.996617885,564.595085458,653.750577011,623.029441376,1025.70182579,835.103848574,524.85125167,689.466201178
mix_27,623.654828056,534.166954849,558.081007575,746.758141692,867.02274333,350.407635645,778.966329752,743.964977883,637.990962202,885.952171371,803.358018436,397.121122918,402.575250924,177.863531688,464.738721242,846.693381075,734.729148769,1338.25766294,865.426103645,613.243204713,620.881525738
mix_28,616.780950876,527.383568395,510.397700133,691.630306738,940.39524607,346.147098948,793.687093812,708.672804169,552.446770372,828.547007324,768.942942543,413.850438078,400.715302587,176.377422656,511.559983684,792.691449324,710.224680245,1244.57136822,850.045202085,612.290330155,611.529234945
mix_29,606.247719984,547.375028704,578.621344433,775.087873836,872.464779876,339.119522823,785.304865418,778.208789818,655.329003196,876.27030456,815.928857169,389.663298849,412.929872089,176.790266902,462.796388246,787.750579833,690.884511386,1274.29006269,864.225821594,588.369401199,634.860118968
mix_30,636.484506811,526.106388671,514.705697423,726.619111676,877.208721531,353.131493134,761.546188587,706.597366382,587.228144935,867.28715199,795.546057811,400.420825302,400.764681457,174.500363554,484.237634797,851.664221122,787.830684229,1310.44814998,847.602979414,641.821306546,585.19244594
mix_31,610.487169203,533.98078588,566.097694912,739.765411182,900.568708854,352.735095924,793.65913102,766.904942236,647.965892951,817.324886313,806.262948199,377.040422765,408.434857246,177.153437953,483.648086355,787.357731061,726.798429597,1230.26905172,852.595770038,595.566260589,642.424627208
mix_32,672.505026204,533.498891739,612.388974643,803.66899604,750.601136999,351.301270131,716.148192675,809.029644056,749.46702037,900.7676117,858.411816084,415.817751966,404.781010675,167.730944489,413.149927444,896.564497977,865.137456444,1340.28332736,864.618731285,677.043435828,558.333053065
mix_33,599.888346326,521.647645859,586.814344954,695.839149715,941.595674185,352.398796815,816.966155901,792.539663991,660.33852055,758.135295383,803.005336577,382.92789439,402.988961094,180.195243316,486.099112177,754.140970784,726.730830376,1168.36853076,854.750392585,589.5448539,670.40520521
