B_cells	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	NK_cells	Neutrophils	T_cells_.CD4..	T_cells_.CD8..
S10356	0.0706	0.1974	0.0519	0.0725	0.2975	0.2977	0.0124
S10358	0.0503	0.2401	0.0433	0.0615	0.3811	0.1674	0.0562
S10365	0.0494	0.2545	0	0.0703	0.4363	0.1625	0.0271
S1037	0.077	0.1452	0.0226	0.0821	0.1993	0.349	0.1249
S10373	0.1021	0.2204	0	0.0573	0.313	0.2227	0.0846
S10374	0.098	0.2124	0	0.0533	0.372	0.1639	0.1004
S10375	0.0422	0.2184	0.0126	0.0838	0.4133	0.1296	0.1002
S10377	0.1096	0.1669	0.0342	0.0758	0.3344	0.2099	0.0692
S10378	0.0894	0.2023	0	0.0652	0.335	0.1864	0.1217
S10390	0.0666	0.0924	0.1063	0.0696	0.3859	0.265	0.0142
S10391	0.1086	0.2832	0	0.1005	0.2846	0.1227	0.1004
S10393	0.057	0.1942	0	0.0765	0.3612	0.1155	0.1956
S10400	0.0653	0.3017	0.0297	0.0634	0.3502	0.1827	0.007
S10401	0.0828	0.1942	0.0811	0.0884	0.3274	0.1459	0.0802
S10406	0.0611	0.2581	0	0.059	0.4938	0.1083	0.0198
S10408	0.0649	0.1763	0.0624	0.0925	0.3793	0.1882	0.0363
S10409	0.0838	0.2162	0	0.0536	0.3199	0.173	0.1534
S10418	0.0732	0.104	0.1042	0.0736	0.5139	0.1311	0
S10431	0.0233	0.2306	0	0.0577	0.4	0.2476	0.0409
S10438	0.0541	0.2424	0	0.077	0.3724	0.1909	0.0633
S10439	0.0512	0.329	0	0.0575	0.356	0.1351	0.0712
S10441	0.0531	0.2877	0.0785	0.0801	0.3695	0.0932	0.0378
S10442	0.068	0.2762	0	0.0872	0.3518	0.1832	0.0334
S1046	0.0661	0.2438	0	0.0687	0.4769	0.1445	0
S10478	0.0695	0.2943	0.0202	0.0479	0.5055	0.0626	0
S10480	0.1264	0.1516	0.0402	0.1512	0.2116	0.2149	0.1041
S10484	0.0487	0.2379	0.0566	0.0813	0.3941	0.1513	0.03
S10492	0.0832	0.2127	0	0.0524	0.2573	0.2313	0.1631
S10496	0.1351	0.205	0	0.0967	0.2807	0.1678	0.1147
S10510	0.0516	0.2684	0	0.0525	0.3554	0.1874	0.0848
S10513	0.0282	0.3276	0	0.0834	0.3527	0.1744	0.0336
