Mixture	Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0	0	0	0.750617538165004	0	0	0.0656558261095613	0.172151825367184	0	0	0.0620722420443272	0	0.0957929176764469	0.183850927855694	0.180374432779347	0.0297859794265471	0.0219259702300097	0	0	0.0446644801366632	0.184440646625049	0	0	0.129153674835201	0	0.0270679111413828	0	0.0727636500248557	0.0188406555202643	0.0885465393422206	0	0.0732993894469044	0.397397141289686	0.245274272102456	9999	0.151977359595999	1.07478801615766	2.84367602011881
B	0	0	0	0.744034346768572	0	0	0.0685336103286526	0.201842931148008	0	0	0.0343483286353392	0	0.100141077168488	0.190892410214177	0.182699792857632	0.0228351756888201	0.00937967025034445	0	0	0.0490619006504913	0.182207615469127	0	0	0.144348670861521	0	0.0276483335794786	0	0.079690489650737	0.0116011328924327	0.0835751406655401	0	0.0786245430606925	0.418536751828982	0.221240427033555	9999	0.166103986819815	1.06819086430086	2.85124234875259
C	0	0	0.166775251815816	0.273047103915314	0	0	0.0848716848283307	0.238414753567715	0	0	0.0924716869451657	0	0.0775904512655828	0.0937256261202533	0.212481624394488	0.00995339277152577	0.0157385925340478	0	0	0.0297549381111592	0.17377585066717	0	0	0.110305566551863	0	0.00800612791580243	0	0.0550113099214004	0.0900303369951324	0.0805224852808457	0	0.0857950932834252	0.707360843973296	0.204733911849145	9999	0.175507195758232	1.07098423355524	2.81036663270748
D	0	0	0.190020804639486	0.273389898386048	0	0	0.0726582078068701	0.148191442355412	0	0	0.159427448455653	0	0.0897694955233378	0.174190759594991	0.144429115604735	0.028379004243018	0.043293578331417	0	0	0.0345374810778479	0.172768813764229	0	0	0.102183992456789	0	0.00486917393740958	0	0.0603874501790674	0.0567908625209566	0.0553334226806102	0	0.037896146128018	0.776103519356182	0.192898744846857	9999	0.133620903963874	1.09069858721228	2.81751936188893
E	0	0	0.0393013761937602	0.459156329850357	0	0	0.0498214878687618	0.184852472891167	0	0	0.127312912737648	0	0.108286079915387	0.131599228943266	0.193475831720429	0.0554307791355091	0.0650889155971665	0	0	0.0682369263933174	0.173949320631635	0	0	0.119476905420786	0	0.0153048248521752	0	0.0533179223786492	0.06329215458294	0.0419748515237512	0	0.0725825882485237	0.572359824880953	0.252926428609954	9999	0.134210114396836	1.09155697413465	2.84774716237614
F	0	0	0	0.655875362878499	0.3341669896429	0	0.0670235422287255	0.173257926144999	0	0	0.0708385785200029	0	0.101817276714473	0.142506428233502	0.195524585333319	0.0275759650384451	0.0472908285225338	0	0	0.0704786773886003	0.161853158309359	0	0	0.103778587755303	0	0.0318661551530655	0	0.0518865193367723	0.0593452744746001	0.0652300501475885	0	0.0429489320490306	0.20177215647634	0.276250286618633	9999	0.144564009668109	1.07894764070149	2.88128728096669
G	0	0	0.0596940773404974	0.739301163272744	0	0.00495277112646181	0.0907087343258321	0.16941400441514	0.0171569146753665	0	0.0924035538533476	0	0.0777252963294079	0.232082930710032	0.188747859847151	0	0	0	0.0975070080992218	0	0.181151846140072	0	0	0.124728984398205	0	0.0341914049757658	0	0	0.0578503232729634	0.123580298609931	0	0.109872891222796	0.468176427480531	0	9999	0.137396315555154	1.08466335592729	2.86924649009547
H	0	0	0	0.966625927890367	0	0	0.0864724920284442	0.213180483876937	0	0	0.0524624495623545	0	0.0755256569560824	0.217000587230714	0.197818091056752	0	0	0	0	0	0.196191697962509	0	0	0.124373030420214	0	0.0266800003985366	0	0	0.0590530500446734	0.100544601494735	0	0.0916474423092816	0.42988747757522	0	9999	0.166969904068266	1.06322760127098	2.83746298880682
I	0	0	0	1.06592695151029	0	0	0.0690200546067337	0.161120040005161	0.0216996007403502	0	0.0781096005892109	0	0.0589826613295979	0.173160084156336	0.168386716356135	0	0.0179858101822023	0	0	0	0.175889056561897	0	0	0.10090126771116	0	0.0273118134878661	0	0	0.0574906264007803	0.13236278599301	0	0.0630987106307812	0.46551048145807	0.00312491995758154	9999	0.162296530512308	1.05886801164112	2.84008118167717
J	0	0	0.314403268677549	0.0309138830560126	0	0	0.0733896021735789	0.204581072729816	0	0	0.112062619036195	0	0.0779595226448954	0.125176297556284	0.2034230145703	0.00561338789191349	0.0183550896154734	0	0	0.0127622751108769	0.175732245335539	0	0	0.114468814507955	0	0.00395652522725241	0	0.0535784212127281	0.0751866359675994	0.0891216845860557	0	0.114378835948778	0.833291775285343	0.152599830404941	9999	0.148832821419392	1.08867069380517	2.79095480153909
K	0	0	0.304235727896023	0.0249255426321493	0	0	0.066543136078172	0.166972996221915	0	0	0.144176936901352	0	0.0890450236042906	0.135218580570936	0.195210025284463	0.0198919285798542	0.0284693448180113	0	0	0.046989314354674	0.17319723989036	0	0	0.107972977848111	0	0.00886556424702556	0	0.0295958438450596	0.077662905007991	0.0944360312007248	0	0.103834650719439	0.652951735938556	0.324793918519205	9999	0.145424233852206	1.0912313503024	2.79498942415831
L	0	0	0.217248398821265	0.185984263721001	0	0	0.0583199977945695	0.154855299875208	0	0	0.120415168419023	0	0.0969882925703898	0.166939548161009	0.167851846884778	0.0342289199258172	0.0406533356904005	0	0	0.050081396327	0.173313646175822	0	0	0.109226944924919	0	0.0048603383944383	0	0.0649916837416304	0.050880487516038	0.0497436896198008	0	0.0684556226599926	0.824178867959069	0.185588376318687	9999	0.134977660790622	1.09221376822304	2.82480612550086
