Mixture	Bcells	CD4_Tcells	CD8_Tcells	Endothelial	CAFs	Macrophages	P-value	Correlation	RMSE
A	0.182172623872614	0.480133417164376	0.227086320749162	0.0274555067575365	0.00308665390309225	0.0800654775532194	9999	0.6116614727101	0.848816560896465
B	0.198328299061563	0.540152542655997	0.162703984494963	0.0204562046730882	0.00401666617799654	0.0743423029363924	9999	0.635931450681677	0.824350300120063
C	0.04616668623613	0.859498556003863	0.0875507708005144	0.00376821304194907	0.00266200179312396	0.00035377212441986	9999	0.622098876948612	0.857341353422903
D	0.0454736498098825	0.859758156681542	0.0809050491357305	0.0074681296312244	0.00174846213156405	0.00464655261005619	9999	0.614786386995203	0.865096167496993
E	0.058730505571346	0.667444958311938	0.250770263935025	0.00929124503255427	0.00501308066872696	0.00874994648040954	9999	0.600268135951355	0.872485327339919
F	0.0387765482062858	0.529652107471619	0.369554304991216	0.0186292835683063	0.00339781589852519	0.0399899398640475	9999	0.543950715274384	0.925934991564504
G	0.15974512344862	0.559532626906499	0.0352050694667949	0.0367077896543038	0.00304017377782248	0.20576921674596	9999	0.578273369722388	0.892150017555929
H	0.136411485505418	0.502858344606462	0	0.0514310495795008	0.00760520160052533	0.301693918708094	9999	0.635846395040299	0.835023134218277
I	0.134043895925429	0.544510147809378	0	0.0635899241112108	0.0032816860545544	0.254574346099428	9999	0.611160243121564	0.858004745877534
J	0.0286411000911212	0.948045953955394	0.0158299324200261	0.00455666880004632	0.00292634473341268	0	9999	0.632603376458359	0.849630563587251
K	0.0428986085131	0.743984753589384	0.202612856201369	0.00840585500051622	0.00209792669563043	0	9999	0.590195136704615	0.887610534767465
L	0.00909865234389108	0.940287419596268	0.0342830818625793	0.0114059810735559	0.00239694576058788	0.00252791936311777	9999	0.629854003966063	0.852102859741316
