Gene,CD38.negative.naive.B.cell,memory.B.cell,CD14.positive..CD16.negative.classical.monocyte,cytotoxic.CD56.dim.natural.killer.cell,mature.neutrophil,memory.CD4.positive.alpha.beta.T.cell,CD4.positive..alpha.beta.T.cell,memory.CD8.positive.alpha.beta.T.cell
mix_1,1013.9443,1757.0781,10819.7635,2518.5135,17697.0987,1738.3302,50377.4248,1371.5163
mix_2,968.0184,1761.4752,11580.0734,2224.8856,18516.5345,1683.8234,48579.2061,1301.0086
mix_3,1434.744,1857.9519,6775.7684,2390.7106,11164.0421,2123.7154,57438.6352,1573.1879
mix_4,1434.9679,1857.0569,8705.2773,2394.6385,13267.3041,1916.0486,55316.465,1455.4106
mix_5,1322.0291,1837.9057,8382.8018,2652.4241,13019.9671,1904.1914,55438.1792,1519.9194
mix_6,1225.196,1811.3316,9478.7005,2326.2637,14913.029,1836.5229,53561.6493,1425.3446
mix_7,1608.8688,1879.1528,7703.0522,2524.9139,12075.1288,1980.8739,56594.2564,1464.8719
mix_8,1423.8181,1860.4253,10425.1586,1968.2493,15553.1194,1808.803,52498.0996,1292.6224
mix_9,1079.4698,1768.9525,9662.7072,2592.3161,15593.997,1835.1959,52765.9364,1446.4363
mix_10,1687.0547,1930.4566,8162.4751,2044.7484,12230.3768,1951.384,56273.9544,1389.356
mix_11,1023.1788,1772.9042,11452.7403,2224.7241,18295.3728,1704.5709,49030.661,1321.5863
mix_12,986.9387,1764.4944,10169.312,2190.6065,16704.708,1786.1389,51566.435,1386.6096
mix_13,1770.9355,1924.8283,8172.2073,2590.7362,12129.8825,1929.82,56201.2152,1423.3762
mix_14,1764.6427,1938.8356,8178.247,2129.4846,12131.4553,1937.8564,56280.3466,1395.4187
mix_15,1653.8402,1851.9221,7032.0292,3167.4825,11901.0298,1935.3671,56538.0182,1577.055
mix_16,1424.488,1857.292,7674.0926,2290.1716,12446.1543,2003.5448,56588.2686,1485.1923
mix_17,2202.3413,2061.013,6313.5541,2202.4722,8829.5797,2118.2246,58150.9567,1512.6471
mix_18,1013.767,1774.8685,11871.2032,2116.7513,18653.5192,1657.7522,48171.7239,1264.1923
mix_19,1366.1738,1840.0139,9577.149,2262.5594,14739.0034,1818.625,53624.5435,1379.2053
mix_20,1317.971,1826.4602,5040.8031,2751.5359,10141.944,2170.6335,58120.2796,1781.8903
mix_21,1523.7491,1874.3116,7611.7088,2241.4368,12030.6278,1960.762,56637.7518,1483.8307
mix_22,1464.5704,1845.2067,9544.9673,2586.8513,14685.9482,1814.1975,53563.5941,1414.2568
mix_23,1501.205,1881.7084,9671.6544,2078.4952,14004.9823,1880.4436,54060.595,1353.3497
mix_24,934.0568,1743.5092,12229.6234,2367.063,19255.0889,1630.1856,47140.2246,1268.7634
mix_25,1103.1515,1798.486,9036.9953,2058.0835,14307.1805,1922.8759,54410.4199,1445.3048
mix_26,1202.5224,1735.5756,5397.2775,3432.8462,10988.8375,2143.9422,57483.3077,1767.7794
mix_27,1416.446,1830.1066,12116.3269,2467.5906,17891.2742,1661.4568,48642.5704,1257.9768
mix_28,1489.8911,1857.2632,5616.0224,2717.2745,10175.8589,2178.1963,57850.0928,1696.1198
mix_29,1202.8664,1794.3434,9304.6809,2467.8444,14790.3142,1863.5615,53835.2316,1446.1349
mix_30,1289.2477,1828.1044,9242.4852,2358.6578,14378.6733,1872.2009,54061.4853,1426.644
mix_31,1205.5084,1809.0938,9338.1662,2210.8528,14687.4348,1900.5887,53855.393,1421.2843
mix_32,1336.6556,1846.3105,8530.6481,2409.2036,13106.1314,1934.7602,55483.6616,1474.4063
mix_33,1301.4081,1844.8954,9988.5032,2281.8517,15170.2001,1840.678,53058.9562,1369.087
mix_34,980.0304,1754.5743,11147.8907,2358.1827,17912.1194,1731.3028,49933.2836,1343.9185
mix_35,1161.0678,1800.3572,9802.3993,2369.9473,15652.1455,1794.1237,52642.4835,1426.5485
mix_36,1641.6094,1903.9092,7706.026,2264.108,11922.9656,2046.5588,56784.8754,1439.9058
mix_37,1598.6172,1895.5945,7935.2446,2144.7027,12191.0233,2005.0852,56715.6254,1425.9775
mix_38,1306.3746,1787.767,6185.4751,2912.9217,11116.2767,2162.1197,57487.2749,1678.2067
mix_39,1708.2698,1879.4539,7172.8093,2894.1738,11337.6739,1979.7058,56870.9364,1546.9611
mix_40,1316.8827,1853.5329,9692.7177,2147.5409,14769.9669,1876.984,53620.5268,1365.6982
mix_41,1044.4832,1767.2962,10503.2606,2453.3185,16986.3471,1740.5047,51161.8125,1388.4458
mix_42,1794.875,1932.4755,6393.1815,2509.8892,9942.9403,2131.4999,57673.4174,1584.9907
mix_43,1093.2232,1742.9531,7949.8413,2863.7311,13131.64,1945.4827,55625.5446,1586.418
mix_44,1204.3379,1793.4047,7351.1523,2700.4313,12507.426,2046.1838,56583.6526,1574.8457
mix_45,1047.3583,1786.7416,8688.739,2057.1142,13818.307,1982.0004,54980.5738,1473.6491
mix_46,1382.055,1830.1861,6696.5772,2708.235,11326.7568,2020.6401,57015.0494,1622.3397
mix_47,1331.3078,1857.4843,9655.2086,2100.641,14650.8034,1863.0232,53630.4628,1373.3296
mix_48,1345.6136,1828.8198,12427.9169,2540.0315,18452.0644,1636.3229,47815.4772,1239.8107
mix_49,1355.6379,1832.2055,10411.7796,2472.0015,16153.4434,1741.6156,51828.7034,1355.0334
mix_50,1598.45,1907.2356,6830.8705,2100.6054,10769.8682,2109.0801,57619.2032,1532.2991
mix_51,1360.988,1831.109,11355.5995,2481.5945,17100.432,1709.7171,50245.6574,1305.5378
mix_52,1868.9723,1932.1802,6858.0796,2733.2588,10557.7773,2075.4954,57244.5942,1525.4554
mix_53,1376.5914,1856.2421,10660.9398,2391.1674,16230.3104,1741.718,51728.2202,1327.1783
mix_54,1766.0142,1926.6562,6008.0085,2368.0574,10050.8471,2063.4359,58096.829,1586.2655
mix_55,1337.3495,1834.497,10464.1507,2355.8061,16116.8645,1759.4567,51913.4737,1345.5363
mix_56,1300.7308,1855.0069,7626.974,2049.2036,12565.4632,2018.436,56581.592,1490.1132
mix_57,1018.3464,1758.3296,9609.0047,2437.0437,15903.7967,1843.8114,52673.5996,1444.5439
mix_58,1364.2932,1815.8307,7727.966,2640.1923,12770.7577,1959.6826,56317.3576,1507.7675
mix_59,996.1517,1756.4681,10131.5578,2434.7814,16789.184,1760.81,51453.0351,1416.4955
mix_60,1561.8161,1902.8094,8526.1767,2038.1794,13114.8608,1896.0059,55536.6362,1384.9808
mix_61,1625.3389,1919.0977,5868.6832,2230.1535,9444.6445,2232.5287,58385.8829,1627.663
mix_62,1520.0117,1863.1253,6485.7492,2664.5217,10751.2974,2137.5117,57620.6408,1593.1711
mix_63,1039.3168,1772.8318,9843.8574,2265.7995,16113.9256,1812.6256,52347.091,1407.0803
mix_64,1341.5187,1861.3693,10043.1587,1991.8766,15121.1888,1842.4089,53092.113,1334.2124
mix_65,1280.6151,1796.1383,8682.9222,2976.3585,14077.8324,1896.1425,54623.2812,1507.0514
mix_66,1328.1889,1828.6298,11319.2672,2497.3696,17137.1645,1698.5853,50106.4731,1301.8041
mix_67,1733.0536,1887.0573,6638.6962,2840.323,10584.9252,2075.6263,57207.5628,1569.263
mix_68,1234.8658,1773.6749,6387.5682,3034.215,11992.8331,2005.6299,56801.7766,1660.5728
mix_69,1320.4132,1847.8927,10139.4424,2040.5706,15394.3854,1820.9912,52764.9938,1336.3301
mix_70,1674.8506,1854.136,10816.4935,3182.3601,15892.2216,1717.9738,51378.8748,1356.4839
mix_71,1420.3313,1852.9693,11863.3216,2001.2097,17584.748,1689.2587,49222.3297,1213.9584
mix_72,2009.9028,2007.9612,7673.8274,2127.5674,10835.4769,2038.8417,56984.0911,1424.1701
mix_73,1657.2186,1862.0551,9189.8313,2868.7177,13437.2718,1843.1345,54415.7124,1431.2504
mix_74,1454.3135,1872.0884,9206.0739,2341.8123,13882.3395,1898.5898,54490.8344,1405.2007
mix_75,1308.0666,1824.7482,11619.4992,2322.9683,17551.2793,1708.3509,49552.9584,1272.4246
mix_76,1199.6539,1761.2877,7317.9351,2745.5935,12634.729,1990.4847,56415.9382,1572.8554
mix_77,1325.6061,1815.7494,5563.4923,2681.9795,10518.0515,2186.8428,57813.3065,1713.5623
mix_78,1272.0772,1814.6918,10274.6567,2373.4171,16199.5393,1758.6003,52030.9232,1365.9959
mix_79,1048.446,1774.894,10389.2775,2171.5293,16678.6828,1783.6351,51553.8335,1365.7198
mix_80,1565.6082,1903.9704,7924.8352,2062.2312,12127.6681,1964.9201,56527.4622,1433.0606
mix_81,1325.7568,1853.2093,7420.6429,2089.0618,12070.2924,2071.7649,56791.9854,1516.5399
mix_82,1370.1536,1848.9195,9752.1357,2190.2906,14765.4843,1816.25,53509.9352,1370.8064
