Chondrocyte.articular	B.cell.naive	B.cell.memory	Monocyte.CD14	NK.cell.CD56	Endothelial.large.blood.vessel	Endothelial.microvascular.mammary.or.endometrial	Endothelial.microvascular.non.reproductive	Epithelial.cell.mammary	Epithelial.renal.cortical	Epithelial.respiratory	Fibroblast.cardiac.ventricle	Fibroblast.of.arm	Fibroblast.of.lung	Fibroblast.of.the.aortic.adventitia	Fibroblast.or.papilla.dermal.cell	Hair.follicular.keratinocyte	Macrophage	Mature.neutrophil	Melanocyte.of.skin	Myometrial.cell	Osteoblast	MSC.like.pluripotent.cell	Myocyte.regular.cardiac	Smooth.muscle.cell.aortic	Smooth.muscle.cell.bronchial	Smooth.muscle.cell.of.bladder	Smooth.muscle.cell.coronary.artery	Smooth.muscle.cell.pulmonary.artery	Smooth.muscle.cell.of.trachea	Smooth.muscle.cell.uterine	T.Cell.CD4	T.cell.CD4.memory	T.cell.CD8.memory	otherCells
mix_1	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_2	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_3	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_4	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_5	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_6	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_7	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_8	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_9	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_10	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_11	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_12	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
mix_13	0.0289757176881716	0.0297655075701628	0.0298140125123202	0.0295642398295763	0.0296971450931137	0.0292214090345992	0.0287879630557742	0.0293689198193932	0.0294270573870839	0.029178913665528	0.0293135478481577	0.0295207258810469	0.0296581725943657	0.0293552712521831	0.0295714744856166	0.0295212274600407	0.0295886324321083	0.029634486657287	0.0296667109957155	0.0282491997219284	0.0292769303093543	0.0295588339622149	0.0291942190022498	0.0295597439760907	0.0294290064707092	0.0294113300312996	0.02929042738962	0.029383703896102	0.0295024567933913	0.0295479177223384	0.0294867623463491	0.0291323439900934	0.0298362631921323	0.0295013798179316	8.34611595035284e-06
