ID,B cells naive,B cells memory,Monocytes,NK cells resting,NK cells activated,Neutrophils,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells CD8,Macrophages M0,Macrophages M1,Macrophages M2,Mast cells resting,Mast cells activated,Plasma cells,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Dendritic cells resting,Dendritic cells activated,Eosinophils
S10001,6.31401290323,6.11577692308,7.04638461538,6.634945,6.724375,8.48349285714,6.60143181818,7.34961538462,4.8224,6.31363333333,6.4275,5.87813823529,5.97790434783,5.71675,5.09612380952,5.92239310345,6.18271666667,6.11537878788,5.7727,5.399625,5.74818,6.27100606061
S10006,6.50520645161,6.17764615385,7.18518461538,6.91534,6.900285,8.33058571429,6.38561363636,7.12589230769,5.01539230769,6.32673333333,6.50811333333,5.76871176471,6.00486086957,5.885825,5.1744047619,6.22024827586,6.03280416667,6.11770606061,6.08792857143,5.364505,5.82734,6.19693939394
S1001,6.26079354839,6.19537692308,7.45334615385,7.110215,7.07184,8.25097857143,6.39420909091,7.09788461538,4.90478461538,6.55388333333,6.4287,5.83386470588,6.08683043478,5.78804,5.06114761905,6.0176,6.11177083333,6.01399393939,6.28570714286,5.558075,5.89746,6.36278484848
S10010,6.01736129032,5.962,7.68032307692,7.059035,7.03415,8.83879285714,6.33499090909,7.13447692308,4.78957692308,6.55791666667,6.53775333333,5.87608235294,6.12598695652,5.7386,4.97198095238,5.91791034483,5.9261875,5.92021818182,5.92915714286,5.451575,5.784735,6.42882121212
S10011,6.26296451613,6.19912307692,7.49343076923,6.875125,6.853,8.40763571429,6.55064090909,7.21399230769,4.85016153846,6.58476666667,6.49662666667,5.95527941176,5.96151304348,5.67187,4.99209047619,5.99534137931,6.20625416667,6.12961212121,6.00435,5.49726,5.762535,6.18877878788
S10014,6.26427419355,6.06714615385,7.08870769231,6.882965,7.14576,8.23100238095,6.32277727273,7.13232307692,4.97777692308,6.4173,6.4354,5.88780294118,5.98166086957,5.81366,5.32021904762,5.95123103448,6.029625,5.90484242424,6.0873,5.61122,5.710145,6.54426363636
S10026,6.3701483871,6.33325384615,7.44283076923,7.01258,6.915325,8.52883333333,6.37923636364,7.30451538462,4.85565384615,6.40421666667,6.52246,5.77435294118,6.20777826087,5.859605,5.14721904762,6.02141034483,6.04258333333,5.9073969697,6.07912142857,5.490605,5.839825,6.29417575758
S10032,6.58476129032,6.44696923077,7.76928461538,6.94594,7.00112,8.4490547619,6.35965454545,7.16746153846,4.90186153846,6.35508333333,6.50892,6.12026764706,6.15926521739,5.850425,5.03047142857,6.0529137931,6.003325,5.9597030303,5.98968571429,5.557265,6.06276,6.22011818182
S10036,6.05726451613,6.0661,7.31503846154,6.86035,6.618655,8.28594761905,6.31674090909,6.98521538462,4.77935384615,6.2858,6.40734666667,5.70682352941,6.08285652174,5.86353,5.2406,6.01966551724,5.95605833333,5.98953030303,6.13939285714,5.46754,5.80647,6.48741515152
S10042,6.45161612903,6.35303076923,7.54799230769,7.387505,7.134825,8.57194761905,6.45347272727,7.35633076923,4.99155384615,6.62408333333,6.50226,6.04005294118,6.18470434783,6.213485,5.24291428571,6.09019310345,6.16697083333,5.99551515152,6.21113571429,5.5211,5.857795,6.52825757576
S10044,6.46446774194,6.37195384615,7.4244,7.061045,7.027435,8.70318333333,6.52513181818,7.46818461538,5.05954615385,6.61046666667,6.53191333333,5.92096470588,6.18569130435,6.118405,5.19912380952,6.1706137931,6.15517916667,6.07168181818,6.1733,5.509315,5.805205,6.59811515152
S10049,6.57409677419,6.34319230769,7.28730769231,6.761065,6.942225,8.48956666667,6.46656363636,7.57390769231,4.9093,6.75325,6.41414,5.82299411765,6.10214347826,5.822375,5.13638095238,6.12658965517,6.14326666667,5.98635757576,6.28896428571,5.482815,5.926865,6.54545757576
S10057,6.05856129032,6.19392307692,6.97004615385,6.991205,7.05785,7.7232452381,6.34985909091,7.13082307692,5.08875384615,6.2856,6.43275333333,5.76114705882,5.9385173913,5.762735,5.1463047619,5.82373448276,6.05888333333,6.14094545455,6.20999285714,5.391935,5.7489,5.99576363636
S10062,6.37595483871,6.30008461538,7.54251538462,6.74127,6.89862,8.60107142857,6.52103181818,7.45596153846,5.00607692308,6.76173333333,6.51650666667,5.95451176471,6.23396086957,5.82198,5.08811904762,5.97097931034,6.13090833333,5.97210909091,6.15162142857,5.474915,5.758725,6.21742727273
S10066,6.08636451613,6.06778461538,7.7694,6.916985,6.7244,8.8882452381,6.53257272727,7.30916153846,4.92703076923,6.3665,6.48423333333,6.11558823529,6.05685652174,6.18367,5.11067142857,5.95679655172,5.96412916667,6.03221212121,5.8525,5.534295,5.94426,6.46552727273
