Mixture	B_cells	T_cells_(CD4+)	T_cells_(CD8+)	Endothelial_cells	Fibroblasts	Macrophage	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0	0.297331778745562	0.32429235766438	0.193975663169184	0.11107881173634	0.275209421865057	9999	0.677998869335914	0.772700350384326	1.20188803318052
mix_2	0	0.240343505404368	0.323484700687476	0.324320944482021	0.096999430962194	0.217417093480496	9999	0.68646416961068	0.764916691729693	1.20256567501655
mix_3	0	0.151670579590621	0.257925832293726	0.199011433457014	0.332504238418393	0.274878305497526	9999	0.706763271144074	0.73863979039846	1.21599038925728
mix_4	0	0.38096791616388	0.336266146296913	0.0511559363721628	0.217032027386637	0.209563260312345	9999	0.676536660010915	0.773884218877821	1.19498528653194
mix_5	0	0.26186053454451	0.337381407831087	0.0545773820515253	0.310219806977805	0.237848901775596	9999	0.687410635690057	0.759824761814947	1.20188803318052
mix_6	0	0.336862929456402	0.355804124237088	0.0808397664887298	0.217875644706102	0.204334103712879	9999	0.677279441068595	0.773057341944528	1.1957165686012
mix_7	0	0.217101841654896	0.30441490115294	0.102371677725934	0.341647913262694	0.240674068877199	9999	0.695577500645272	0.750689479052903	1.20621040267366
mix_8	0	0.198542260036547	0.328292090471763	0.209546133632829	0.252914993655009	0.21818549186128	9999	0.691790172647895	0.756585905411211	1.20748096965743
mix_9	0	0.432022554544231	0.33448103191555	0.0751569204871149	0.144482572867598	0.200940189137103	9999	0.667674571581007	0.785728357577334	1.1870832689516
mix_10	0	0.380578600990816	0.216906972185669	0.131108939614449	0.164129961605873	0.309314543572523	9999	0.691867264948555	0.755189295478803	1.20203901796933
mix_11	0	0.36252393310435	0.308725771125165	0.222419290299521	0.00380930309852291	0.29789321170913	9999	0.671377046848998	0.78207532537889	1.19537150933669
mix_12	0	0.300868764761046	0.324421579189118	0.0730599003401421	0.282536375041389	0.221404322039993	9999	0.686343789605974	0.761549376758359	1.20229094137169
mix_13	0	0.421263021565662	0.267327395524388	0.194355549762791	0.100933785874454	0.214501729469182	9999	0.677362328398303	0.774919807104605	1.19838148219648
mix_14	0	0.435485945343065	0.298084372736566	0.0833611194179087	0.0955174376163108	0.279759356526312	9999	0.673582030036241	0.778062402749476	1.19220823164016
mix_15	0	0.253494714090095	0.328437768807325	0.164655463777399	0.251845337193699	0.203454749312005	9999	0.688071989447635	0.760629021706578	1.20188803318052
mix_16	0	0.158635419321837	0.208504761222538	0.230353502489267	0.416811014131338	0.198501012699302	9999	0.704668137878755	0.743971273540868	1.21280570986428
