Mixture	CD14	CD19B	CD4HelperT	CD4MemoryT	CD4NaiveT	CD4RegulatoryT	CD56NK	CD8CytotoxicT	CD8NaiveT	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.290238678922256	0.03696053844856	0.277550689908367	0	0	0	0.0908448754678511	0.424223188333549	0	9999	0.845134955759494	0.540784076613251	1.11981797108058
mix_2	0.342742798900711	0.0254681219904949	0.253250879862977	0.0190160045167789	0	0	0.0712565942238427	0.412863065780993	0	9999	0.829306247093075	0.563889511082761	1.1245974652758
mix_3	0.0648598786307188	0.0700441446838307	0.233752771208068	0.0423668609700377	0.139201458642885	0	0.0562968908292482	0.520800953860194	0	9999	0.880036973988039	0.503660886589284	1.12732295882498
mix_4	0.155589606951837	0.0961231389751726	0.260309206720884	0.0114975630661763	0.0190341639718841	0	0.068983928982779	0.516419981253174	0	9999	0.876360374290085	0.499272975843628	1.12795758992191
mix_5	0.143235091766765	0.0841764138427097	0.281672935117403	0	0	0	0.0855547034937069	0.533318445701321	0	9999	0.881665887592136	0.491288603115288	1.12795758992191
mix_6	0.211356253961297	0.0638550282894215	0.288092733537716	0	0	0	0.0680962395322794	0.488641546727586	0	9999	0.863442904026085	0.51702775993727	1.1200418020483
mix_7	0.112771129011031	0.145753100165225	0.236276481437235	0	0.0361102330279849	0	0.0772815796510199	0.521265380144773	0	9999	0.884770340830893	0.486062259184126	1.12945790343727
mix_8	0.227088764557056	0.114981776931642	0.302718377309606	0	0	0	0.0504447554392024	0.426177714920562	0	9999	0.849739497431578	0.536620265811197	1.12141138915807
mix_9	0.214815963397426	0.0357545255801774	0.314920922868337	0.00264731357509816	0	0	0.0776595156659258	0.486429618078135	0	9999	0.860174821494863	0.52309543952725	1.1322278591651
mix_10	0.127795227683603	0.145951627903553	0.289438662625106	0	0	0	0.0567765747027372	0.509247278344192	0	9999	0.87753004613721	0.498755293607293	1.12920937125919
mix_11	0.314487872231232	0.0354136897447727	0.277087590343942	0.0153110068966304	0	0	0.0680904556766787	0.424351067449179	0	9999	0.830543433561954	0.56391927400663	1.13474168234243
mix_12	0.255968379308847	0.0137018882900432	0.291203125821023	0.0162222933602408	0	0	0.0579727285759662	0.486063280096957	0	9999	0.84587553735655	0.545812979114534	1.12113169545308
mix_13	0.109711518752626	0.185455165558416	0.267590842420019	0	0	0	0.0842795114681466	0.464208092812212	0	9999	0.883908239318346	0.484565689430616	1.11124513101142
mix_14	0.12460648058594	0.170908811760409	0.261619845848035	0	0	0	0.0631138451672541	0.497294576272784	0	9999	0.880441902265731	0.492264918687093	1.11754355963442
