Mixture	Bcells	Monocytes	NKcells	Neutrophils	CD4_Tcells	CD8_Tcells	P-value	Correlation	RMSE	Absolute score (sig.score)
mix_1	0.011602184951103	0.552673705744014	0	0	0.632245418849051	0	9999	0.682463100209267	0.744216770373756	1.19652130954417
mix_2	0.00587348252017066	0.620658931682447	0	0	0.578045290104894	0	9999	0.678911384026126	0.746820301484348	1.20457770430751
mix_3	0.0961108438859604	0.142198933819957	0	0	0.947420523078822	0	9999	0.697429999003569	0.749855829052614	1.18573030078474
mix_4	0.0934550231706087	0.274847787171282	0	0	0.836455022791933	0	9999	0.685773370638689	0.751709141619679	1.20475783313382
mix_5	0.0896845253526106	0.253802862250253	0	0	0.847554813464989	0	9999	0.686097791567997	0.752909332355825	1.19104220106785
mix_6	0.0443920268371374	0.39113307397761	0	0	0.759357394870281	0.00280243087637316	9999	0.685298550489587	0.746417018343452	1.1976849265614
mix_7	0.167253495729882	0.203928857272497	0	0	0.828141973889638	0	9999	0.69469153832532	0.743724289386388	1.19932432689202
mix_8	0.127037293546508	0.387520076438209	0	0	0.689565072014942	0	9999	0.682955835741611	0.746513052764508	1.20412244199966
mix_9	0.0161195507187202	0.394581630403384	0	0	0.780488467170662	0	9999	0.683548634919457	0.749238098788073	1.19118964829277
mix_10	0.187390682864054	0.220063719039465	0	0	0.79238675031294	0	9999	0.692577291851628	0.744016858458321	1.19984115221646
mix_11	0.0134341733131627	0.58145138702028	0	0	0.617569169948341	0	9999	0.679807498442984	0.746547177148342	1.21245473028178
mix_12	0.00492217349405685	0.483150610814525	0	0	0.696123155005441	0.0138731860731215	9999	0.684878010243706	0.743859041190767	1.19806912538714
mix_13	0.24858271519285	0.20894162095843	0	6.12204638754956e-05	0.743351569304015	0	9999	0.69377343616426	0.741113227586642	1.20093712591917
mix_14	0.222858970920348	0.209316506316314	0	0	0.765175032938337	0	9999	0.692960237203298	0.742958044749595	1.197350510175
mix_15	0.210480367985899	0.131662672032509	0.0362984492474814	0.00234757021215836	0.819983138359646	0	9999	0.696037355251799	0.742879009525515	1.20077219783769
mix_16	0.0907640114028488	0.222364839158098	0	0	0.887387594744873	0	9999	0.694346927672099	0.746036956706505	1.20051644530582
mix_17	0.337815820886911	0.0345109500357769	0	0	0.805633669138875	0	9999	0.702796067006062	0.743280036487338	1.17796044006156
mix_18	0.0133913960384703	0.642557424776772	0	0	0.536718868017693	0.00586201912275491	9999	0.675680259951912	0.749648490359446	1.19852970795569
mix_19	0.0934115417088363	0.349744000411084	0	0	0.743413839779793	0	9999	0.684208049590273	0.747991245678627	1.18656938189971
mix_20	0.0773490071081635	0.0533731394307779	0.00357590971507908	0	1.04177141114988	0	9999	0.702629801188812	0.755326024149371	1.1760694674039
mix_21	0.134281072878096	0.206891403295732	0	0	0.860443363002292	0	9999	0.694215808795864	0.745558461231198	1.20161583917612
mix_22	0.141210823414505	0.348205255392479	0	0	0.705765285079846	0	9999	0.682051202447342	0.748962199829339	1.19518136388683
mix_23	0.149682547987107	0.320423882221982	0	0	0.738245619041324	0	9999	0.683658568943172	0.748772565214224	1.20835204925041
mix_24	0.00522500142147749	0.680952061595837	0	0	0.504068006090078	0.00710544106760608	9999	0.671584482127899	0.753775228493515	1.197350510175
