Gene,Chondrocyte.articular,B.cell.naive,B.cell.memory,Monocyte.CD14,NK.cell.CD56,Endothelial.large.blood.vessel,Endothelial.microvascular.mammary.or.endometrial,Endothelial.microvascular.non.reproductive,Epithelial.cell.mammary,Epithelial.renal.cortical,Epithelial.respiratory,Fibroblast.cardiac.ventricle,Fibroblast.of.arm,Fibroblast.of.lung,Fibroblast.of.the.aortic.adventitia,Fibroblast.or.papilla.dermal.cell,Hair.follicular.keratinocyte,Macrophage,Mature.neutrophil,Melanocyte.of.skin,Myometrial.cell,Osteoblast,MSC.like.pluripotent.cell,Myocyte.regular.cardiac,Smooth.muscle.cell.aortic,Smooth.muscle.cell.bronchial,Smooth.muscle.cell.of.bladder,Smooth.muscle.cell.coronary.artery,Smooth.muscle.cell.pulmonary.artery,Smooth.muscle.cell.of.trachea,Smooth.muscle.cell.uterine,T.Cell.CD4,T.cell.CD4.memory,T.cell.CD8.memory
mix_1,216.1205,167.2189,240.8583,723.9234,363.5902,276.0563,389.9074,162.5779,135.5101,219.3528,252.5871,216.9032,2223.3253,136.8245,291.1872,189.388,386.637,391.8915,190.9688,2789.6483,354.3875,202.3122,387.8608,386.7848,273.0203,359.7743,384.0515,175.7381,317.5286,12278.2017,152.5366,168.7808,551.8873,346.0008
mix_2,218.0291,162.0094,237.3861,810.2952,319.8809,266.2558,372.9187,154.7672,137.2525,222.7444,267.1061,232.0531,2348.8335,139.81,294.3425,188.1553,396.2965,414.0557,196.179,2812.1625,356.2383,199.8594,385.2328,410.8502,285.0569,367.6927,355.2399,178.549,308.4812,12042.2975,150.09,152.9415,524.0654,309.5515
mix_3,246.5035,205.8964,284.1155,362.0663,395.8801,325.1288,425.5182,176.5959,136.055,203.3187,210.2751,157.486,1746.3467,145.3445,314.9855,192.6085,337.5265,299.6951,159.4912,2475.8932,341.164,238.0432,385.8736,280.7893,219.1504,335.798,455.6464,173.0062,416.1206,10956.4493,168.9407,250.9956,726.3338,589.7149
mix_4,230.868,204.7606,272.7236,505.8184,373.1501,290.703,401.0771,161.4587,133.3927,207.706,223.8044,178.8869,1895.5692,139.5904,302.0791,191.3216,362.8767,333.6897,173.9349,2515.843,344.8464,222.2935,376.292,311.0382,240.1465,340.5564,423.8714,173.4208,364.9908,11439.6036,161.6589,208.5662,628.8197,456.8117
mix_5,226.304,198.2134,270.6906,473.9074,399.2974,301.0935,419.2229,166.524,133.9087,206.8667,221.8644,176.4722,1970.5114,145.4653,294.6549,193.3826,358.6992,327.516,170.7907,2511.499,347.8085,221.2257,384.9674,310.2141,241.1297,340.2158,428.0397,173.1533,385.4012,11330.5822,164.6837,212.2034,635.3828,513.8129
mix_6,225.7588,188.8865,259.9947,604.2821,359.463,286.6125,399.2727,160.7503,133.0191,212.4007,237.3965,197.5952,2101.4517,142.3444,299.9001,188.7973,368.1826,358.5063,177.8069,2542.155,343.7749,214.03,382.4229,348.4498,251.8613,348.7645,401.8419,172.454,357.874,11804.1793,156.3549,189.5123,594.4465,435.4476
mix_7,239.632,221.7343,286.1515,420.2817,393.2489,301.5386,405.158,169.5481,132.3831,205.2187,211.5857,165.2206,1791.3407,140.1123,301.894,194.5159,357.7459,315.4396,167.0109,2489.5635,345.8417,228.8609,375.0324,281.5711,232.0702,337.4285,426.7164,173.467,397.829,11216.9233,166.5105,223.4796,650.625,476.8919
mix_8,235.8705,202.6882,266.5549,656.9118,314.4287,268.883,355.4413,151.8434,131.6025,215.6847,245.059,204.375,2049.7424,139.0879,300.5088,186.4241,379.2293,373.4812,185.5568,2555.146,347.3513,214.3121,375.5821,344.42,255.7661,352.9627,391.1001,177.5526,357.9854,12018.0696,150.6978,180.9545,563.7263,331.9443
mix_9,219.3721,173.5889,250.9367,618.5038,383.3299,290.691,408.3665,164.9812,136.0041,215.0784,241.5707,202.0348,2184.2887,136.9123,293.4892,193.1682,372.5674,364.1599,180.2094,2759.0421,347.1208,211.8787,382.7913,361.1809,262.015,349.9941,395.6517,173.0811,354.178,11893.6261,158.2537,185.9065,592.5397,416.343
mix_10,244.709,232.6971,293.4381,470.0772,337.5408,291.8004,380.2192,156.9427,130.6727,206.5571,217.4491,171.2236,1741.3503,145.7733,309.48,188.3753,369.7209,326.9481,170.3029,2507.8654,340.1515,230.5409,377.0361,289.9099,226.3741,336.8387,429.6449,177.9829,401.2601,11327.4101,162.1388,213.333,631.2235,466.8377
