ID,Bcells,CD4_Tcells,CD8_Tcells,Endothelial,CAFs,Macrophages
S10155,8.770936,8.81328,9.331336,8.024926,7.445958,8.684348
S1016,8.31385,8.375416,9.02326,7.706008,6.995172,8.406628
S10163,8.676996,8.719224,9.351372,8.21112,7.528998,9.10817
S10167,8.787746,8.90596,9.29538,8.297824,7.44828,8.727038
S10168,8.61477,8.653298,9.142012,7.831616,7.24958,8.513742
S10173,8.96568,8.934932,9.205818,8.02854,7.36615,8.62134
S10175,8.544874,8.69452,9.229518,7.98796,7.290154,8.53929
S10179,8.932768,9.055894,9.533228,8.224298,7.485192,8.939358
S10186,8.73451,8.614086,9.094244,7.89918,7.323142,8.421398
S1019,8.554338,8.537364,9.084756,7.843304,7.170132,8.408566
S10190,9.039016,9.088306,9.437828,8.168296,7.529664,8.833982
S10195,8.534184,8.645092,9.07285,7.999454,7.332966,8.720944
S10196,8.829306,8.950194,9.376376,8.118938,7.457118,8.846216
S10200,8.42827,8.642956,9.256726,7.965828,7.297906,8.593476
S10201,8.103408,8.121922,8.972882,7.834864,7.119184,8.611944
S10202,8.546442,8.63838,9.386082,7.913732,7.341214,8.727632
S10205,8.813536,8.876672,9.415152,8.009224,7.434038,8.809014
S10211,8.52226,8.597854,8.90568,7.937412,7.288084,8.514508
S10221,8.902124,9.088366,9.305588,8.25426,7.584564,8.88663
S10222,8.21368,8.335744,9.029558,7.871624,7.241664,8.51081
S10226,8.584268,8.587094,9.223018,7.92592,7.256742,8.778646
S10227,8.59506,8.673916,9.182546,8.02398,7.423226,8.628262
S10228,8.55616,8.704256,9.247132,8.021834,7.345138,8.585318
S10232,8.804604,8.87288,9.119178,7.933638,7.286904,8.572832
S10248,8.851002,8.845956,9.168512,7.926582,7.188738,8.457262
S10249,8.597576,8.64403,9.340152,8.062436,7.466524,9.090454
S1025,8.674604,8.685968,9.31649,7.93811,7.296362,8.698778
S10266,8.566256,8.545412,9.288046,8.07841,7.444228,8.948678
S10269,8.434392,8.40365,9.103066,7.78086,7.142004,8.466424
S10272,8.363948,8.440994,8.942962,7.86947,6.981874,8.442936
S10273,8.530042,8.494946,9.122748,7.88056,7.249506,8.655922
S10274,8.741564,8.804888,9.173206,8.107726,7.335694,8.708962
S1028,8.833508,8.91561,9.278064,8.166654,7.307284,8.700766
S10280,8.497654,8.719134,9.434302,8.039212,7.497774,8.971106
S10283,8.87502,8.839342,9.389186,7.911042,7.341618,8.551576
S1029,8.509566,8.610538,9.18009,8.004026,7.37387,8.600788
S10292,8.582352,8.592412,9.034658,7.898582,7.14912,8.284676
S10294,8.716708,8.894962,9.14131,8.018704,7.359428,8.395892
S10302,8.801572,8.772124,9.238448,8.003624,7.301272,8.555634
S10303,8.588762,8.626152,9.13872,7.951012,7.257928,8.584632
S10323,8.49182,8.539328,9.17795,7.995724,7.325056,8.668806
