Mixture	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells	P-value	Correlation	RMSE	Absolute score (sig.score)
A	0.0461279675537745	0	0	0	0	0	0.0462540221401313	0	0.549565040544099	0	0	0.016595350892828	0	0	0.00164476624272351	0	0	0.937090000599008	0.091945997546018	0	0	9999	0.529134690778914	0.954201023604489	1.68922314551858
B	0.0269872884941852	0	0	0	0	0	0.0999673734827202	0	0.544956229094164	0	0	0.0386657686343752	0	0	0	0	0	0.90711796209992	0.0893833007115115	0	0	9999	0.530766658029914	0.951093527319489	1.70707792251688
C	0	0	0	0	0	0	0.0471969613143227	0	0.218881569147902	0	0	0.0244523904870948	0	0	0	0	0.163661649251448	1.11902772602159	0.0874611293398547	0	0	9999	0.533274390411483	0.951614296262307	1.66068142556221
D	0	0	0	0	0	0	0.0589129808055758	0	0.207551806422606	0	0	0.0177104423324159	0	0	0	0	0.180661973798177	1.11691490025407	0.086138525619627	0	0	9999	0.547411080151705	0.937364810697007	1.66789062923247
E	0	0	0	0	0	0	0.0374882917292235	0	0.239906537983826	0	0	0.0208284857280037	0	0	0	0	0	1.29468662499437	0.091393608811424	0	0	9999	0.537797894052299	0.946906389348273	1.68430354924684
F	0	0	0	0	0	0	0.0994722414634014	0	0.342366371386366	0.218244197543759	0	0.0423647170288649	0	0	0	0.00937578621435643	0	0.93560370780363	0.0592637828529664	0	0	9999	0.520480292480444	0.96273468795601	1.70669080429334
G	0.0413115790912367	0.00966312599004844	0	0	0	0	0.0499957948223878	0	0.64374605872241	0	0.162225339111284	0.0124410549763016	0	0	0.00218875287567466	0	0	0.681586870569406	0.103270217167604	0	0	9999	0.507310568935014	0.972200328754344	1.70642879332635
H	0.0146348586522981	0.0146926564134319	0	0	0	0	0.0462007897834309	0	0.887557295140875	0	0	0.0145865460517295	0	0	0.00182144766917063	0	0	0.592938517726474	0.104136984833562	0	0	9999	0.529994154251662	0.95653945966926	1.67656909627097
I	0.0163217479112302	0.011469413313409	0	0	0	0	0.0475864483473545	0	0.894713647292481	0	0	0.0098473637174535	0	0	0.00140368641994951	0	0	0.592726207292221	0.101500302962061	0	0	9999	0.521815265423917	0.965056488416325	1.67556881725616
J	0	0	0	0	0	0	0.0555381549055651	0	0.124068227602147	0	0	0.0228206253874387	0	0	0	0	0.293573329041752	1.05052218616405	0.0829900300810727	0	0	9999	0.538680366002445	0.947382563408255	1.62951255318203
K	0	0	0.00727382322757412	0	0	0	0.0802605875123433	0	0.117039557955657	0	0	0.0578987473500714	0	0	0	0	0	1.27320444465044	0.111056331882589	0	0	9999	0.548981330428037	0.934504970740979	1.64673349257868
L	0	0	0.00768198968786382	0.00731968202391358	0	0	0.0935433580178689	0	0.243968705302623	0	0	0.0381996922956148	0	0	0	0	0.11125579892009	1.01678317770512	0.144087927136832	0	0	9999	0.541423074309182	0.942486793784476	1.66284033108993
