	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
mix_63	0	0	0.0026	0	0.0215	0.052	0	0.0052	0.0061	0.0473	0.0098	0.0208	0.007	0	0	0	0	0.001	0	0.0027	0	0	0	0.0486	0.0543	0	1.00E-04	0.0055	0	0.0228	0.0023	0.0123	0.0046	0	0	0.0112	0.0052	0	0.0909	1.00E-04	0.0161	0	1.00E-04	0.0058	0	0	0.0016	0	0	0	0	0.0127	0.0026	0.0053	0	0	0	0.0293	0.0874	0	0	0.0045	0	0	0.1268	0	0.1268
mix_64	0	0	0.1797	0	0.0259	0.0575	0	0.011	0.0036	0.0054	0	0	6.00E-04	0	0	0	0.0363	0	0	9.00E-04	0	0	0	0.0396	0.0075	0	1.00E-04	0.0028	0.0017	0.0767	0	0.0097	0.0063	0	0	0.0102	0.1199	0	0.0816	0	0	0	6.00E-04	0.0055	0	0	0.0098	0	0	0	0	0	0	0	8.00E-04	0	0	0.0394	0.1428	0	0	0.0471	0	0.0446	0.1993	0	0.1993
mix_65	0	0	0.1305	0.0201	0.0052	0.0416	0	0.0049	0	0.0515	0.0081	0.0601	0.0048	0	0	0	0.022	0	0	0	0	0	0	0.0022	0.0065	0	0	0.0253	6.00E-04	0.0373	0	0.003	0.0045	0	0	0.0057	0.086	0	0.0376	0	0.0763	0	9.00E-04	0.0019	0	0	0.0157	0	0	0	0	0	0	0.013	0.0194	0	0	0.0252	0.0953	3.00E-04	0	0.0355	0.008	0.0325	0.202	0	0.202
mix_66	0	0	0.1973	0.0189	0	0	0	0	0	0	0	0.0274	0	0	0	0	0.0425	0	0	7.00E-04	0	0	0	0.0346	4.00E-04	0	0	0	0.0052	0.0791	0	0.0119	0.0077	0	0	0.0116	0.138	0	0.0906	0	0.0261	0	5.00E-04	0.0086	0	0	0.0159	0	0	0	0	0	0	0.0067	0	0	0	0.0429	0.1644	0	0	0.0522	0.0244	0.0485	0.2155	0	0.2155
mix_67	0	0	0.2776	0	0.02	0.0654	0	0.011	0.0021	0.0795	0.0214	0.057	0.011	0	0	0	0.0601	0	0	0	0	0	0	0	0.0167	0	1.00E-04	0.0366	0	0.0855	0	0	0.0012	0	0	0	0.1682	0	0	0	0.0576	0	0.0024	0	0	0	0.0304	0	0	0	0	0	0	0.0133	0.0325	0	0	0.0095	0.0263	0	0	0.071	0.0164	0.061	0.2898	0	0.2898
mix_68	0	0	0.0638	0.0102	0.013	0.0515	0	0	0.0036	0.1214	0.0441	0.0638	0.0143	0	0	0	0.0056	0	3.00E-04	0	0	0	1.00E-04	0	0.0058	3.00E-04	0	0.0365	0	0	0	0.0016	1.00E-04	0	0	0.001	0.0422	0	0.015	9.00E-04	0.0819	0	0.0011	0	0.0034	0	0.0114	0	1.00E-04	0	0	0.0205	0.0029	0.0097	0.0267	0	0	0.0063	0.0153	7.00E-04	3.00E-04	0.0227	9.00E-04	0.0173	0.1967	2.00E-04	0.1969
mix_69	0	0	0.1695	0	0.0212	0.0476	0	0.0091	6.00E-04	0.0137	0	0	0.0042	0	0	0	0.0292	1.00E-04	0	0.0012	0	0	0	0.04	0.0081	0	1.00E-04	0.002	5.00E-04	0.0654	0	0.01	0.0068	0	0	0.0107	0.1148	0	0.0836	0	0	0	6.00E-04	0.0055	0	0	0.0108	0	0	0	0	0	0	0.002	0.0014	0	0	0.0398	0.1464	0	0	0.0458	0.0016	0.0419	0.1965	0	0.1965
mix_70	0	0	0.3075	0.0137	0	0	0	0	0	0	0	0.0455	0	0	0.0022	0	0.0778	0	0	0	0	0	0	0.0064	0	0	0	0.0114	0.0057	0.0971	0	0.0069	0.0059	0	0	0.007	0.1898	0	0.0492	0	0.0613	0	0.0012	0.0051	0	0	0.0305	0	0	0	0	0	0	0.0134	0.0052	0	0	0.045	0.1267	3.00E-04	0	0.0768	0.0234	0.0758	0.2821	0	0.2821
mix_71	0	0	0.2423	0	0	0	0	0	0	0	0	0	0	0	2.00E-04	0	0.055	0	0	0.0022	0	0	0	0.0471	9.00E-04	0	1.00E-04	0	0.0034	0.1006	0.0023	0.0142	0.0123	0	0	0.0132	0.1596	0	0.1072	0	0	0	4.00E-04	0.0115	0	0	0.0139	0	0	0	0	0	0	0	0	0	0	0.0584	0.1892	0	0	0.0646	0	0.0573	0.2437	0	0.2437
mix_72	0	0	0.3708	0	0.034	0.0756	0	0.021	0.0105	0.0118	0	0.0052	0.0058	0	0	0	0.0912	0	0	0	0	0	0	0.005	0.0483	0	1.00E-04	0.0199	0	0.1284	0	0	0.0042	0	0	9.00E-04	0.2155	0	0.0042	0	0	2.00E-04	0.0026	0	0	0	0.0309	0	0	1.00E-04	0	0	0	0.0038	0.0153	0	0	0.0299	0.0765	0	0	0.0905	0.0044	0.07	0.2805	0	0.2805
