Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
S10001	0.0272	0	0	0	0.2829	0.126	0	0.2806	0.2054	0	0.0016	0	0.1021	0.0919	0	0	0.05	0.0491	0.0394	0.7143	0.1522	0.1088	0	0	0.0265	0	0.0297	0	0.1925	0.2332	0.0271	0.0244	0.0341	0	0.3069	0.0519	0	0.088	0.0475	0.0083	0	0.4499	0	0.1738	0.0484	0.0961	0	0.0551	0.0364	0.0047	0.0378	0.1799	0	0.2178	0	0.0883	0	0	0.0514	0.128	0.1805	0	0	0	0.8631	0.0333	0.8964
S10006	0.0226	0	0.0892	0	0.2681	0.0669	0	0.4471	0.0899	0.0031	0.0825	0	0.0796	0.077	0	0	0.0547	0	0.0448	0.4519	0.1552	0.1659	0	0	0.1289	0.003	0.0601	0	0.1525	0.1836	0.0124	0.0068	0.0117	0	0.4094	0.0368	0.0178	0.0529	0.0726	0.0362	0.0871	0.2768	0.0142	0.1488	0.105	0.0593	0.0248	0.1787	0.0868	0.007	0.0409	0.3108	0.0165	0.0815	0.1621	0.096	0	0	0	0.1284	0.1097	0.0493	0	0.0557	0.7555	0.0337	0.7892
S1001	0	0	0.0159	0	0.3076	0.0915	0	0.5241	0.041	0.0641	0.1337	0.0701	0.1457	0.2207	0	0	0	0.0401	0.049	0.4202	0.1318	0.1905	0	0	0.1047	0	0.0246	0	0	0.0823	0.0557	0.01	0.0634	0.0064	0.283	0.0419	0	0.0148	0.0979	0.0305	0.1367	0.2537	0	0.1303	0.2248	0.0451	0.0292	0.1305	0.1386	0.0053	0.0228	0.4457	0.0431	0.1229	0.1667	0.1133	0	0.0385	0	0.1146	0.0791	0.0048	0.0194	0	0.8499	0.0245	0.8744
S10010	0.009	0	0	0	0.2349	0.0565	0.0459	0.3504	0.1088	0.0773	0.0689	0.049	0.1554	0.179	0	0	0	0.0094	0.0035	0.4493	0.1242	0.076	0	0.0243	0.003	0	0.0131	0	0.1268	0.1323	0.0203	0.0112	0.0325	0.0092	0.261	0.0527	0	0.0271	0.1676	0.0066	0.0686	0.4704	0.0051	0.1918	0.205	0.0526	0	0.0626	0.0948	0.0026	0.0148	0.359	0.0376	0.2084	0.0679	0	0	0.0109	0	0.0612	0.1159	0	0	0	0.8189	0.0062	0.8252
S10011	0.0034	0	0.0183	0.088	0.3043	0.1381	0.102	0.3764	0.1894	0.0645	0.0876	0.0405	0.1534	0.1973	0	0	0.0783	0	0.0592	0.3414	0.1746	0.0739	0	0.0153	0.0524	0.0065	0.0557	0	0.1595	0.2906	0.0268	0.0032	0.0965	0.0039	0.2673	0.0482	0.0032	0.0701	0.1287	0	0	0.4656	0.0068	0.169	0.2614	0.079	0.021	0.0617	0.0397	0.0062	0.0422	0.1949	0	0.268	0.0286	0	0	0	0	0.108	0.1991	0	0	0.0079	0.7046	0.0313	0.7359
S10014	0	0	0	0	0.2755	0.1267	0.0761	0.412	0.0616	0	0.0323	0.0765	0.1212	0.1926	0	0	0	0.0411	0.0463	0.7834	0.1471	0.0868	0	0.001	0	0	0.046	0	0.1117	0.1434	0	0	0.0337	0.0095	0.3169	0.0342	0	0.0283	0.0088	0.0322	0.0919	0.4399	0.0015	0.151	0.0384	0.0677	0	0.1276	0.1093	0.0086	0.0228	0.3672	0.042	0.1666	0.0867	0.0382	0	0	0.0429	0.118	0.1498	0	0	0	0.9075	0.0232	0.9306
S10026	0	0	0.1182	0	0.3616	0.0706	0	0.5597	0.1064	0.0741	0.1178	0	0.1627	0.2278	0	0	0.0424	0.0329	0.019	0.2239	0.0992	0.1136	0	0.0796	0.1265	0.0196	0.0088	0	0.0433	0.0421	0.0554	0.0124	0.0109	0.0042	0.3203	0.0387	0.0305	5e-04	0.1447	0.0232	0.0849	0.2299	0.0096	0.1669	0.1861	0.0236	0.0475	0.0982	0.1328	0.0047	0.0197	0.4617	0.0399	0.1554	0.146	0.1846	0	0.0901	0.0021	0.0584	0.04	0.0395	0	0	0.8445	0.0095	0.854
S10032	0	0	0.1681	0	0.2483	0.0233	0.0685	0.42	0.0581	0.0399	0.1001	0	0.1281	0.2199	0	0	0.0586	1e-04	0.0126	0.2033	0.1001	0.157	0	0.0298	0.0418	0.0092	0.0154	0	0.1164	0.0021	0.06	0.0186	0.0939	0.0256	0.2299	0.0527	0.076	0.0262	0.2072	0.0129	0.0694	0.3673	0	0.1463	0.241	0.0387	0.0132	0.1047	0.1282	0.0048	0.0144	0.4568	0.0368	0.2017	0.0434	0.1165	0	0.0298	0	0.0439	0.0754	0.1049	0.0066	0.0233	0.7788	0.0063	0.7851
S10036	0.0215	0	0.0012	0	0.3305	0.1624	0.0154	0.5485	0.0034	0.0237	0.1424	0	0.1753	0.1996	0.0173	0	0.0467	0.0332	0.0209	0.5883	0.1738	0.0915	0	0.0077	0.1061	0.0064	0.0592	0	0.0891	0.2675	0.0011	0.0102	0	0.0082	0.3911	0.0695	0	0.0384	0.0459	0.0391	0.0668	0.296	0.0179	0.1662	0.1574	0.051	0.0178	0.129	0.1184	0.0044	0.0449	0.2867	0	0.1392	0.1316	0.1043	0.0026	0	0.0335	0.146	0.0758	0	0	0	0.8434	0.0212	0.8646
S10042	0	0	0.0457	0	0.272	0.0411	0.0612	0.4622	0.0688	0.0743	0.1198	0.0577	0.134	0.1963	0.0173	0	0.0189	0	0	0.5869	0.1355	0.1057	0	0.1158	0.0178	0.0114	0.0211	0	0.1725	0.1524	0.0347	0.0102	0.0271	0.0183	0.3172	0.0477	0	0.0063	0.0805	0.0207	0.09	0.3602	0	0.1414	0.2404	0.0394	0.0109	0.1085	0.1192	0.0059	0.019	0.3845	0.0614	0.1335	0.1118	0.0687	0	0	0	0.0778	0.1003	0.0266	0	0	0.8959	0	0.8959
S10044	0	0	0.0589	0	0.3347	0.0713	0	0.5311	0.1157	0.0748	0.1305	0	0.1705	0.2234	0	0	0.0441	0	0	0.4532	0.068	0.1756	0	0.0581	0.0749	0	0	0	0.0359	0.0777	0.0237	0	0.006	7e-04	0.2821	0.0284	0	0	0.0717	0.0105	0.0216	0.3444	0	0.1638	0.2502	0.0279	0.0202	0.1059	0.1151	0.001	0	0.4756	0.0524	0.1664	0.1262	0.1292	0	0.0114	0	0.0268	0.0298	0.0114	0	0	0.8021	0	0.8021
S10049	0	0	0.0941	0	0.3538	0.0948	0.0444	0.5187	0.1295	0.0956	0.1456	0.009	0.1333	0.1913	0	0	0.0439	0.0246	0.0088	0.4859	0.0871	0.1465	0	0	0.0728	0	0.0149	0	0.0529	0	0.0312	0.0135	0.007	0	0.3773	0.0382	0	0	0.0404	0.025	0	0.2755	0	0.1327	0.1956	0.033	0	0.1558	0.1448	0.006	0	0.49	0.0456	0.1773	0.0845	0.1526	0	0.0016	0.0064	0.056	0.0583	0.0633	0	0	0.8389	0.0044	0.8433
S10057	0.0465	0	0.0092	0.0091	0.2934	0.1333	0.0842	0.394	0.0956	0.0594	0.0924	0.1424	0.0602	0.1491	0	0	0.0849	0.046	0.0793	0.495	0.1831	0.1517	0	0	0.1414	0.0206	0.1195	0	0.2076	0.4637	0.0076	0.007	0.0559	0	0.2508	0.0295	7e-04	0.1058	0.0529	0.0494	0.1235	0.3119	0.0223	0.1475	0	0.0743	0.0014	0.1191	0.0064	0.0112	0.0892	0.0817	0	0.2583	0.052	0.0704	0.0413	0	0.0319	0.1892	0.2205	0	0.0037	0.0774	0.823	0.0629	0.8859
S10062	0	0	0.1079	0	0.3137	0.0795	0.0537	0.4579	0.1301	0.0847	0.1143	0	0.1404	0.1855	0	0	0.0436	0.0117	0.0058	0.2733	0.0841	0.126	0	0	0.0448	0.0134	0.0261	0	0.1374	0.0748	0.0529	0.0058	0.0665	0.0055	0.2525	0.0306	0.046	0.0363	0.1485	0.0175	0.0444	0.2883	0	0.1673	0.244	0.0456	0.0297	0.1155	0.1441	0.0044	0.0104	0.4402	0.0394	0.1927	0.0841	0.0993	0	0.0547	0.011	0.0615	0.0893	0.047	0	0.0061	0.8066	0.0029	0.8095
S10066	0.0105	0	0	0	0.2384	0.0926	0.069	0.3218	0.1299	0.0175	0.0537	0	0.1289	0.1029	0.0638	0	0	0.0223	0.0129	0.6502	0.1407	0.0331	0	0.0509	0.0437	0	0.026	0	0.2104	0.1877	0.0529	0.0209	0.0322	0.0059	0.4047	0.0651	0	0.054	0.125	0	0	0.5595	0	0.2061	0.1805	0.0643	0	0.0643	0.0353	0.0055	0.0331	0.2164	0	0.17	0.0541	0.0717	0	0	0.0254	0.0984	0.1586	0	0	0	0.8789	0.0117	0.8906
S10067	0	0	0.1208	0	0.37	0.1544	0.0679	0.5358	0.1512	0.0914	0.144	0.0481	0.1577	0.2024	0	0	0.0491	0.0106	0.013	0.2904	0.071	0.1272	0	0	0.0757	0	0.0177	0	0.0963	0.0183	0.0321	0.0139	0	0.0029	0.2994	0.0383	0.0266	0.0021	0.065	0.0186	0.1415	0.2914	0	0.14	0.198	0.0188	0.0067	0.1286	0.1525	0.0042	0.0052	0.4881	0.0467	0.1396	0.0993	0.0798	0	0.0618	0	0.0581	0.0573	0.0592	0	0	0.8431	0.0065	0.8496
S1007	0.0085	0	0.0559	0	0.2577	0.0936	0	0.3849	0.1049	0.0341	0.091	0	0.0865	0.1449	0	0	0.0503	0.016	0.0577	0.576	0.1177	0.153	0	0	0.0481	6e-04	0.0556	0	0.1684	0.3024	0	0.0053	0.0217	0.0083	0.2844	0.0335	0.0085	0.0561	0.0712	0.0024	0.0857	0.2961	0.0084	0.1638	0.1342	0.0844	0	0.1268	0.1141	0.0045	0.0375	0.2722	0	0.1905	0.0607	0.1066	0	0	0.0409	0.1245	0.1523	0.0298	0	0.0295	0.8458	0.0331	0.8789
S10073	0	0	0.0929	0	0.3957	0.1727	0.0817	0.5839	0.1356	0.1134	0.1645	0.0797	0.1434	0.1679	0	0	0.0762	0.0133	0.0188	0.1837	0.0878	0.161	0	0	0.0408	0.007	0.017	0	0.0043	0.061	0.0605	0.0215	0.0125	0.0081	0.2687	0.0377	0.0257	0.0202	0.1024	0	0.1056	0.242	0	0.1698	0.3505	0.0444	0.011	0.1077	0.1502	0.0038	0.007	0.4531	0.0461	0.2372	0.0887	0.1572	0	0.0425	0	0.0406	0.0936	0.0615	0	0	0.8303	0.0094	0.8397
S10077	0.0113	0	0.0115	0	0.2545	0.0745	0.035	0.254	0.1726	0.0446	0.0456	0.0382	0.1336	0.1005	0	0	0.0483	0.0327	0.0391	0.7497	0.1431	0.0602	0	0	0	0.0031	0.0296	0	0.1318	0.2935	0.0258	0.0215	0.0856	0.0069	0.2215	0.0351	0	0.0635	0.0357	0	0.0368	0.3727	0	0.1575	0.2187	0.0846	0	0.0654	0.0577	0.0034	0.0353	0.2343	0.0261	0.2455	0	0.0633	0	0	0.0174	0.0855	0.2159	0	0	0	0.9038	0.0252	0.929
S10080	0	0	0	0	0.2362	0.0463	0.0854	0.3242	0.078	0.0555	0.0876	0.0862	0.1587	0.1509	0	0	0.0538	0.0411	0.0211	0.6988	0.1304	0.0695	0	0	0	0	0.03	0	0.1313	0.2814	0.0522	0.0162	0.0559	0	0.2318	0.0389	0	0.0454	0.0586	0	0.1159	0.4293	0	0.1422	0.2929	0.0819	0	0.0979	0.0745	0.0047	0.0234	0.2957	0.0318	0.2329	0.0613	0.09	0	0	0.0444	0.095	0.18	0	0	0	0.9337	0.0106	0.9442
S10082	0.0039	0	0.1308	0	0.3669	0.1289	0.105	0.5314	0.1325	0.0951	0.1248	0	0.1512	0.2455	0	0	0.0835	0.0146	0.0254	0.2827	0.0822	0.1312	0	0.0046	0.0132	0.0174	0.0106	0	0.0844	0.0476	0.03	0.0148	0.02	0.0047	0.1164	0.0373	0.0561	0.0062	0.1254	0	0	0.3773	0	0.1665	0.2994	0.0282	0.0464	0.0313	0.161	0.0035	0	0.4629	0.0568	0.1802	0.0521	0.1499	0	0.0533	0	0.0564	0.1094	0.062	0	0	0.8111	0.0146	0.8258
S10087	0	0	0.1671	0	0.3935	0.1186	0.1144	0.5571	0.1257	0.0802	0.1464	0.0247	0.0733	0.1716	0	0	0.0998	0.0366	0.0173	0.3254	0.0575	0.1202	0	0.0285	0.0233	0	0.0066	0	0.0654	0.0519	0.0361	0.0196	0.0128	0.0034	0.3122	0.0316	0.0456	0.0077	0.0992	0.0115	0.034	0.1757	0	0.1477	0.1964	0.0285	0	0.141	0.1381	0.0033	0	0.4589	0.0534	0.1884	0.056	0.1257	0	0.0498	0.034	0.0631	0.0555	0.1085	0	0.0124	0.8821	0.0086	0.8908
S10089	0.0229	0	0.0016	0	0.2717	0.1317	0.0428	0.3208	0.1797	0.042	0.0286	0	0.1165	0.0895	0	0	0.055	0.031	0.0441	0.6553	0.169	0.1115	0	0	0.0625	0	0.0501	0	0.0813	0.2618	0	0.0168	0.0517	0	0.3499	0.0636	0	0.0676	0.0277	0.0195	0.0264	0.4638	0.0108	0.172	0.0686	0.0821	0	0.1034	0.0402	0.0043	0.0439	0.1951	0	0.2096	0	0.0685	0	0	0.0338	0.1386	0.1688	0	0	0	0.8185	0.0335	0.852
S1009	0	0	0.1898	0	0.3823	0.1434	0.1142	0.4874	0.1748	0.1285	0.1299	0.0473	0.1389	0.1726	0	0	0.1772	0.0233	0.02	0.3473	0.089	0.1016	0	0	0	0.0076	0.0166	0	0.1629	0.1617	0.0436	0.0136	0.0349	0.0188	0.1877	0.0248	0.0692	0.0274	0.0863	0	0.0794	0.244	0	0.1473	0.3281	0.0579	0.053	0.0658	0.1754	0.0018	0.0107	0.3715	0.0665	0.2855	0.0677	0.0734	0	0.0157	0.014	0.0553	0.1538	0.0694	0	0.0595	0.9644	0.01	0.9744
S10090	0.032	0	0.0169	0.064	0.333	0.1583	0.0379	0.4257	0.1571	0.0572	0.0841	0.0525	0.069	0.0939	0	0	0.0524	0.036	0.0232	0.4381	0.0933	0.0469	0	0	0.0648	0.0074	0.0361	0	0.2826	0.1952	0	0	0.0405	0.0098	0.4256	0.0551	0	0.1081	0.0706	0.0384	0.0528	0.3344	0.0172	0.1814	0.0305	0.0723	0.0094	0.1365	0.0508	0.0012	0.0532	0.2214	0.0047	0.1096	0.0679	0.0674	0	0	0.0646	0.1244	0.0959	0	0	0.0184	0.7972	0.0276	0.8248
S10093	0.0498	0	0	0	0.1796	0.0681	0	0.3538	0	0.0011	0.1047	0.0253	0.096	0.1975	0.0031	0	0.0488	0	0.048	0.6073	0.2027	0.168	0	0	0.0614	0.0115	0.1042	0	0.2081	0.4773	0.01	0	0.0742	0	0.2932	0.0377	0	0.11	0.0681	0.0352	0.074	0.4851	0.0371	0.1414	0.0241	0.0893	0	0.1415	0.002	0.0081	0.0664	0.148	0	0.2271	0.1174	0.0206	0	0	0.0264	0.1488	0.1822	0	0	0.0535	0.721	0.0489	0.7699
S10094	0	0	0.0152	0	0.2927	0.1115	0.0446	0.4506	0.095	0.0289	0.0494	0	0.1722	0.1786	0	0	0.0032	0.0058	0.0114	0.4433	0.1082	0.147	0	0	0	0.0024	0.011	0	0.1065	0.0967	0.0384	0.0162	0.029	0.0058	0.2765	0.0516	0	0.0151	0.1129	0.0066	0.0852	0.3819	0	0.1537	0.2384	0.0377	0	0.1209	0.0993	0.0052	0.0062	0.4239	0.0146	0.2212	0.0594	0.1076	0	0.0026	0	0.058	0.1107	0	0	0	0.7879	0.0057	0.7936
S1010	0.0396	0	0.066	0	0.2567	0.0739	0.0674	0.3403	0.151	0.101	0.1395	0.054	0.057	0.156	0	0	0.0651	0.0112	0.0469	0.4619	0.1123	0.0956	0	0.0764	0	0.0083	0.0331	0	0.1806	0.163	0.0698	0.0198	0.0699	0.0219	0.3144	0.045	0.0426	0.0495	0.1043	0.0149	0.0109	0.5347	0.006	0.1437	0.1557	0.0776	0.014	0.1311	0.0656	0.0038	0.0289	0.3337	0.0223	0.2693	0.0638	0.0395	0	0.0141	0.0274	0.1006	0.1764	0.0249	0	0	0.8316	0.0432	0.8748
S10111	0	0	0.0465	0	0.3508	0.1497	0.0458	0.5526	0.1537	0.0743	0.1124	0.0224	0.1503	0.2138	0	0	0.0239	0	0.0235	0.362	0.0816	0.1046	0	0	0.0103	0	7e-04	0	0.1019	0	0.0342	0.0086	0	0.0107	0.4926	0.0385	0.0199	0.0019	0.0566	0.0038	0.0818	0.3096	0	0.1238	0.2558	0.0223	0.0187	0.194	0.1419	0.0037	0	0.5259	0.0645	0.1893	0.1067	0.0992	0	0.03	0	0.0625	0.0812	0.0122	0	0	0.7605	0.0118	0.7722
S10116	0.0085	0	0.0589	0.0819	0.3488	0.2139	0.113	0.4298	0.1831	0.1308	0.1585	0.1797	0.1138	0.1354	0	0	0.1012	0.0308	0.0623	0.1968	0.1251	0.1941	0	0	0.1032	0.0178	0.06	0.0279	0.1383	0.4473	0.043	0.0117	0.0649	0.0176	0.2067	0.0188	0.0528	0.084	0.097	0.0025	0.1582	0.3188	0.0077	0.1174	0.3112	0.1024	0.0267	0.0287	0.0369	0.0045	0.0456	0.1604	0.0218	0.265	0.0396	0	0.0372	0.0331	0	0.0846	0.2193	0	0	0.0483	0.7995	0.0354	0.8349
S10119	0.0045	0	0.1232	0	0.3637	0.1417	0.0332	0.5302	0.1639	0.1154	0.1951	0.0311	0.0926	0.19	0	0	0.0341	0.0027	0.0439	0.4038	0.1046	0.1085	0	0.024	0.0245	0.0094	0.0415	0	0.2048	0.1958	0.05	0.0209	0.0133	0.0224	0.2873	0.0415	0.0324	0.0395	0.0855	0.0253	0.0453	0.1922	0.0064	0.1649	0.1527	0.0487	0.037	0.1208	0.1265	0.005	0.033	0.3694	0.0564	0.1786	0.0889	0.0335	0	0	3e-04	0.1089	0.1318	0.0513	0	0.0421	0.9179	0.0242	0.9421
S10121	0	0	0.1175	0	0.3	0.0927	0.0351	0.4098	0.1489	0.0775	0.0785	0.0586	0.1287	0.1777	0	0	0.0568	0.0275	0.0444	0.2068	0.0914	0.0789	0	0	0.0548	0.0196	0.0445	0	0.1318	0.1184	0.0296	0.021	0.0308	0.0295	0.3197	0.0433	0.0203	0.0545	0.1343	0.0153	0.1161	0.3636	0.0063	0.1619	0.1445	0.0483	0.0356	0.1184	0.1107	0.0043	0.0253	0.3528	0.043	0.1238	0.0395	0.0634	0.0209	0.0428	0.002	0.0975	0.1054	0.0562	0.0177	0	0.8005	0.0222	0.8227
