	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD4+ memory T-cells	CD4+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	CD8+ naive T-cells	CLP	CMP	Chondrocytes	Class-switched memory B-cells	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	HSC	Hepatocytes	Keratinocytes	MEP	MPP	MSC	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	Mesangial cells	Monocytes	Myocytes	NK cells	NKT	Neurons	Neutrophils	Osteoblast	Pericytes	Plasma cells	Platelets	Preadipocytes	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	aDC	cDC	iDC	ly Endothelial cells	mv Endothelial cells	naive B-cells	pDC	pro B-cells	ImmuneScore	StromaScore	MicroenvironmentScore
Mix_1	0	0	0.0923	0.061	0	0	0	0	0	0	0	0.0231	0	0	0	0	0.0294	0.0013	0.0044	3.00E-04	0.0022	0	0	0.0572	0	4.00E-04	0	0	0.0183	0.0713	0	0	0	0	0	8.00E-04	0.0814	0	0.1188	0	0.0577	0.0099	1.00E-04	0.0043	0	0.0602	0.0124	0	0	0.0349	0	0	0	0	0.0037	0	0	0.1742	0.1423	6.00E-04	0	0.0394	0	0.025	0.1831	0.0022	0.1853
Mix_2	0	0	0.2141	0.0542	0	0.0157	0	0	0	0	0	0.0137	0	0	0	0	0.0484	0	0.0027	0	0	0	0	0	0.0033	0	0	0	0.0186	0.1001	0	0	0	0	0	1.00E-04	0.1604	0	0.0521	0	0.0477	0	0.0029	0	0	0.028	0.0155	0	0	0.009	0	0	0	0	0.009	0	0	0.0752	0.1248	4.00E-04	0	0.0768	0	0.0432	0.2093	0.0014	0.2106
Mix_3	0	0	0.0655	0.0603	0	0	0	0	0	0.0183	0.0241	0.037	0.003	0	0	0	0.0141	0	0.0013	0	0	0	0	0	0	4.00E-04	0	0	0.0086	0.0373	0	0	0	0	0	1.00E-04	0.0587	0	0.0504	0.0039	0.0957	0.0101	0.0012	0	0	0.0248	0.0091	0.0025	0	0.008	0.0021	0.0098	0	0	0.0243	0	0	0.0934	0.0655	0.0015	0	0.0344	0	0.0163	0.1533	6.00E-04	0.1539
Mix_4	0	0	0.1234	0.0495	0	0.0094	0	0	0	0.012	0.02	0.036	0.0013	0	0	0	0.019	0	8.00E-04	0	0	0	0	0	0.0041	0	0	0	0.01	0.0608	0	0	0	0	0	0	0.0932	0	0.0291	0.0029	0.0919	0	8.00E-04	0	0	0.0322	0.0082	0.0053	0	0.0018	3.00E-04	0.012	0.0035	0	0.019	0	0	0.0472	0.0813	0.0017	0	0.0557	0	0.0265	0.1709	4.00E-04	0.1713
Mix_5	0	0	0.2817	0.0287	0	0	0	0	0	0	0	0.0354	0	0	0	0	0.0612	0	0	0	0	0	0	0	0	0	0	0	0.0322	0.1407	0	0	0	0	0	3.00E-04	0.1959	0	0.0016	0.0023	0.073	0	0.0058	0	0	0.0046	0.0073	0	0	0	0	0	0	0	0.0225	0	0	0.0349	0.1303	0	0	0.1024	0	0.0707	0.2375	0	0.2375
Mix_6	0	0	0.1563	0.0883	0	0	0	0	0	0	0	0.0172	0	0	0	0	0.0394	3.00E-04	0	0	0.0023	0	0	0.0716	0	0	0	0	0.0251	0.1456	0	0	0	0	0	9.00E-04	0.1352	0	0.1174	0	0.0241	0.0255	0.001	0.006	0	0.0418	0.017	0	0	0.0516	0	0	0	0	0	0	0	0.1921	0.2407	0	0	0.0561	0.0043	0.0444	0.2027	0	0.2027
Mix_7	0	0	0.1681	0.0379	0	0.0216	0	0.0011	0	0.0255	0.0277	0.0318	0.0027	0	0	0	0.0277	0	0.0045	0	0	0	0	0	0.002	0	0	0	0.0142	0.036	0	0	3.00E-04	0	0	0	0.1257	0	0.0146	0.0027	0.0647	0	0.0028	0	0	0.03	0.0062	0.017	0.0011	0.0012	1.00E-04	0.0234	0.0036	0	0.0175	0	0	0.0037	0.0857	5.00E-04	0	0.0643	0	0.0382	0.1819	0.0022	0.1842
Mix_8	0	0	0.2121	0.0393	0.0013	0.0359	0	0.0084	0	1.00E-04	0.0115	0.0091	1.00E-04	0	0	0	0.0521	0	0.0042	8.00E-04	2.00E-04	0	0	0.0217	0.0027	0	0	0	0.0203	0.1415	0	0	0	0	0	9.00E-04	0.1542	0	0.087	0	7.00E-04	0.0052	0.0029	0	0	0.0277	0.0117	0	0	0.0215	0	0	0	0	0.0068	0	0	0.1173	0.1648	0	0	0.07	0	0.0458	0.2013	0.0021	0.2034
Mix_9	0	0	0.1982	0.0522	0	0.0016	0	0	0	0	0.0067	0.0302	0	0	0	0	0.0381	0	0.0019	0	0	0	0	0.003	0	0	0	0	0.0198	0.0701	0	0	0	0	0	0	0.1461	0	0.0458	4.00E-04	0.0639	0	0.0029	0	0	0.0285	0.0108	0.0017	0	0.0086	0	0	0	0	0.0141	0	0	0.0768	0.1056	8.00E-04	0	0.0749	0	0.0423	0.2053	0.001	0.2062
Mix_10	0	0	0.2263	0.0559	0	0	0	0	0	0	0.0089	0.0244	9.00E-04	0	0	0	0.0538	0	0	0	0	0	0	0.0253	0	0	0	0	0.0235	0.1286	0	0	0	0	0	1.00E-04	0.1686	0	0.0775	0	0.0316	0.0231	0.0042	0.0025	0	0.0096	0.0156	0	0	0.0202	0	0	0	0	6.00E-04	0	0	0.1246	0.1612	0	0	0.0838	5.00E-04	0.0488	0.2253	0	0.2253
Mix_11	0	0	0.185	0.0409	0	0.0413	0	0.0084	0	0	0	0.0217	0	0	0	0	0.034	0	0.0093	0	0	0	0	0	0.0071	0	0	0	0.0142	0.0959	0	0	0	0	0	0	0.1338	0	0.033	6.00E-04	0.0624	0	0.0023	0	0	0.009	0.0082	0.0043	0	0.0025	0	0	0.0031	0	0.0183	0.0072	0	0.0397	0.1005	0.0058	0	0.0712	0	0.0415	0.1869	0.0046	0.1916
Mix_12	0	0	0.0313	0.0269	0	0.0054	0	0	0	0.0063	0.011	0.0358	0	0	0	0	0.0105	0.0023	0.0015	0	0	0	0	0.0684	0	0	0	0	0.0099	0.0704	0	0	0	0	0	1.00E-04	0.0305	0	0.1128	6.00E-04	0.0871	0.0161	0	7.00E-04	0	0.0659	0.0069	8.00E-04	0	0.0254	0	0	0.0056	0	0	0	0.0177	0.1534	0.1002	0.0016	1.00E-04	0.019	0	0.0096	0.1603	8.00E-04	0.1611
Mix_13	0	0	0.2599	0.0379	0	0	0	0	0	0	0.0117	0.0284	0.0011	0	0	0	0.0614	0	0	0	0	0	0	0	0	0	0	0	0.0184	0.1195	0	0	0	0	0	5.00E-04	0.1805	0	0.0307	0.0022	0.0509	6.00E-04	0.0047	0	0	0.0059	0.018	0	0	0.0021	0	0	0	0	0.0079	0	0	0.0541	0.1241	0	0	0.0899	0	0.0557	0.2277	0	0.2277
Mix_14	0	0	0.0895	0.0149	0	0.0105	0	0	0	0.0363	0.0312	0.0459	0.003	0	0	0.0014	0.0052	0	0.0036	0	0	0	0	0	4.00E-04	0	0	0	0.0192	0	0	0	0	0	0	0	0.066	0	0.0021	0.0097	0.1106	0	0.0012	0	0	0.0411	0.0061	0.0131	0	0	0.0017	0.04	0.0064	0	0.0319	0	0	0	0.0617	0.0026	0	0.0445	0	0.0247	0.159	0.0018	0.1608
