	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10353	4.08814081837e-119	8.97655572203e-27	1.12432106745e-102	0	0
S10356	7.47968868776e-119	1.47551180431e-26	6.8938767527e-103	0	0
S10358	7.62002056664e-119	1.07459032101e-26	1.44959921427e-102	0	0
S10365	6.0777116308e-119	9.51626378165e-27	1.17869251473e-102	0	0
S1037	5.48932297252e-119	1.41441680663e-26	8.92601051884e-103	0	0
S10373	5.1032921159e-119	9.71086031666e-27	1.52539979591e-102	0	0
S10374	4.31719689531e-119	7.44726925025e-27	1.97870162295e-102	0	0
S10375	1.03888319996e-118	1.74059532877e-26	1.89976470537e-102	0	0
S10377	3.62306718336e-119	1.20681729977e-26	1.94938729272e-102	0	0
S10378	7.01192982745e-119	1.14187057833e-26	2.6419821973e-102	0	0
S10390	3.57872302697e-119	1.06799494921e-26	2.71204698624e-103	0	0
S10391	3.32459412842e-119	1.05112306041e-26	1.28760261494e-102	0	0
S10393	7.60102980582e-119	1.02186100412e-26	3.17609502865e-102	0	0
S10400	6.2768680942e-119	1.14051389938e-26	1.26659393695e-102	0	0
S10401	5.0156206119e-119	7.76863776675e-27	5.7140573126e-103	0	0
S10406	5.92731292562e-119	8.54196927973e-27	1.89748359395e-102	0	0
S10408	1.45981288834e-118	1.25609933874e-26	5.63005431319e-103	0	0
S10409	5.18075212249e-119	1.12231315003e-26	2.91707149349e-102	0	0
S10418	2.46629417432e-119	5.26703073563e-27	2.47869742714e-103	0	0
S10431	6.40579764455e-119	1.22155046853e-26	1.40618597628e-102	0	0
S10438	4.5831141693e-119	1.05661693952e-26	1.47027641667e-102	0	0
S10439	1.01740925994e-118	1.14367824106e-26	2.98036166584e-102	0	0
S10441	6.5233433177e-119	8.95751832095e-27	3.51725233365e-103	0	0
S10442	9.57017225076e-119	1.38938824276e-26	1.83522134795e-102	0	0
S1046	9.83331749505e-119	1.31683301047e-26	2.58988387486e-102	0	0
S10478	1.07843069368e-118	7.16187368459e-27	8.66709693431e-103	0	0
S10480	2.64324757415e-119	9.60849917202e-27	6.92468689493e-103	0	0
S10484	6.86048969518e-119	1.13891274449e-26	1.12569870941e-102	0	0
S10492	6.42469614966e-119	1.58361332652e-26	2.30295690096e-102	0	0
S10496	9.56995113539e-119	1.18295162721e-26	1.82870294859e-102	0	0
S10510	3.91147178497e-119	1.01368291242e-26	1.8312398272e-102	0	0
S10513	9.40130842982e-119	1.45100308214e-26	1.4885634783e-102	0	0
S10516	4.70434834362e-119	9.26170974201e-27	7.25151367429e-103	0	0
S10534	5.1741727603e-119	9.42467489883e-27	1.80073690354e-102	0	0
S10535	5.22818995125e-119	9.86218274785e-27	1.87620925957e-102	0	0
S10537	6.78929399003e-119	9.76011009364e-27	1.37337037169e-102	0	0
S1054	6.24396113868e-119	9.40829033649e-27	8.54718198359e-103	0	0
S10543	7.09487971286e-119	9.20678925801e-27	8.07417864082e-103	0	0
S10546	6.428111223e-119	1.14126516327e-26	1.38756377172e-102	0	0
S1055	1.13148448054e-118	9.31758391239e-27	1.39440928247e-102	0	0
S10551	4.20720337211e-119	9.08659111816e-27	1.02649083411e-102	0	0
S10552	6.80751485256e-119	8.04656868915e-27	5.17340991054e-103	0	0
S10555	6.404391748e-119	1.22777946445e-26	1.73967853697e-102	0	0
S10559	5.09775330285e-119	8.56689004275e-27	1.45409421145e-102	0	0
S1056	7.64470885482e-119	1.41992411601e-26	2.05568718444e-102	0	0
S10563	8.74330195958e-119	1.11938428157e-26	1.63024343708e-102	0	0
S10574	5.4368771316e-119	1.10076884478e-26	1.62753369486e-102	0	0
S10576	8.12937754611e-119	8.1731563774e-27	1.5580635495e-102	0	0
S10578	6.72668122782e-119	9.55027140203e-27	2.20526813056e-102	0	0
S10579	7.10209614768e-119	1.03319203438e-26	1.45503522369e-102	0	0
S10582	5.66651433841e-119	9.91671021569e-27	2.30189295474e-102	0	0
S1059	5.47810995974e-119	1.07474826208e-26	1.39444150054e-102	0	0
S10599	1.15765079468e-118	9.16456108059e-27	3.13048765467e-102	0	0
S10611	4.30116723109e-119	9.52035471561e-27	1.6997085783e-102	0	0
S10614	9.08484284615e-119	1.25774703394e-26	1.06771066192e-102	0	0
S10624	2.527384024e-119	7.35057780323e-27	7.62735142987e-103	0	0
S10632	5.58495203914e-119	1.00513190985e-26	1.00246653641e-102	0	0
S10634	4.69571513961e-119	8.75061572523e-27	1.1601843619e-102	0	0
S10638	1.32762723473e-118	1.152530126e-26	3.27277746083e-103	0	0
S10644	7.38558171983e-119	2.08274075931e-26	2.92476506887e-102	0	0
S10649	9.76618354129e-119	1.09987471783e-26	1.8902198966e-102	0	0
S10652	3.99596761673e-119	6.55752942919e-27	7.77036394956e-103	0	0
S10654	5.20366549515e-119	9.6584940632e-27	2.48507158701e-102	0	0
S10655	5.61672132463e-119	9.9753405809e-27	1.63805910286e-102	0	0
S10656	3.4825519925e-119	1.12267887589e-26	2.15345634655e-102	0	0
S10657	8.80788047665e-119	1.27477648891e-26	6.03595551566e-103	0	0
S10658	1.16070401901e-118	1.02402727207e-26	2.04739208541e-102	0	0
S10660	1.78471646222e-119	9.0163913238e-27	1.17442458827e-102	0	0
S10661	8.87744730447e-119	1.18115664287e-26	9.95266009644e-103	0	0
S10676	7.27288732182e-119	7.56422934082e-27	3.44615456949e-102	0	0
S1068	4.73832851106e-119	1.1043548526e-26	1.2553480496e-102	0	0
S10681	4.61712532137e-119	7.694117713e-27	2.45437225355e-102	0	0
S10686	6.8809681134e-119	7.55659101936e-27	1.08765479899e-102	0	0
S10688	1.35255143996e-118	2.38029570896e-26	3.07619901169e-103	0	0
S10690	5.47374499273e-119	1.02484610284e-26	6.90009156494e-103	0	0
S10698	5.19315597947e-119	1.19109287183e-26	1.46258527775e-102	0	0
S107	6.03691529363e-119	1.29864151365e-26	1.91549962746e-102	0	0
S10703	3.13662173997e-119	1.05135245508e-26	2.02963562171e-102	0	0
S10726	4.70565284677e-119	1.32696971637e-26	1.25758339925e-102	0	0
S10729	7.08914460357e-119	9.75148007202e-27	7.51695746371e-103	0	0
S10733	7.67098350076e-119	1.07952433812e-26	4.17802389984e-102	0	0
S10734	3.6855882193e-119	1.44718708996e-26	2.43302994815e-102	0	0
S10735	5.88575799824e-119	9.04126868691e-27	1.0376985559e-102	0	0
S10740	1.14974728958e-118	1.51131185521e-26	2.32358766856e-102	0	0
S10745	8.67208095758e-119	6.88093584142e-27	1.6677319325e-102	0	0
S10748	5.79856089301e-119	9.13419245984e-27	8.48304475533e-103	0	0
S10753	1.78573350703e-118	2.0768202384e-26	1.84044428785e-102	0	0
S10756	9.49550606787e-119	1.15116818449e-26	2.20297645904e-102	0	0
S10757	4.79521297151e-119	1.9051934476e-26	3.45283686528e-103	0	0
S1076	7.01873754919e-119	1.3789277136e-26	7.7465226406e-103	0	0
S10764	9.48574810664e-119	9.9754967831e-27	3.99071939464e-103	0	0
S10767	4.13779324232e-119	8.85655009273e-27	1.57431119258e-102	0	0
S10776	9.85868271717e-119	8.07556577774e-27	1.22404286294e-102	0	0
S10778	1.26891913257e-118	1.06851115453e-26	1.8742162355e-102	0	0
S10784	8.86412499276e-119	8.23793760824e-27	9.04246122664e-103	0	0
S10787	6.58140175128e-119	9.52315653546e-27	8.47540420015e-103	0	0
S10800	4.76528188687e-119	8.02660506342e-27	8.28814268515e-103	0	0
S10805	8.36120895647e-119	9.85531448246e-27	6.87494818395e-103	0	0
S10813	4.93042345104e-119	8.80276247587e-27	1.69304549942e-102	0	0
S10814	3.7566886662e-119	5.96110692102e-27	1.10889344765e-102	0	0
S10815	6.23372663995e-119	1.30554580749e-26	1.63280678048e-102	0	0
S10817	6.15039140427e-119	1.25615426726e-26	8.83797289624e-103	0	0
S1083	6.37243561408e-119	1.36582799523e-26	1.57762473721e-102	0	0
S10835	4.35315550724e-119	8.02448936931e-27	2.56546571458e-102	0	0
S10838	8.33074138074e-119	9.64247651161e-27	2.43961599269e-102	0	0
S10844	6.43279133443e-119	8.85693687568e-27	1.5705328055e-102	0	0
S10845	4.50948148832e-119	8.66849384262e-27	2.62027956502e-102	0	0
S10846	3.31052851803e-119	1.19961415389e-26	1.48115307133e-102	0	0
S10853	8.47831885638e-119	6.48618792621e-27	1.9830037583e-102	0	0
S10854	3.79183159431e-119	1.32400271135e-26	1.12533464002e-102	0	0
S10865	6.89991325662e-119	1.12765870705e-26	7.66143962014e-103	0	0
S10866	7.18212896228e-119	9.90579115577e-27	3.87130706789e-102	0	0
S10869	1.29483367958e-118	7.08295453616e-27	1.60531239979e-102	0	0
S10873	3.97814232379e-119	1.35594615087e-26	5.94790734406e-103	0	0
S10876	5.36258356746e-119	1.21039869453e-26	2.88623228247e-102	0	0
S10883	6.70906424255e-119	7.55327232503e-27	1.94479858012e-102	0	0
S10885	7.10529668727e-119	1.3458751387e-26	2.6210667203e-102	0	0
