	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	14.9353587328	16.5014186798	15.0430512821	6.80796551724	8.4945	8.6746
B	14.9262375	16.5033480167	15.1744753897	6.81613793103	8.49466666667	8.6478
C	13.891675	13.9677408418	14.3796888145	5.78810344828	9.58733333333	9.04074918421
D	13.88725	14.0337543747	14.4754358974	5.78206896552	9.62083333333	8.9808
E	14.4129278973	14.9367103617	15.5571834263	6.16343094193	8.68085690182	9.5014485079
F	14.265825	15.5334834969	16.3171410256	6.54578354118	7.04316666667	7.9694
G	14.7930125	17.0515239817	14.4003974359	8.15812045936	7.858	7.6914
H	14.1072	17.5479267982	13.8623076923	6.59231034483	7.3965	7.0396
I	14.3226654374	17.5750452459	13.6656649905	6.5689364522	7.38866666667	7.1606
J	14.0140758242	13.1072089783	13.1399230769	5.10286206897	9.63515814242	8.3254
K	14.3799841201	12.9847707745	15.1925897436	5.26651724138	8.7785	9.63252816383
L	13.069075	13.5744915188	12.9143919686	5.72462068966	9.73616666667	8.4158
