	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	0.0621	0.2771	0.3662	0	0
mix_2	0.0849	0.3504	0.2094	0	0
mix_3	0.069	0.4227	0.505	0	0
mix_4	0.1683	0.317	0.3811	0	0
mix_5	0.1109	0.1743	0.5935	0	0
mix_6	0.1132	0.2665	0.4183	0	0
mix_7	0.2062	0.282	0.4284	0	0
mix_8	0.2103	0.4491	0.1028	0	0
mix_9	0.0355	0.29	0.4642	0	0
mix_10	0.2488	0.2724	0.3663	0	0
mix_11	0.1014	0.4167	0.1612	0	0
mix_12	0.0222	0.3558	0.348	0	0
mix_13	0.2609	0.2038	0.4464	0	0
mix_14	0.2712	0.2169	0.39	0	0
mix_15	0.2287	0.0187	0.7102	0	0
mix_16	0.1171	0.3896	0.3986	0	0
mix_17	0.3422	0.1986	0.4592	0	0
mix_18	0.1214	0.3693	0.1532	0	0
mix_19	0.1872	0.2838	0.3359	0	0
mix_20	0.0	0.1274	0.8726	0	0
mix_21	0.1665	0.2781	0.4576	0	0
mix_22	0.2102	0.1321	0.4643	0	0
mix_23	0.2164	0.3945	0.2194	0	0
mix_24	0.1045	0.3506	0.1653	0	0
mix_25	0.0214	0.4751	0.3205	0	0
mix_26	0.0	0.1509	0.8491	0	0
mix_27	0.2804	0.25	0.1512	0	0
mix_28	0.0812	0.22	0.6988	0	0
mix_29	0.0953	0.326	0.4015	0	0
mix_30	0.1274	0.3036	0.3865	0	0
mix_31	0.0902	0.424	0.3001	0	0
mix_32	0.1167	0.304	0.4669	0	0
mix_33	0.1515	0.3904	0.2636	0	0
mix_34	0.0551	0.3509	0.2873	0	0
mix_35	0.0948	0.223	0.4517	0	0
mix_36	0.2113	0.4356	0.2887	0	0
mix_37	0.203	0.4928	0.2071	0	0
mix_38	0.0102	0.3127	0.6771	0	0
mix_39	0.2138	0.0776	0.6673	0	0
mix_40	0.1634	0.4685	0.1748	0	0
mix_41	0.0766	0.2548	0.3896	0	0
mix_42	0.2056	0.2252	0.5693	0	0
mix_43	0.0	0.1882	0.698	0	0
mix_44	0.0159	0.3887	0.528	0	0
mix_45	0.0	0.5337	0.3173	0	0
mix_46	0.0987	0.1172	0.7483	0	0
mix_47	0.1562	0.3859	0.2569	0	0
mix_48	0.2789	0.2426	0.1504	0	0
mix_49	0.2052	0.1708	0.381	0	0
mix_50	0.1511	0.4207	0.4196	0	0
mix_51	0.2338	0.3084	0.1883	0	0
mix_52	0.2656	0.2225	0.5119	0	0
mix_53	0.2293	0.2615	0.2561	0	0
mix_54	0.2245	0.1351	0.6404	0	0
mix_55	0.195	0.257	0.2932	0	0
mix_56	0.0717	0.4664	0.3593	0	0
mix_57	0.0005	0.4137	0.3806	0	0
mix_58	0.1099	0.236	0.5603	0	0
mix_59	0.0379	0.2383	0.4594	0	0
mix_60	0.2297	0.3037	0.3098	0	0
mix_61	0.1037	0.4696	0.4267	0	0
mix_62	0.1178	0.3766	0.5056	0	0
mix_63	0.0402	0.3945	0.3328	0	0
mix_64	0.1777	0.4621	0.1362	0	0
mix_65	0.1212	0.1366	0.6127	0	0
mix_66	0.2325	0.2269	0.2547	0	0
mix_67	0.2004	0.1708	0.6288	0	0
mix_68	0.0346	0.0803	0.8441	0	0
mix_69	0.1768	0.4187	0.1754	0	0
mix_70	0.3362	0.0454	0.4332	0	0
mix_71	0.2835	0.3635	0.0425	0	0
mix_72	0.3342	0.3787	0.2442	0	0
mix_73	0.2636	0.1216	0.4698	0	0
mix_74	0.1959	0.4164	0.2446	0	0
mix_75	0.2284	0.3555	0.1176	0	0
mix_76	0.0357	0.2275	0.6474	0	0
mix_77	0.0	0.3057	0.6943	0	0
mix_78	0.1726	0.2493	0.3364	0	0
mix_79	0.0574	0.4072	0.2753	0	0
mix_80	0.1992	0.3174	0.3802	0	0
mix_81	0.0634	0.4655	0.3913	0	0
mix_82	0.1819	0.2965	0.321	0	0
mix_83	0.1873	0.3412	0.2013	0	0
mix_84	0.1267	0.3822	0.37	0	0
mix_85	0.0822	0.3916	0.4172	0	0
mix_86	0.0	0.3697	0.6303	0	0
mix_87	0.0626	0.4925	0.2868	0	0
mix_88	0.1204	0.2871	0.5163	0	0
mix_89	0.0598	0.2975	0.6427	0	0
mix_90	0.0498	0.3828	0.3737	0	0
mix_91	0.1651	0.2755	0.2823	0	0
mix_92	0.1151	0.465	0.2347	0	0
mix_93	0.1317	0.4378	0.0302	0	0
mix_94	0.0595	0.2284	0.3972	0	0
mix_95	0.2516	0.219	0.2602	0	0
mix_96	0.2263	0.1787	0.3611	0	0
mix_97	0.1093	0.3336	0.3299	0	0
mix_98	0.1626	0.4196	0.2084	0	0
mix_99	0.0052	0.4176	0.5772	0	0
mix_100	0.1263	0.406	0.3043	0	0
