	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.076197509	0.32867342	0.206542916	0.0	0.074867948	0.31371821
B	0.085045313	0.32874614	0.190295078	0.0	0.054872747	0.34104072
C	0.017757044	0.05061222	0.093060782	2.79e-05	0.50728558	0.33125645
D	0.030535486	0.04666055	0.130240306	0.0	0.473142331	0.31942132
E	0.026411387	0.10536847	0.20211851	0.0	0.010489798	0.65561184
F	0.027421434	0.11918295	0.63104416	0.0	0.038892456	0.18345899
G	0.068812429	0.47316806	0.12237997	0.152	0.084937691	0.09851088
H	0.081865944	0.77595205	0.029326723	0.0	0.048769494	0.06408579
I	0.053880892	0.79960871	0.037896921	0.0	0.062995077	0.0456184
J	0.036006902	0.0	0.090236067	0.0	0.82460158	0.04915545
K	0.006176604	0.0	0.138123436	0.0	0.075331262	0.7803687
L	0.001901618	0.03237801	0.15222218	0.0	0.751029896	0.0624683
