	Neutrophils	Lymphocyte	Monocytes	Eosinophil	Basophil
S10835	0	26.27609	0	0	0
S10838	0	26.505252	0	0	0
S10844	0	26.297154	0	0	0
S10845	0	26.114322	0	0	0
S10846	0	27.09809	0	0	0
S10853	0	26.209588	0	0	0
S10854	0	26.488566	0	0	0
S10865	0	26.519956	0	0	0
S10866	0	26.752352	0	0	0
S10869	0	26.569868	0	0	0
S10873	0	26.285008	0	0	0
S10876	0	27.21602	0	0	0
S10883	0	26.35633	0	0	0
S10885	0	26.968476	0	0	0
S10893	0	26.437018	0	0	0
S10895	0	26.422158	0	0	0
S10902	0	26.39581	0	0	0
S10903	0	27.19062	0	0	0
S1092	0	26.15718	0	0	0
S10925	0	26.07055	0	0	0
S10927	0	26.978826	0	0	0
S10936	0	27.053546	0	0	0
S10945	0	27.10917	0	0	0
S10947	0	25.46573	0	0	0
S10949	0	26.918744	0	0	0
S1095	0	25.44796	0	0	0
S10961	0	26.268414	0	0	0
S10969	0	26.563754	0	0	0
S10972	0	26.298096	0	0	0
S10973	0	26.560616	0	0	0
S10978	0	26.640106	0	0	0
S10979	0	26.583384	0	0	0
S10986	0	26.18696	0	0	0
S10989	0	26.107794	0	0	0
S10995	0	26.909088	0	0	0
S11005	0	26.834494	0	0	0
S11008	0	26.2946	0	0	0
S11010	0	24.520844	0	0	0
S11013	0	26.457104	0	0	0
S11016	0	27.2436	0	0	0
S11017	0	26.77284	0	0	0
S11020	0	27.302212	0	0	0
S11027	0	26.935988	0	0	0
S11035	0	26.364176	0	0	0
S11041	0	25.877692	0	0	0
S1106	0	26.648782	0	0	0
S11071	0	27.676012	0	0	0
S11076	0	26.051808	0	0	0
S11078	0	26.590584	0	0	0
S11081	0	26.77857	0	0	0
S11086	0	26.330318	0	0	0
S1109	0	27.707576	0	0	0
S11096	0	27.009382	0	0	0
S11100	0	26.063736	0	0	0
S11107	0	26.61367	0	0	0
S11109	0	25.732048	0	0	0
S1111	0	26.964562	0	0	0
S11119	0	26.069002	0	0	0
S11127	0	27.481638	0	0	0
S11136	0	25.992138	0	0	0
S11147	0	26.363206	0	0	0
S11150	0	26.426662	0	0	0
S11152	0	25.898604	0	0	0
S1116	0	27.756496	0	0	0
S11163	0	26.370166	0	0	0
S11164	0	26.275174	0	0	0
S11166	0	24.701662	0	0	0
S11173	0	26.662986	0	0	0
S11174	0	26.261272	0	0	0
S11182	0	26.958058	0	0	0
S11188	0	26.44768	0	0	0
S11189	0	26.766878	0	0	0
S1119	0	26.749372	0	0	0
S11195	0	27.841662	0	0	0
S11197	0	25.36315	0	0	0
S11198	0	26.335654	0	0	0
S11211	0	26.718502	0	0	0
S11214	0	26.565326	0	0	0
S11216	0	27.114378	0	0	0
S11224	0	25.981758	0	0	0
S11236	0	26.802448	0	0	0
S11241	0	26.251062	0	0	0
S11243	0	26.087142	0	0	0
S11245	0	25.700264	0	0	0
S11249	0	25.643044	0	0	0
S11274	0	25.092392	0	0	0
S11280	0	26.938274	0	0	0
S11281	0	26.195976	0	0	0
S11285	0	25.592694	0	0	0
S11298	0	26.491504	0	0	0
S11311	0	26.357974	0	0	0
S11312	0	26.805634	0	0	0
S11316	0	26.715448	0	0	0
S1133	0	25.825936	0	0	0
