	B Cells	CD4 T Cells	CD8 T Cells	Monocytes	NK Cells
mix_1	408.0772	720.6681	346.0008	723.9234	363.5902
mix_2	399.3955	677.0069	309.5515	810.2952	319.8809
mix_3	490.0119	977.3294	589.7149	362.0663	395.8801
mix_4	477.4842	837.3859	456.8117	505.8184	373.1501
mix_5	468.904	847.5862	513.8129	473.9074	399.2974
mix_6	448.8812	783.9588	435.4476	604.2821	359.463
mix_7	507.8858	874.1046	476.8919	420.2817	393.2489
mix_8	469.2431	744.6808	331.9443	656.9118	314.4287
mix_9	424.5256	778.4462	416.343	618.5038	383.3299
mix_10	526.1352	844.5565	466.8377	470.0772	337.5408
mix_11	408.2954	697.9488	302.5178	773.4361	323.7716
mix_12	407.0919	748.8808	404.6355	703.7391	332.8137
mix_13	528.6961	837.3988	416.3257	421.5052	397.9706
mix_14	537.2981	845.1595	473.0687	443.3146	347.1391
mix_15	510.098	860.4042	504.127	341.1512	456.4092
mix_16	481.329	887.9145	512.0844	462.1829	370.7899
mix_17	616.9154	970.0755	586.8983	234.8144	383.9465
mix_18	407.3129	659.2317	281.2061	826.7637	304.2876
mix_19	464.7515	783.9356	416.8366	588.0155	350.5559
mix_20	502.2533	1023.3334	777.4108	253.1011	438.9113
mix_21	501.0646	880.294	548.5726	434.6744	361.0993
mix_22	479.2411	771.5387	389.7436	548.2181	387.2766
mix_23	491.0303	796.2519	381.826	567.6394	329.9522
mix_24	392.1698	642.7109	252.8154	875.0965	326.6666
mix_25	432.7439	839.5138	488.3614	609.5132	334.4044
mix_26	471.3145	1004.9654	657.9273	271.3192	502.8632
mix_27	463.4737	652.4302	230.3016	716.9226	352.3571
mix_28	511.5797	1021.0226	696.0998	254.7565	430.663
mix_29	449.1416	806.169	436.1676	581.3607	372.8493
mix_30	456.4745	807.5455	434.521	568.8748	361.693
mix_31	441.606	816.849	424.7107	604.8625	344.5499
mix_32	469.6688	855.7867	492.2533	497.026	373.9138
mix_33	452.1056	775.9453	367.7194	624.8259	352.8726
mix_34	402.5452	711.4408	334.1946	759.3914	342.5521
mix_35	433.6346	761.1897	431.4744	639.0992	357.3979
mix_36	513.3034	902.3648	454.8703	427.3657	368.4059
mix_37	506.9574	879.3521	460.8859	456.0663	356.0996
mix_38	475.9566	993.0128	619.2347	309.5761	454.8455
mix_39	525.7997	897.5798	525.7444	337.2694	431.7527
mix_40	458.3001	793.1828	370.3789	619.7428	341.8123
mix_41	416.4841	725.4084	376.9335	704.9268	358.0302
mix_42	549.6887	968.9029	610.1296	264.7753	411.1101
mix_43	433.8808	866.2305	558.2994	475.7001	429.7154
mix_44	447.302	912.0262	533.7268	442.3989	412.8644
mix_45	429.9539	877.2934	518.885	580.524	338.8352
mix_46	488.5639	926.2828	651.7011	355.5548	418.3959
mix_47	462.6019	792.2082	399.237	616.1011	337.3155
mix_48	456.2299	632.6032	204.7878	741.2191	352.0657
mix_49	462.3082	720.9651	338.6185	635.3859	363.3975
mix_50	519.6997	967.9829	600.9832	350.9348	369.6549
mix_51	456.9498	684.0347	258.0205	689.6988	363.4614
mix_52	550.777	938.382	509.5975	291.2775	432.3319
mix_53	460.3405	715.158	307.6639	646.956	357.5248
mix_54	549.5541	946.4996	669.5219	285.9516	384.0329
mix_55	458.4247	731.8044	331.4424	645.6549	352.0646
mix_56	467.9005	907.3002	544.1903	486.0583	345.1411
mix_57	410.7326	788.6664	415.1635	652.9732	367.1092
mix_58	473.0933	869.7251	503.4283	451.6898	400.9826
mix_59	412.53	741.1867	418.2096	689.6877	357.0216
mix_60	503.6373	817.9645	449.4893	519.0646	332.4539
mix_61	530.793	1058.1708	650.0982	257.8263	396.7152
mix_62	504.7977	977.1088	572.6237	313.2256	427.3053
mix_63	415.5556	770.0871	407.3726	675.436	350.2632
mix_64	464.8646	775.9662	366.0348	641.4582	321.0802
mix_65	456.3755	820.1374	437.677	496.3132	439.5775
mix_66	456.0212	684.2523	269.6074	694.5933	360.3683
mix_67	532.743	931.1901	555.8035	287.9235	434.9251
mix_68	460.0644	925.4651	637.7399	362.7625	446.5328
mix_69	457.5104	761.1483	362.9576	651.3905	323.3494
mix_70	506.9162	707.5415	245.5794	555.2489	434.1855
mix_71	472.0624	669.309	250.0009	738.4914	302.97
mix_72	569.341	914.2191	441.9567	359.4178	361.953
mix_73	508.3188	789.0959	379.4719	470.4969	423.2632
mix_74	485.8502	818.0321	391.845	530.6279	364.4662
mix_75	450.8201	683.1798	253.9864	722.401	339.6693
mix_76	451.8147	899.7739	569.5833	443.667	419.9303
mix_77	489.0022	1024.1837	722.7957	281.4688	431.6156
mix_78	447.2926	731.4859	359.2095	649.7298	353.1407
mix_79	415.5265	744.4051	382.5547	709.7754	332.212
mix_80	506.7186	871.2213	512.6922	466.786	341.9739
mix_81	475.9711	928.9646	566.3732	455.1306	352.8448
mix_82	473.1424	773.7217	406.5627	604.297	337.2677
mix_83	443.2213	703.8297	293.4019	720.9879	343.7613
mix_84	479.8629	874.2657	508.5427	499.5054	348.6395
mix_85	468.2041	893.5754	548.8916	486.389	352.5011
mix_86	463.977	983.2925	626.5452	369.6296	419.9709
mix_87	446.814	856.9341	488.5338	568.3446	333.8942
mix_88	485.1143	896.6378	526.3993	427.8888	394.4077
mix_89	498.7509	979.9573	660.2272	323.7102	410.4381
mix_90	438.6316	824.7041	471.1627	616.7621	338.2927
mix_91	437.5536	703.3275	296.3176	694.83	362.469
mix_92	453.7108	817.7909	429.4048	599.226	336.7732
mix_93	390.3154	638.1601	239.6287	895.7424	304.1422
mix_94	400.854	692.3893	333.425	751.4623	362.6946
mix_95	456.7812	680.3452	264.1603	669.9952	370.2668
mix_96	447.4422	698.3273	287.7706	634.1653	400.7603
mix_97	441.7981	765.3266	403.6947	650.6923	338.4911
mix_98	460.4391	777.5754	379.6686	630.9299	333.6238
