	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	1.29524404223e-09	3.23110677917e-78	4.98417328194e-50	1.19751008055e-111	1.45476077079e-08	2.48007504264e-34
B	1.45883450065e-09	3.42133815959e-78	5.10535890111e-50	1.2857508679e-111	1.52677987034e-08	2.67864907437e-34
C	9.78220186385e-10	1.15682324277e-78	3.56291346497e-50	7.46559304707e-112	2.11807552033e-08	2.91946942433e-34
D	9.60311570664e-10	1.15231211879e-78	3.44874063462e-50	7.0614999956e-112	2.01059270407e-08	2.67957583448e-34
E	1.07181737788e-09	1.74434239423e-78	5.92904055119e-50	9.65102713276e-112	1.89321522318e-08	4.35160800516e-34
F	1.17821009912e-09	2.32832978262e-78	1.13967019826e-49	1.25518588839e-111	1.27485828297e-08	2.39405319033e-34
G	1.48756625048e-09	4.58845372909e-78	3.51342782582e-50	2.36219348364e-111	1.31162395132e-08	1.75270827287e-34
H	1.1361158031e-09	5.13265980042e-78	1.86053362697e-50	1.45136953949e-111	9.61495883971e-09	1.29994916801e-34
I	1.26765806306e-09	5.63638193512e-78	2.13688120031e-50	1.62756994926e-111	1.05417818032e-08	1.45046277923e-34
J	1.02848398119e-09	8.00759287698e-79	2.48022352264e-50	6.39759173812e-112	2.49553273653e-08	2.34078053276e-34
K	8.97787494286e-10	6.77346826763e-79	4.09421901195e-50	5.87024483122e-112	1.81225610539e-08	3.97411284789e-34
L	8.44871563814e-10	1.01713858262e-78	2.37694636413e-50	6.58587804605e-112	2.36994761775e-08	2.2098075094e-34
