	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0217	0.0325	0.1503	0.1571	0.061	0.0002
B	0.0267	0.0383	0.1482	0.1557	0.0598	0.0004
C	0.0145	0.0087	0.1526	0.1403	0.1013	0.0002
D	0.016	0.0129	0.1576	0.1368	0.0978	0.0002
E	0.0189	0.0208	0.1635	0.1451	0.0575	0.0156
F	0.0224	0.0224	0.1856	0.1552	0.0468	0.0001
G	0.0275	0.0249	0.1235	0.1994	0.051	0.0
H	0.0227	0.0468	0.1258	0.1609	0.0469	0.0
I	0.0232	0.0476	0.1272	0.1574	0.0504	0.0
J	0.0181	0.0005	0.136	0.1167	0.124	0.0
K	0.0215	0.0	0.1786	0.1153	0.0865	0.0086
L	0.0094	0.0023	0.1266	0.1437	0.1232	0.0
