	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	8.70045286718e-30	0	0	0	1.98783626938e-23	2.64294740904e-228
B	6.53003396892e-30	0	0	0	1.39203832598e-23	2.04459398891e-228
C	4.74066844461e-30	0	0	0	4.24627831237e-23	4.18839166524e-228
D	6.74783094526e-30	0	0	0	5.07543777632e-23	5.27125950396e-228
E	6.1831483207e-30	0	0	0	3.21640716537e-23	7.05216143668e-228
F	4.05609233962e-30	0	0	0	2.94471299082e-24	1.05859277872e-228
G	5.43491383616e-30	0	0	0	6.50384869003e-24	7.61534367446e-229
H	4.11651598977e-30	0	0	0	4.6830886902e-24	6.12230879356e-229
I	2.7528458572e-30	0	0	0	3.20863650397e-24	4.25229733705e-229
J	7.78082876363e-30	0	0	0	6.00423781542e-23	2.63532528968e-228
K	8.50566379233e-30	0	0	0	4.25315155936e-23	9.6355119688e-228
L	2.03743941934e-30	0	0	0	3.87679808987e-23	2.25503170533e-228
