	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.2714	0	0	0	0.1074	0.3005
B	0.2586	0	0	0	0.1419	0.2854
C	0.1584	0	0	0	0.3964	0.2805
D	0.1502	0	0	0	0.3875	0.2618
E	0.1646	0	0	0	0.1875	0.4124
F	0.1624	0	0	0	0.1689	0.4641
G	0.2526	0	0	0	0.1385	0.1197
H	0.1933	0	0	0	0.1383	0.0869
I	0.1812	0	0	0	0.1076	0.1648
J	0.1787	0	0	0	0.4636	0.1992
K	0.1513	0	0	0	0.3232	0.37
L	0.1481	0	0	0	0.3957	0.2752
