	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	5.16095010187	13.1730179157	6.78473524516	6.47670744103	7.15461212698	5.81016
B	5.06639037598	13.0821254252	6.83613255009	6.55938	7.14658	5.88798
C	5.12270257883	12.6672443985	6.84430111928	6.51218	7.4186396703	5.949216509
D	5.10088	12.7102061544	6.81884	6.44663127737	7.49298	5.98298
E	5.16568	12.8177777597	6.98026	6.43344	7.21468690549	5.90006058035
F	5.03367418019	12.9514387032	7.07518	6.46903206738	7.19126214177	5.87567453546
G	5.1501	13.4589618438	6.62492	6.72402404895	7.1238	5.60416789331
H	5.19398	13.5881961679	6.62609521261	6.61497440443	6.86	5.71032
I	5.04054358357	13.6752174398	6.62049212698	6.62718	6.8008	5.70719454096
J	5.13366	12.5565317668	6.87824	6.49900783287	7.40296235016	5.92572
K	5.12678518049	12.5449798305	6.89196	6.23047523924	7.41309973413	6.04374314143
L	5.17603130823	12.5703270794	6.70854485079	6.4825717605	7.39934	5.8631800968
