	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.118286285329	0	0	0	0.0	0.187364584033
B	0.119367010297	0	0	0	0.0	0.187289031014
C	0.137403856118	0	0	0	0.0	0.213921853809
D	0.135515205072	0	0	0	0.0	0.214167835748
E	0.124324885519	0	0	0	0.0	0.213715899156
F	0.107717515244	0	0	0	0.0	0.21171216001
G	0.101261475479	0	0	0	0.0	0.170658498146
H	0.0975933226305	0	0	0	0.0	0.161911779611
I	0.0984579810693	0	0	0	0.0	0.160754751883
J	0.146888751368	0	0	0	0.0	0.216250758278
K	0.140767803288	0	0	0	0.0	0.226430298001
L	0.129223687455	0	0	0	0.0	0.212277296288
