	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0605	0.0083	0.0356	0.1762	0.055	0.0515
B	0.061	0.0082	0.035	0.1762	0.0543	0.0511
C	0.0563	0.0067	0.032	0.1533	0.0723	0.058
D	0.0562	0.0068	0.0331	0.152	0.0727	0.0577
E	0.0548	0.0073	0.0341	0.1637	0.0564	0.0695
F	0.0563	0.0076	0.0496	0.1716	0.0522	0.0511
G	0.0593	0.0082	0.0338	0.2023	0.0513	0.038
H	0.0596	0.0108	0.0273	0.1824	0.0515	0.0435
I	0.0595	0.0109	0.0283	0.1819	0.0532	0.0411
J	0.0601	0.0049	0.0339	0.1317	0.09	0.0436
K	0.0577	0.0043	0.0316	0.1357	0.0613	0.0819
L	0.0525	0.0069	0.0339	0.1395	0.0869	0.0439
