	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.086478606	0.30051311	0.1959639	0.0	0.12582294	0.14701848
B	0.076934899	0.278752664	0.216682	0.003114683	0.17615797	0.13214076
C	0.005147588	0.036908828	0.2004064	0.000461541	0.59929446	0.0953936
D	0.008064987	0.037165554	0.2123395	0.0	0.57159797	0.10026624
E	0.016739385	0.09600248	0.2776053	0.0	0.13552323	0.35570866
F	0.013728073	0.1237117	0.5928728	0.007087002	0.07009553	0.05135224
G	0.091324171	0.428402922	0.0	0.120974274	0.04394857	0.06820948
H	0.059939057	0.644973764	0.0	0.0	0.06535919	0.06596043
I	0.070559454	0.639634812	0.0	0.0	0.0626195	0.06608737
J	0.015774381	0.01058265	0.1138615	0.0	0.75942468	0.0
K	0.006336422	0.02883187	0.1755289	0.007499827	0.25161253	0.46039059
L	0.021720756	0.02575361	0.1094992	0.011580134	0.72069899	0.0
