	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.182172623873	0	0	0	0.480133417164	0.227086320749
B	0.198328299062	0	0	0	0.540152542656	0.162703984495
C	0.0461666862361	0	0	0	0.859498556004	0.0875507708005
D	0.0454736498099	0	0	0	0.859758156682	0.0809050491357
E	0.0587305055713	0	0	0	0.667444958312	0.250770263935
F	0.0387765482063	0	0	0	0.529652107472	0.369554304991
G	0.159745123449	0	0	0	0.559532626906	0.0352050694668
H	0.136411485505	0	0	0	0.502858344606	0.0
I	0.134043895925	0	0	0	0.544510147809	0.0
J	0.0286411000911	0	0	0	0.948045953955	0.01582993242
K	0.0428986085131	0	0	0	0.743984753589	0.202612856201
L	0.00909865234389	0	0	0	0.940287419596	0.0342830818626
