	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.04	0.0072	0.0412	0.1249	0.0155	0.0423
B	0.0398	0.0069	0.0409	0.1285	0.0221	0.0369
C	0.0347	0.0053	0.0394	0.1049	0.0293	0.0434
D	0.0356	0.0051	0.0373	0.1036	0.0212	0.0518
E	0.0347	0.0061	0.0418	0.1151	0.0174	0.0556
F	0.0361	0.0062	0.0566	0.1228	0.015	0.0409
G	0.0402	0.0067	0.0391	0.1535	0.0184	0.0274
H	0.0394	0.0092	0.0334	0.1283	0.0162	0.0299
I	0.0397	0.009	0.0336	0.1295	0.021	0.0284
J	0.0371	0.0026	0.0403	0.0848	0.0427	0.0325
K	0.0365	0.0026	0.0414	0.0891	0.0196	0.0656
L	0.0311	0.005	0.0407	0.0875	0.0373	0.0337
