	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.0351	0.0272	0.0036	0.1453	0.1167	0.1137
B	0.0358	0.0272	0.0038	0.1459	0.1176	0.1121
C	0.0297	0.022	0.0032	0.1232	0.1417	0.1088
D	0.03	0.022	0.0033	0.1249	0.1419	0.1067
E	0.0302	0.0237	0.0025	0.1341	0.1139	0.135
F	0.0315	0.0254	0.006	0.1401	0.1058	0.0935
G	0.0349	0.0273	0.0037	0.1791	0.1102	0.0937
H	0.0336	0.0301	0.0028	0.1369	0.1085	0.0932
I	0.0333	0.0301	0.0028	0.1377	0.1106	0.0939
J	0.03	0.018	0.0041	0.1135	0.1638	0.0781
K	0.0286	0.0163	0.0017	0.1133	0.114	0.1407
L	0.0274	0.0217	0.0042	0.1148	0.1625	0.0802
