	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.032565312	0.489133245	0.14523819	0.01613436	0.31692889	0.0
B	0.042676693	0.468457508	0.15061904	0.0123954	0.32585136	0.0
C	0.0	0.127221443	0.06715131	0.0	0.67377157	0.1318557
D	0.001353719	0.133640523	0.06386564	0.0	0.65770235	0.1434378
E	0.0	0.21478533	0.15429977	0.0	0.47503688	0.155878
F	0.008646878	0.333885151	0.36739116	0.01773331	0.27234351	0.0
G	0.009721197	0.623888412	0.09809955	0.13544205	0.1328488	0.0
H	0.0	0.839323031	0.07482551	0.0	0.08585145	0.0
I	0.0	0.836883631	0.07103348	0.0	0.0920829	0.0
J	0.011383284	0.058070999	0.06973494	0.0	0.71220636	0.1486044
K	0.0	0.048741693	0.15026124	0.0	0.52754024	0.2734568
L	0.0	0.141582049	0.08155061	0.0	0.63368891	0.1431784
