	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	4.93195460338e-15	2.67310861389e-122	3.46364209377e-43	1.28172848907e-128	1.0	9.36517238056e-16
B	5.01168983229e-15	2.6317845041e-122	3.50732841542e-43	1.29111933625e-128	1.0	9.27819301582e-16
C	2.89213841643e-15	8.26650840629e-123	2.21080093143e-43	6.77648289731e-129	1.0	8.59898258371e-16
D	2.8101929687e-15	8.16775337876e-123	2.20185492934e-43	6.64973701766e-129	1.0	8.25363125162e-16
E	3.36581036818e-15	1.27548227854e-122	3.36607522797e-43	8.85612433569e-129	1.0	1.09299275301e-15
F	4.1456686201e-15	1.94720595173e-122	6.19240990299e-43	1.27603360691e-128	1.0	1.0139325999e-15
G	5.67308042388e-15	3.9795725303e-122	3.34670092621e-43	2.536962915e-128	1.0	8.40517930002e-16
H	5.68337676881e-15	5.55884261362e-122	2.75397778128e-43	1.942316012e-128	1.0	7.85614660083e-16
I	5.58720189678e-15	5.63454692155e-122	2.80107777882e-43	1.95082302542e-128	1.0	7.67282718462e-16
J	2.56725211869e-15	5.11430032162e-123	1.69166291259e-43	5.31339677617e-129	1.0	7.13672081036e-16
K	3.06572417584e-15	5.79888835153e-123	2.65885028831e-43	6.22157207679e-129	1.0	1.08735132905e-15
L	2.25314114037e-15	6.32836459423e-123	1.62732585136e-43	5.456553492e-129	1.0	6.92135052317e-16
