	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
average.A	58.8384021807	0	0	0	3.55141416468	10.2529079688
average.B	72.520240422	0	0	0	5.79129810554	10.9898410523
average.C	10.2640053116	0	0	0	112.36152167	45.1343975793
average.D	11.470283902	0	0	0	114.999158127	45.8803484264
average.E	0.0	0	0	0	67.1599101933	49.0410665126
average.F	0.0	0	0	0	4.3053627211	24.0290408592
average.G	41.1010075921	0	0	0	0.0	0.0
average.H	27.7793509071	0	0	0	0.0	0.0
average.I	23.7530548676	0	0	0	0.0	0.0
average.J	68.0931948795	0	0	0	146.57637716	43.9023229542
average.K	16.6748455861	0	0	0	112.413976279	65.5830532643
average.L	0.0	0	0	0	108.366191957	34.463101873
stdev.A	0.0402574877834	0	0	0	0.00551816532459	0.0113249596914
stdev.B	0.0579577369239	0	0	0	0.0144847233078	0.0163876139123
stdev.C	0.0290688715823	0	0	0	0.0470223459683	0.0213479887905
stdev.D	0.0623723833328	0	0	0	0.0166784175195	0.00522482895465
stdev.E	0.0	0	0	0	0.0249987033927	0.0124902755446
stdev.F	0.0	0	0	0	0.011749714612	0.00688998578659
stdev.G	0.0257288220198	0	0	0	0.0	0.0
stdev.H	0.0393045595699	0	0	0	0.0	0.0
stdev.I	0.0767277005907	0	0	0	0.0	0.0
stdev.J	0.0210175876434	0	0	0	0.0259855527267	0.00757048299951
stdev.K	0.0285493640633	0	0	0	0.0393025897613	0.0149621072898
stdev.L	0.0	0	0	0	0.0158376420931	0.00219003161224
