	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	0.068247127	0.31879095	0.184633161	0.02009728	0.090465414	0.28094794
B	0.087969477	0.30875169	0.213588254	0.0	0.049664396	0.26181899
C	0.017488567	0.05381953	0.085667301	0.0	0.44290715	0.27651621
D	0.020912779	0.05919226	0.080362095	0.0	0.411857257	0.31747098
E	0.010642377	0.09393837	0.170959962	0.01014757	0.099183238	0.52692509
F	0.023491999	0.13769205	0.580410336	0.0	0.023881889	0.17778025
G	0.083416673	0.42351462	0.12279984	0.15967747	0.064334322	0.08994331
H	0.054470388	0.74900947	0.032122249	0.0	0.057710767	0.06709725
I	0.048838819	0.73981121	0.03719057	0.0	0.06066604	0.05589208
J	0.023499488	0.0	0.069040133	0.0	0.750001482	0.03265521
K	0.007338611	0.0	0.13576635	0.0	0.077726471	0.75587141
L	0.00082812	0.04477297	0.18846095	0.0	0.621617069	0.02402137
