	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	0.1763	0.2869	0.1959	0.0536	0.2137	0.0736	0
B	0.157	0.2964	0.191	0.0644	0.2005	0.0909	0
C	0.0671	0.0809	0.1574	0.0369	0.6429	0.0148	0
D	0.0542	0.0724	0.152	0.055	0.6664	0.0	0
E	0.0767	0.1239	0.2308	0.045	0.1348	0.3887	0
F	0.0806	0.1455	0.6122	0.0409	0.0496	0.0712	0
G	0.1407	0.3273	0.1344	0.207	0.1596	0.0311	0
H	0.1215	0.5783	0.0819	0.0522	0.0997	0.0663	0
I	0.0865	0.5733	0.0947	0.0901	0.1168	0.0386	0
J	0.0808	0.069	0.0695	0.0404	0.6815	0.0588	0
K	0.0752	0.0827	0.1172	0.028	0.0499	0.647	0
L	0.0635	0.0658	0.1484	0.0713	0.651	0.0	0
