	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	1.29745894533e-08	0	0	0	0.0108028550598	2.02360494885e-08	0.84180521076
B	3.08347804595e-08	0	0	0	0.0110890625157	3.50863796078e-09	0.841648299322
C	2.81093972689e-09	0	0	0	0.0174721526202	1.89479420103e-07	0.841895945042
D	3.02023955566e-08	0	0	0	0.017565521472	9.71025524702e-10	0.842061195674
E	6.81054579236e-07	0	0	0	0.015665034687	7.39784414933e-09	0.842174042847
F	1.2192073391e-09	0	0	0	0.0103476636829	7.12610198102e-09	0.843221903496
G	3.76019146084e-09	0	0	0	0.00715417866674	1.66668812496e-06	0.842760208163
H	6.37958071288e-09	0	0	0	0.00445551218487	1.94091844726e-08	0.840892599336
I	2.1201710541e-08	0	0	0	0.00510790083099	7.71898253522e-09	0.840928166668
J	3.71336334723e-10	0	0	0	0.0184066676713	3.97217088872e-08	0.842021024523
K	1.64260280646e-08	0	0	0	0.0174576067646	3.94277714829e-08	0.84225879384
L	6.0759218953e-11	0	0	0	0.0162132382756	4.02846019451e-08	0.841543194388
