	B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells	Other
A	7.55325	7.86685714286	8.33422222222	6.9931938879	0	7.916	23.7982355365
B	7.539	7.84028571429	8.33955555556	7.03428571429	0	7.864	23.9789
C	6.297	6.36485714286	7.46811111111	5.99157142857	0	7.597	22.9593679224
D	6.274375	6.33671428571	7.46988888889	5.88835714286	0	7.399	23.2848142857
E	6.469625	6.91377785527	8.32866666667	6.39892857143	0	9.501	24.0913305692
F	6.459625	7.23085714286	9.69711111111	6.52692857143	0	5.837	22.7743805478
G	7.619625	8.20471428571	7.26533333333	8.412	0	6.575	22.4496857143
H	6.868	8.63028571429	6.188	6.77585714286	0	6.27	21.6435714286
I	7.085875	8.55728571429	6.15711111111	6.7175	0	6.357	21.4902508439
J	6.121375	5.08071428571	5.99344444444	5.63114285714	0	5.11	22.0292118184
K	6.313875	5.47528571429	7.47244444444	5.56664285714	0	9.739	23.4442486885
L	5.28525	5.59285714286	5.93366666667	5.59255295853	0	5.252	21.7796571429
