CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell	otherCells
S10001	5.76986277909661e-06	0.076853447767035	0.000102454980981625	1.32374408958079e-08	0.000206941098130389	4.776316040622e-08	7.62259969702341e-10	4.6674929902025e-07	0.922830857778914
S10006	2.52574048838572e-07	0.0768200683388772	0.000118187845353522	0.000998232207604516	2.78486247209682e-06	2.40267379633937e-08	9.14727017715474e-11	5.85452552315489e-06	0.92205459552791
S1001	4.38277710058675e-07	0.0775251348997232	1.50797601023988e-08	1.32061614378484e-05	0.000278118385028932	5.06848357638464e-09	3.68321106139343e-09	6.79676363820698e-05	0.922115110808263
S10010	5.40640796621694e-07	0.0767345242936306	3.82522445373655e-09	0.000144482899627171	0.000409008621973345	8.0160712423695e-11	8.17734495195286e-07	4.63799536287987e-05	0.922664241950463
S10011	3.83651097061151e-06	0.078180375537949	2.42641468861264e-05	1.23697492377176e-06	8.72923507876914e-06	2.94307684226664e-09	3.38927255246009e-09	6.10423918457636e-06	0.921775447022658
S10014	1.17109666546313e-07	0.0766287593623827	1.20506797454111e-05	0.000524768859496758	3.44982505934419e-05	1.71355898177202e-08	5.53423228058199e-08	7.83000527766804e-05	0.922721433207426
S10026	1.18984225238967e-05	0.0763319519270939	0.000740474507203383	4.88936785377999e-08	0.000582350164956279	2.46521408732692e-05	1.06805600586794e-09	3.57351829930903e-07	0.922308265523785
S10032	0.000159665597067149	0.0777420325146649	4.17014669326759e-05	2.44353660789939e-06	3.11169354127463e-05	2.16767650822737e-09	6.32264510458063e-07	4.57446455250828e-08	0.922022359772482
S10036	5.18293466675691e-08	0.0765828865625991	1.19952374976937e-07	0.000395623076151506	5.93582825556929e-05	2.04938041449115e-09	2.85615559612548e-06	8.74183106962942e-08	0.922959014673685
S10042	2.19113461184735e-06	0.0772865271830331	0.000125642725588858	0.000101708816431928	0.000236450968288002	5.32648839624371e-05	3.04685807074141e-10	7.71175677194213e-06	0.922186502226626
S10044	0.000368968800008089	0.0772909800033546	4.85042903516335e-05	4.6101225496844e-05	0.000102708224388119	1.20385355448558e-07	2.66587515357361e-08	5.93271344262669e-06	0.922136657698851
S10049	0.00053153798128303	0.0766744950666674	9.90507574229544e-06	3.15873831587908e-07	0.000152714580598327	2.31673839264491e-09	5.62535862703731e-09	1.08467356934683e-06	0.922629938806211
S10057	3.48930033379337e-06	0.0764595375526658	8.68063671212434e-08	0.000633693588477435	9.75279629675082e-06	8.4137611518279e-06	7.49288257436598e-09	3.79933872107253e-07	0.922884638767952
S10062	2.63167114942851e-05	0.0777316643929392	7.81594908740579e-05	6.24476583965922e-09	7.3318375858553e-06	8.84249628939208e-08	1.12314177950244e-08	6.8294664141813e-06	0.922149592199546
S10066	5.31439866142188e-09	0.0774464601082714	2.02461784139187e-07	9.93299562558601e-05	0.00012959248141501	8.17035102884034e-07	9.96081030288248e-09	9.23235897106262e-05	0.922231259092251
S10067	1.14405522489712e-06	0.0774206675488711	1.13131726058922e-05	0.000234934136693706	3.51922593323007e-06	2.37561317902606e-08	6.15970901822558e-07	8.09898504042191e-07	0.922326972235133
S1007	3.23347583584299e-07	0.0776757598275367	6.09895614275018e-05	1.15394614719565e-06	4.12871155154288e-06	5.50368107330251e-09	3.43441550888023e-10	9.85431364173832e-07	0.922256653327267
S10073	2.33117220671608e-07	0.0768477868364574	0.00129580654765163	1.99791118797455e-06	5.98482407189331e-05	1.38298414478075e-07	6.29369175320678e-10	2.64253289973337e-06	0.92179154588608
S10077	2.3340453006142e-06	0.075836692604379	2.72491282870101e-06	0.00139152469893457	6.74522383509198e-06	2.63785262278191e-09	5.94938077958322e-10	2.74963914118066e-06	0.92275722564279
S10080	5.56225629443633e-06	0.0782259457255756	5.81892316211172e-07	6.20292960381927e-05	1.46301007089002e-07	2.07927842084968e-05	1.59543882075561e-06	5.42534813482184e-08	0.921683292052258
S10082	1.25933356564459e-06	0.078055114626539	6.28426216172136e-08	6.88578992278654e-06	0.00027680846010488	3.68676960533342e-07	3.23408799395807e-07	7.43328595523445e-07	0.921658433532891
S10087	2.94613062030514e-05	0.0773869560267837	7.47908006446654e-05	2.8108327190837e-07	0.000165674355196565	3.60815049275517e-09	3.5195048222061e-07	1.12083493977616e-07	0.922342368785773
S10089	5.56322625735633e-08	0.0772409313885554	3.11539102931665e-07	0.000383877248831815	2.48935679868559e-05	1.02539269002515e-07	1.07933440079199e-06	1.57985652114535e-08	0.922348732951025
S1009	5.53351519423468e-07	0.0777298004199146	0.00024966410117813	1.78611093850523e-07	0.000436847062403403	2.32654588561626e-06	2.43317814443373e-10	1.93832367542779e-06	0.921578691341012
S10090	6.92266717552196e-06	0.0757777095951547	5.06902888659868e-05	0.00116861688877032	3.79642867095339e-05	7.36965709543666e-07	1.83833201896806e-06	3.41431448881392e-07	0.922955179544146
S10093	2.7163602178856e-07	0.0765077136979106	0.00110585645260312	4.32588964738175e-07	0.000134685816314783	2.81196008771263e-08	1.44975335910187e-10	3.90468999871362e-07	0.922250621074609
S10094	4.19985605545218e-08	0.0775393483728583	4.21087538807777e-06	3.17312316107446e-08	8.02506162955591e-06	3.57264383774901e-05	1.34015969806908e-09	1.27298926482733e-06	0.92241134119253
S1010	1.71085030772011e-05	0.0772170077511908	2.09041522578668e-05	0.0003272794877231	5.25536544892089e-05	1.37457703487243e-05	6.72950851553647e-08	1.63902372061151e-06	0.922349694362107
S10111	6.47320533618099e-07	0.0756903683938621	0.000287165401478724	0.000126408638783349	0.0013317474521561	1.66833163984918e-05	1.3303289110634e-09	0.000220594964557821	0.922326383181901
S10116	1.06646629951968e-07	0.0771061728121189	0.000376499104967028	0.000573718651723456	0.000137106854311598	1.10179034639111e-06	4.20005887084341e-07	4.60467392133021e-07	0.921804413666623
S10119	2.83434233558554e-06	0.0782526505945276	3.86152142302239e-05	3.05434930359539e-06	1.02422286993483e-05	2.01227048872319e-09	1.3710283561006e-07	4.50989186717795e-09	0.921692459645906
S10121	8.95373252881921e-09	0.0752709203141619	0.00173743975135234	5.46873084870787e-06	0.000214816766613591	6.15163049862295e-05	2.35453918951678e-10	2.59002416251725e-06	0.922707238918688
S10130	2.95474502242372e-07	0.0757701435311194	0.000213087044311184	0.000944106742998276	0.000225834633685992	4.18404058833308e-09	2.49875687145774e-09	1.06429140142188e-07	0.922846419461445
