naive_B_cell	memory_B_cell	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	macrophage_m0	macrophage_m1	macrophage_m2	MAST_cell	otherCells
S10409	0.0184448137142545	0.0578556612032214	0.23932695279967	0.0285332807877738	0.0328584889416662	0.0262992458603255	6.55178496887208e-10	0.172671357083608	0.424010198954302
S10418	0.014950404093915	0.0642868761331552	0.201326693642869	0.0279101237720142	0.0379609940302677	0.0294586135001866	9.24254914697683e-09	0.185668701443241	0.438437584141801
S10431	0.00882765957063736	0.063744222096398	0.234464834784399	0.0252102017719473	0.0361767524858439	0.0257899689138378	1.66882835640698e-08	0.173045475020814	0.432740868667839
S10438	0.0181966823554733	0.0551182593509699	0.229729424255278	0.0278531666091702	0.0368233729288962	0.027315206973318	1.47668843006111e-09	0.175381326250855	0.429582559799351
S10439	0.0215318539322703	0.0482982770237706	0.23007241279813	0.0287706945920256	0.0360923594715533	0.0278593522121958	6.47156725743766e-09	0.1731928696186	0.434182173879888
S10441	0.0186974932343201	0.0528551861144847	0.224615869780375	0.0285812657530857	0.0355007708298181	0.0312245047745055	3.07162489078086e-09	0.172101042419223	0.436423864022564
S10442	0.0244335237586677	0.0495454676788699	0.232091402954038	0.0267457804539812	0.0357829429995764	0.0284844661847523	4.26714466661846e-09	0.171846604853041	0.431069806849929
S1046	0.0250066398422336	0.0494634652073988	0.223748677314593	0.02682681695714	0.0365947538670565	0.0295188008893787	1.6109122966243e-08	0.172039362670743	0.436801467142334
S10478	0.0253854333129567	0.0525239315911013	0.206507257602114	0.0244807221075828	0.0363798136869277	0.0330667897811395	1.32765049524138e-07	0.175946495325714	0.445709423827415
S10480	0.0201284054114888	0.0628551456939248	0.227252923569922	0.0310082363002701	0.0399293132645726	0.0227127572505445	7.72391644559235e-10	0.178200163952488	0.417913053784398
S10484	0.0195509296501658	0.0571328878693513	0.219884120757216	0.0292488444421572	0.0362827140938972	0.0316113222318458	6.74648314982825e-09	0.173150914976533	0.43313825923235
S10492	0.025415113697951	0.0473061134758493	0.240944482022853	0.0294645498730633	0.0333078530863149	0.0268054346931674	1.70340242948422e-10	0.169370394263399	0.427386058717062
S10496	0.0207235021740049	0.0624710396311742	0.235156148532415	0.0262568342523048	0.0363209051859013	0.0231928910099056	2.65976074438031e-09	0.172495672372705	0.423383004181828
S10510	0.00988273583195451	0.0679266169748917	0.230572496964728	0.0270455111772395	0.0333005555480131	0.0292673182160606	2.3664079177223e-09	0.171091284970938	0.430913477949766
S10513	0.0075286190553154	0.06400318535544	0.23395524958907	0.026762904365125	0.0332120852193423	0.0313840399773553	1.97574420653629e-08	0.168703598940862	0.434450297740048
S10516	0.0256904614850768	0.0513389962171618	0.225374225086852	0.0271750871991979	0.0363176253419341	0.0276655696275268	1.44657344869903e-09	0.177728986292828	0.428709047302849
S10534	0.0183006969535987	0.0582948638100986	0.23585139519117	0.0276287106536355	0.0361286266273908	0.0246039206171619	1.42456189921887e-08	0.1751846662118	0.424007105689526
S10535	0.021278821902383	0.0524234130688011	0.240227176327922	0.0269020515108881	0.0359656026293181	0.02514726826346	3.09549674581882e-09	0.173080838963619	0.424974824238111
S10537	0.0281056854137081	0.0486045440194625	0.227188554355088	0.026749711912543	0.0343252852588833	0.030510525495422	6.57075796199633e-10	0.169715083072942	0.434800609814876
S1054	0.00759667733561264	0.0704040048005337	0.225212300357917	0.0321004505982176	0.0384637954186833	0.0237706621756257	3.54355272290278e-09	0.176401045040542	0.426051060729315
S10543	0.0177182467657279	0.0609625716421858	0.225163121062353	0.0300370390101787	0.0345725958860562	0.0274589134735149	5.6269929258511e-09	0.178397217901431	0.42569028863156
S10546	0.0195684739355051	0.0569307192910582	0.226424901188048	0.0253271361670022	0.0340195128576	0.0290926058747062	6.05210619667569e-09	0.179506950298598	0.429129694335376
S1055	0.0176514989658014	0.0528437933436055	0.216366572386585	0.029693646901994	0.036397173580175	0.0305137193445825	5.56161490998683e-08	0.177019144127182	0.439514395733925
S10551	0.02451773310131	0.0532864538555721	0.224543875752752	0.0302656578288114	0.0362259181200728	0.0279665763207612	4.32459783608817e-09	0.174526978539649	0.428666802156474
S10552	0.0183732744657065	0.0582793425330962	0.210746217879202	0.0266865797652902	0.0357873745556648	0.0314223287106735	4.14417084895656e-08	0.180307918679964	0.438396921968695
S10555	0.0209614707442126	0.0562580276566251	0.235547685816908	0.0365487951393108	0.0338809025823819	0.0253008624750098	1.79582953078187e-09	0.170078827605064	0.421423426184659
S10559	0.0146427148737011	0.0587734636718218	0.233017321842744	0.0257519626793047	0.0374202273566852	0.0269346650838456	1.71716564707227e-07	0.173824540318198	0.429634932457135
S1056	0.0260653048780606	0.0545155914178424	0.235990623540959	0.0283201352427015	0.0333566174984728	0.0280341145793343	1.0390691388291e-07	0.172007064429669	0.421710444506046
S10563	0.0276208771413474	0.0468266467784529	0.230939786599698	0.0302020022970643	0.0360433604320397	0.0288419476953808	4.92096589516958e-09	0.172893154997373	0.426632219137678
S10574	0.0100573625554339	0.0660370542328621	0.241595201425891	0.0283953508561331	0.0358774048643327	0.0250708502170872	3.74358263649288e-09	0.168849496122628	0.424117275982049
S10576	0.020700850713041	0.0540052231353823	0.218967709205154	0.0274614922089441	0.0360355385824644	0.0287573923694903	1.44317807683818e-07	0.177926237563911	0.436145411903806
S10578	0.0115318315361998	0.0607598524427422	0.221518243341158	0.0284117334749458	0.0339872707875636	0.0288038669271231	2.47032815883878e-09	0.175409750827156	0.439577448192784
S10579	0.00474355794827716	0.0721767397364532	0.225987868230823	0.02919446717447	0.0345387782514094	0.0264748828232987	2.34691342323486e-09	0.174626399147591	0.432257304340764
S10582	0.0263208992379844	0.0523068831476762	0.226444290436741	0.0275313984595997	0.0341010631856423	0.031542848998549	1.47523009883881e-07	0.170604489917979	0.431147979092818
S1059	0.0260095541374668	0.0502318732215567	0.228106160620894	0.030797770492238	0.033641619281841	0.0287730199758071	5.77215909893646e-08	0.175691407361679	0.426748537186926
S10599	0.0241927450852505	0.0489642059868905	0.230241343224681	0.0234574735689766	0.0343292158951584	0.0282885801035868	5.08411259509796e-09	0.17543731899325	0.435089112058094
S10611	0.00856669933669794	0.0660290565234862	0.234103456680489	0.0279267176671369	0.0349401539361831	0.0271165267065075	7.8240139478617e-07	0.173217828343782	0.428098778404322
S10614	0.0169331876037038	0.0553840924820279	0.22528642343647	0.0279786457243803	0.0370818295503924	0.0287827695076384	1.31300736213285e-09	0.172877340115394	0.435675710266987
S10624	0.0102581209722189	0.0725608805684311	0.228324543467254	0.0298791354372515	0.0313427056953835	0.0317311378393932	1.80772038898224e-08	0.178183352913371	0.417720105029493
S10632	0.0216010159968076	0.0563828203909741	0.22305665067859	0.0236284874039847	0.0383439673753957	0.026385988784384	6.72229564443293e-09	0.179896120019946	0.430704942627622
S10634	0.0250064789862828	0.0554273216663172	0.231700350632128	0.027740030323148	0.0376230722015338	0.0234689464178993	2.19300475204404e-08	0.171380916362268	0.427652861480375
S10638	0.025623376111563	0.0462972730030714	0.234191912035635	0.0289684235265134	0.0338491777018495	0.0286272053948625	2.5486035139884e-09	0.174704844563459	0.427737785114442
S10644	0.0145496232970783	0.060340445448088	0.24715677687961	0.0261414166020305	0.03705672913357	0.0242146045248707	4.76343803785657e-09	0.168745508638877	0.421794890712437
S10649	0.0161810365661865	0.0572124888170531	0.221366972498695	0.0293362174268894	0.0343692252384844	0.0298113938513655	1.8204457394632e-07	0.173788388451838	0.437934095104915
S10652	0.0282175053119408	0.047963806693629	0.208895235454488	0.0285089879976984	0.0353196368186118	0.030471065730243	3.13933602196795e-09	0.180111773571433	0.44051198528262
S10654	0.0181572154542583	0.0589093974468899	0.231424738763968	0.0255547968113535	0.0347494198010114	0.0258563487007937	2.69797860285513e-08	0.174129257545573	0.431218798496366
S10655	0.0101947301426316	0.0644373393920875	0.23390339444803	0.0284461743141344	0.0358640590618198	0.0281444615937682	2.22186697109098e-09	0.172110406010525	0.426899432815137
S10656	0.0166330588970751	0.0556054879035101	0.239588685908842	0.0288687096637235	0.0331420097692525	0.0284115239189097	9.19698797607848e-09	0.169254570647343	0.428495944094356
S10657	0.0235343142873395	0.0515354634142944	0.220828176672633	0.0295128267859892	0.0326277867411673	0.0314987596851897	2.96305816790973e-09	0.17798363044892	0.432479039001409
S10658	0.0221164875315162	0.0558616756046404	0.236668237586871	0.0276399797115771	0.0354000690286755	0.0251562395379786	4.78441636715478e-09	0.168270733171694	0.42888657304263
S10660	0.0113682059825405	0.0651130675315053	0.231677671145661	0.0313955994189685	0.0388163708814579	0.0232050033728451	6.0217350690757e-09	0.178735105350039	0.419688970295248
S10661	0.018645271951449	0.060781939903528	0.240144558482316	0.0276361582478069	0.0348388256020653	0.0267547771835959	3.24057517002098e-09	0.170647923456572	0.420550541932092
S10676	0.0191983271052713	0.0576183505384737	0.218059201163888	0.0259856309687904	0.0275165363586615	0.0340592424249512	1.19811549879542e-08	0.174721408717073	0.442841290741737
S1068	0.0299336769238338	0.0485257757655446	0.235790918961655	0.0291273202214333	0.0358275484586066	0.0260679702970155	4.16104829055073e-09	0.17053872443566	0.424188060775202
S10681	0.0195063804166436	0.0565264718451001	0.215873124875821	0.0296984313772635	0.0356380939851918	0.0273865871217154	3.57833255038123e-09	0.180629999913648	0.434740906886284
S10686	0.0125338958305946	0.0668974896534102	0.21980290192961	0.0277766994383844	0.0356321362478994	0.0268677066276068	3.30945356873207e-08	0.176883911169313	0.433605226008645
S10688	0.0188836887484451	0.0545721858666743	0.252129090458434	0.0256722553290541	0.0340478070559909	0.02566300235016	3.25435299595844e-08	0.168656588876505	0.420375348771207
S10690	0.0114175201695556	0.0647298926130538	0.218717109737173	0.0295043642071698	0.036925932594561	0.0265954035311794	1.69455021045498e-09	0.180760677008635	0.431349098444123
S10698	0.018893303725361	0.0572541136511016	0.240145625422613	0.0272555795169381	0.0354737172002509	0.0252358112061723	2.41497092626283e-08	0.170154631925455	0.425587193202399
S107	0.0115496582722152	0.0637499875734681	0.23824656957528	0.0313924828880313	0.0338724976167003	0.0289699237096758	1.34576199279613e-10	0.171094331364013	0.42112454886604
S10703	0.015976498670365	0.0554801082940937	0.239824030685026	0.0305090171395954	0.0358916094555024	0.0254202061580849	9.58509519906945e-08	0.171877796781914	0.425020636964466
S10726	0.0283300909735491	0.0510051849329148	0.23321725247389	0.0271071339091074	0.0349851268667568	0.0268882598979147	4.88834992298527e-10	0.173303342133216	0.425163608323817
S10729	0.0181439795867599	0.0592259724978885	0.223509038048472	0.0275850285396002	0.0355215487363226	0.0290832896416007	1.75643344470854e-09	0.178284388924519	0.428646752268403
