B.cells.naive	B.cells.memory	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.CD8	Macrophages.M0	Macrophages.M1	Macrophages.M2	Mast.cells.resting	Mast.cells.activated	otherCells
S10001	0.0513139199260955	0.0195599229683695	0.0136646876349186	1.16722439591673e-06	0.10855163721524	0.0671615442146378	0.00726529733246067	0.0262448843371157	0.0573614105400855	0.00692968729413929	0.031209259508483	0.610736581804059
S10006	0.0508275323355805	0.0221372089103997	0.00810701257383998	8.67168284516715e-08	0.108116130168185	0.0681890134035297	0.00679094963544776	0.0259226314373635	0.0561041022193579	0.00755066111128588	0.0320966513720105	0.614158020116171
S1001	0.0473483673477577	0.0217234390063389	0.00714768879517403	1.20038048736652e-07	0.110026517239821	0.073072457388326	0.00616421884791986	0.0262184954103027	0.0590700512575563	0.0104597754803849	0.02713194092885	0.61163692825952
S10010	0.0422653137862277	0.0233313406692299	0.00874743476263152	5.02756737201825e-08	0.106535295789212	0.0728143111241258	0.00903924247284031	0.0259421834472384	0.0598367008452908	0.00849061716295268	0.0287269109997075	0.614270598664869
S10011	0.0490131181511708	0.0215569651447986	0.0139390006108447	4.48211586198039e-08	0.108247088179357	0.0681279072393097	0.00867993061177548	0.0258840476129992	0.0568808759141327	0.00849332279324429	0.0281202572251753	0.611057441696034
S10014	0.0467933616392181	0.021363471209234	0.00858527383696012	4.6275963486565e-06	0.11142905835661	0.0671835197199062	0.00705387027449579	0.026669450063733	0.0576323164372842	0.0114604670193911	0.0292545770693615	0.612570006777457
S10026	0.0417820710540595	0.0289944527679618	0.0123084973502482	1.79428064673224e-05	0.110475983289269	0.0676163683003442	0.00692596652426816	0.0245861133882012	0.0600933514435342	0.00980754724833986	0.028527970124954	0.608863735702352
S10032	0.0523383487082698	0.0201510518334606	0.0101604806588063	1.27617842848068e-05	0.109244517861537	0.0662448331568842	0.00688548200673285	0.0274349040409248	0.060486680482373	0.0110711753673782	0.0262145511349406	0.609755212964408
S10036	0.0411517996910754	0.0254152770312799	0.0100896138070437	3.33219406146001e-07	0.106620771488882	0.0681885927179334	0.00560222955823422	0.0262183668222297	0.0595421944681043	0.00997792726122957	0.0310240276695072	0.616168866265075
S10042	0.0474616144871733	0.0231825881886992	0.00964275810196072	5.42347296576393e-07	0.110169618317601	0.0687769529052922	0.00691637309797761	0.0265114095553761	0.0579156912515189	0.0137560245090773	0.0283635010613039	0.607302926176724
S10044	0.0436203364054997	0.0269945856741342	0.0117566860706214	1.56420763283829e-07	0.113064319890105	0.0684655636800883	0.00679923236490118	0.0253312620649767	0.0576896909035735	0.0119067218795693	0.0273103421510613	0.607061102494706
S10049	0.048863092605973	0.0236228700245202	0.00993727013571087	4.70926086829883e-08	0.112447668682123	0.0725863490476061	0.00632766099001167	0.0250409759969796	0.0577808615157604	0.0113507441694355	0.0272356335845497	0.604806826154721
S10057	0.043622141415589	0.0255077473444769	0.00741786295233115	1.49396195623822e-07	0.113452336524335	0.0706303633103085	0.00683081069460297	0.0271172357644358	0.05595161468918	0.00705063204940352	0.0321924757774436	0.610226630081698
