naive_B_cell	memory_B_cell	CD14_positive_monocyte	CD16_positive_monocyte	CD56dim_natural_killer_cell	CD56bright_natural_killer_cell	neutrophil	CD4_positive_alpha_beta_T_cell	CD8_positive_alpha_beta_T_cell	otherCells
S10001	0.0286342730173393	0.0539452879831031	1.34821218720338e-07	0.00838090048879485	6.68640359393275e-07	0.0690783671457628	0.23652776463713	0.281571476507924	0.00888861553304835	0.312972511225319
S10006	0.0313689305987154	0.051974371639021	7.82227765640755e-09	8.59356844047747e-05	0.00851761984218213	0.0812329607470261	0.236985312125795	0.277588047984544	0.00650173281280189	0.305745080743232
S1001	0.0181502720144955	0.05927289944278	4.39088043976649e-07	0.00206219590442921	0.00636651382651162	0.0901755636414461	0.237530825481455	0.278852543011142	0.00770751786217458	0.299881229727522
S10010	0.00778261449474533	0.0658487137238228	4.95895255478143e-10	0.00291877721049843	0.000991113328896686	0.0840919813586712	0.256318744908301	0.270813232806658	0.00962843655143936	0.301606385121072
S10011	0.0251292284601199	0.0555955958961283	2.53858642948737e-08	0.00688749134176279	3.08622442005639e-07	0.0743422570286882	0.238774570858299	0.285117049756055	0.00891111375995673	0.305242358890684
S10014	0.0197630045655095	0.0640146706086234	2.39130245673276e-08	0.00244367225992079	0.00733670063099058	0.0799636639794476	0.238090136124461	0.275388460485076	0.00783691299944802	0.305162754433498
S10026	0.0119214685700261	0.0664586772350437	3.14681476254335e-08	3.80814482036552e-07	0.0112507093030637	0.0807489792284156	0.245726871757246	0.283158511010168	0.00597362755705018	0.294760743056357
S10032	0.0286520665338346	0.0506032294624068	4.07932278661939e-08	0.00774786071090247	0.00795809940793441	0.0838566917121532	0.23940204829262	0.271393379604089	0.00560497678705128	0.304781606695781
S10036	0.0121202001947244	0.0659542965217771	1.06523716632254e-08	2.54245644209927e-08	0.0101222987579935	0.0792959517868896	0.237428523912492	0.280781867221652	0.00580211403762881	0.308494711489906
S10042	0.0289277111864301	0.0496454646955946	3.57540735345427e-08	0.00125052715230591	0.0053508772398417	0.0884358632690165	0.244939043117859	0.27270173264922	0.00659316272175145	0.302155582213907
S10044	0.0155583228727344	0.0625710026508359	6.36579014690924e-07	4.22071425004453e-06	0.00748987086421373	0.0813207569204971	0.246318928441551	0.284144774066798	0.00604534267863293	0.296546144211472
S10049	0.0199316421738452	0.0620023568125468	5.40194226722583e-08	5.83161646376106e-05	0.0114813931409581	0.0781944047689138	0.236186352682333	0.288058792447404	0.00910323869068029	0.294983449099258
S10057	0.0163259674340421	0.068759653616101	1.31034421093412e-08	0.00402484177859957	0.00180116547858478	0.0826533394928803	0.221875108555971	0.278217680173086	0.0111156842507759	0.315226546116518
S10062	0.0172408821950752	0.0628460231675955	2.30061828657117e-07	0.00626497811101247	0.00424341098345397	0.077808638588809	0.236911370985534	0.28292330087444	0.00966921382530255	0.302091951206948
S10066	0.01114198179148	0.0663562395315608	9.50718951809545e-08	0.00397630990473441	3.17602449942539e-07	0.0661925294624966	0.257668013778457	0.280090331794917	0.00960268459290517	0.304971496469104
S10067	0.0218608334300953	0.059944635129094	1.0761919219927e-08	0.000900052072546693	0.0105820791438906	0.0902819269412562	0.226490634462691	0.290931851094305	0.00753415598740074	0.291473820976801
S1007	0.0312086592105229	0.0506748954206401	5.55402373537128e-09	0.00616382434768745	0.00747407539277025	0.0804217377774352	0.228287977653858	0.275524077471665	0.0067444926933077	0.31350025447809
S10073	0.0237787128832411	0.0561221767949199	1.88637854127536e-08	0.00286400023497815	2.28057514273739e-06	0.0843305910905282	0.236836836396138	0.291892347033166	0.0110732239630299	0.29309981216507
S10077	0.0278313072450581	0.0591086067275947	2.422339322484e-10	0.00968760061908922	0.00135063889273388	0.0775697721533801	0.23047062441433	0.2725790708357	0.00921932333335685	0.312183055536524
S10080	0.0311218051073022	0.0497048619740271	4.51198439017482e-08	0.00803288452222148	3.59776706685917e-06	0.0832466269082853	0.236375206526494	0.271221969714196	0.0104736733794356	0.309819328981128
S10082	0.0219290469445254	0.0606168971763838	9.27470591393811e-08	0.0037047900789643	0.00116726810136926	0.0703058700831797	0.240079523698078	0.290405055101386	0.0110855593825991	0.300705896686456
S10087	0.030608285467733	0.0542364605716115	6.49665876012494e-09	0.00440151099906166	0.00955231069037052	0.0750430049219326	0.231558256255795	0.286456375180884	0.00937614253339025	0.298767646882563
S10089	0.0249797019329763	0.0574580205284084	3.22266541257606e-07	0.00314202679786879	0.00840325749784776	0.0753933690428529	0.236057332081532	0.275899143806035	0.00967993509153921	0.308986890954398
S1009	0.0356874021832458	0.0516768797748635	5.99469468941501e-08	0.00390200370188217	1.14376728182593e-08	0.07596191864212	0.228759649482698	0.286829009434175	0.0139797328652541	0.303203332531142
S10090	0.0237117854534986	0.0500987055572778	7.85755833813888e-09	0.00512063089123357	8.88022644246386e-05	0.0762816167091084	0.23521383852215	0.285176168852436	0.0122797530359719	0.31202869085634
S10093	0.0160956173046387	0.0603067524231594	4.60156319545213e-08	0.00275211230390908	0.00440425473396548	0.0780597436301641	0.244367800113565	0.271270623267188	0.00585718850377875	0.316885861704
S10094	0.0183908317483255	0.0603254101025749	3.17803319929763e-08	0.00446459720903255	0.0064232550381593	0.0865879993567145	0.241163727419337	0.274922659924464	0.00511680535707552	0.302604682063985
S1010	0.0234399749858079	0.0597606096194177	1.93749828375352e-08	0.00638128116704844	5.0201972088276e-05	0.0798145116286212	0.229312137818874	0.28283017193625	0.0113289508575815	0.307082140639328
S10111	0.0174553324717677	0.0595487494661526	4.41440536762675e-08	0.00101344561239979	0.00729047408166346	0.0860001991331468	0.232164280367725	0.29321174665954	0.00813742171183491	0.295178306351716
S10116	0.0248766050267647	0.0578553745470404	1.36739436712578e-07	0.00990829835402394	8.96538384198303e-07	0.0870763632693915	0.211548983327754	0.288481180224101	0.0127485730719478	0.307503588901156
S10119	0.0226770388014914	0.0599832601617581	1.75669450728147e-08	0.00304909264302966	0.00650870286310772	0.0787282034675407	0.227950300614271	0.28775129498726	0.0100537019600025	0.303298386934594
S10121	0.0219055596230903	0.0590760680522725	4.08214303736354e-09	0.00347831255563459	0.00925534027070839	0.083123333757341	0.233279949538667	0.27817033822154	0.01170935252732	0.300001741371284
S10130	0.0204230458659872	0.0601606157639961	1.69091980561813e-08	0.00622391393330923	0.00443013310812482	0.0832028579484703	0.240474295980382	0.265450501071422	0.0089821206120489	0.310652498807061
S10140	0.0323849819035466	0.0519708353942464	1.46703635637836e-08	0.00145203278553753	0.00520419672337885	0.0815314449145338	0.250586224353444	0.263693565018592	0.00804479148479149	0.305131912751565
S10142	0.0271919971564693	0.0590616976268146	1.07110373840442e-08	0.00204426262131696	0.0101312257047393	0.105538271908649	0.219117695221343	0.273517835448494	0.00374539599094998	0.299651607610187
S10150	0.0318797743144358	0.0413712074032077	1.29148082520833e-08	0.0048417227892744	0.00060461318444293	0.0908298678866244	0.259873132298732	0.247375938046554	0.00917892059057399	0.314044810571347
S10155	0.0265541219293611	0.0527509587148969	2.72952107241177e-10	0.00249052287717825	0.00225487242744251	0.0838095681747648	0.234635038255641	0.287126351612242	0.00840902243068193	0.30196954330484
S1016	0.00988970271994625	0.0699040117660223	7.28476515075638e-10	0.00416883154716804	0.0104888815548069	0.0807462319905812	0.2381294884148	0.277227338216567	0.00833797284849446	0.301107540213138
S10163	0.0378814998697308	0.0421254804510676	2.0361479962535e-07	0.00886727544314498	6.73970203566598e-08	0.0799956482789794	0.239741667129877	0.27143228039016	0.011902898718027	0.308052978707194
S10167	0.0287774473079614	0.046119834714827	1.23585691243327e-07	0.000672432833726342	0.00341970527005133	0.0908370233564497	0.237540144016803	0.27276256672327	0.0113193359758694	0.308551386215351
S10168	0.024493897785153	0.0564645551925388	7.89829950225568e-08	0.00209279769470019	0.0110973493877018	0.0952269463699872	0.226016881857369	0.278467395526124	0.00757341445740074	0.29856668274603
S10173	0.0299200363116844	0.0559632983775459	7.77881049527335e-09	0.00326789833902693	0.00262092836633764	0.0770033341391896	0.2344197738306	0.291535161712059	0.0103549324993433	0.294914628645403
S10175	0.0245934976844493	0.056142050900826	1.88281389137915e-08	0.00237645320971989	0.0077578072282797	0.0881580635774709	0.235989963065913	0.276996715859197	0.00514305486325243	0.302842374782753
