CD19	naive_B_cell	930
CD79A	naive_B_cell	973
CHMP7	naive_B_cell	91782
CNOT1	naive_B_cell	23019
IL4R	naive_B_cell	3566
IRS1	naive_B_cell	3667
MS4A1	naive_B_cell	931
OSBPL10	naive_B_cell	114884
PAX5	naive_B_cell	5079
PTPRK	naive_B_cell	5796
RPL7	naive_B_cell	6129
SIDT1	naive_B_cell	54847
SLC38A1	naive_B_cell	81539
TCL1A	naive_B_cell	8115
TRAF3IP2	naive_B_cell	10758
TRAK1	naive_B_cell	22906
COL4A3	memory_B_cell	1285
SCRN1	memory_B_cell	9805
SETBP1	memory_B_cell	26040
TNFRSF13B	memory_B_cell	23495
WEE1	memory_B_cell	7465
ASGR2	CD14_positive_monocyte	433
CACNA2D3	CD14_positive_monocyte	55799
CASP1	CD14_positive_monocyte	834
CCR2	CD14_positive_monocyte	729230
CD1D	CD14_positive_monocyte	912
CES1	CD14_positive_monocyte	1066
CSTA	CD14_positive_monocyte	1475
DPYD	CD14_positive_monocyte	1806
FMO5	CD14_positive_monocyte	2330
FXYD6	CD14_positive_monocyte	53826
GAS7	CD14_positive_monocyte	8522
NRG1	CD14_positive_monocyte	3084
NRGN	CD14_positive_monocyte	4900
RETN	CD14_positive_monocyte	56729
RNASE4	CD14_positive_monocyte	6038
S100A12	CD14_positive_monocyte	6283
SMARCD3	CD14_positive_monocyte	6604
TFEC	CD14_positive_monocyte	22797
TLR5	CD14_positive_monocyte	7100
ASGR1	CD16_positive_monocyte	432
CALML4	CD16_positive_monocyte	91860
CDKN1C	CD16_positive_monocyte	1028
CHST7	CD16_positive_monocyte	56548
CLCF1	CD16_positive_monocyte	23529
FARS2	CD16_positive_monocyte	10667
FCHO1	CD16_positive_monocyte	23149
FCN1	CD16_positive_monocyte	2219
FGR	CD16_positive_monocyte	2268
GIMAP4	CD16_positive_monocyte	55303
HAGH	CD16_positive_monocyte	3029
HCK	CD16_positive_monocyte	3055
KLHL18	CD16_positive_monocyte	23276
LILRA5	CD16_positive_monocyte	353514
LILRB1	CD16_positive_monocyte	10859
MAPK7	CD16_positive_monocyte	5598
MTMR11	CD16_positive_monocyte	10903
MTSS1	CD16_positive_monocyte	9788
NAGA	CD16_positive_monocyte	4668
NOTCH4	CD16_positive_monocyte	4855
NUDT18	CD16_positive_monocyte	79873
OLFM1	CD16_positive_monocyte	10439
RRAS	CD16_positive_monocyte	6237
SF3A3	CD16_positive_monocyte	10946
SFTPD	CD16_positive_monocyte	6441
SLC7A7	CD16_positive_monocyte	9056
TAGLN	CD16_positive_monocyte	6876
TBC1D8	CD16_positive_monocyte	11138
