	CD38.negative.naive.B.cell	memory.B.cell	CD14.positive..CD16.negative.classical.monocyte	cytotoxic.CD56.dim.natural.killer.cell	mature.neutrophil	memory.CD4.positive.alpha.beta.T.cell	CD4.positive..alpha.beta.T.cell	memory.CD8.positive.alpha.beta.T.cell
S18579	0	0.999941192995923	0	0	5.88070040773842e-05	0	0	0
S1858	0	1	0	0	0	0	0	0
S18580	0	0.994624099254731	0	0.00537590074526859	0	0	0	0
S18583	0	1	0	0	0	0	0	0
S1859	0	0.988858631688021	0	0.0111413683119794	0	0	0	0
S18591	0	0.993687402011743	0	0.00631259798825732	0	0	0	0
S18594	0	0.996808492767369	0	0.0018183757480366	0.00137313148459462	0	0	0
S18595	0	1	0	0	0	0	0	0
S18606	0	1	0	0	0	0	0	0
S18619	0	1	0	0	0	0	0	0
S18620	0	1	0	0	0	0	0	0
S18621	0	0.996311761231002	0	0.00368823876899779	0	0	0	0
S18626	0	0.994761093605035	0	0.0052389063949655	0	0	0	0
S18628	0	1	0	0	0	0	0	0
S18629	0	0.999959956383663	0	0	4.0043616337442e-05	0	0	0
S1863	0	0.999329301893934	0	0	0.000670698106065587	0	0	0
S18630	0	0.998570437342003	0	0.00142956265799737	0	0	0	0
S18637	0	1	0	0	0	0	0	0
S18640	0	1	0	0	0	0	0	0
S18645	0	0.998362198055562	0	0.00163780194443757	0	0	0	0
S18647	0	0.999028927935331	0	0.000971072064668719	0	0	0	0
S18652	0	1	0	0	0	0	0	0
S18658	0	0.999821438318211	0	0.000178561681788612	0	0	0	0
S18663	0	1	0	0	0	0	0	0
S18669	0	1	0	0	0	0	0	0
S18672	0	0.99963261944081	0	0	0.000367380559190276	0	0	0
S18677	0	0.993011152096902	0	0.00698884790309843	0	0	0	0
S18679	0	0.999961199894992	0	0	3.88001050079016e-05	0	0	0
S1868	0	1	0	0	0	0	0	0
S18680	0	1	0	0	0	0	0	0
S18685	0	1	0	0	0	0	0	0
S18687	0	1	0	0	0	0	0	0
S18693	0	0.997707862175057	0	0.00229213782494277	0	0	0	0
S18694	0	1	0	0	0	0	0	0
S18699	0	0.999835121675338	0	0	0.000164878324662112	0	0	0
S187	0	1	0	0	0	0	0	0
S18701	0	0.999276339781186	0	0	0.000723660218814319	0	0	0
S18702	0	0.999532136173306	0	0	0.000467863826694066	0	0	0
S18703	0	0.999681887103667	0	0	0.00031811289633293	0	0	0
