	B_cells	Blood_CD34._cells	Dendritic_cells	Eosinophils	Fibroblasts	Keratinocytes	Lymphatic_endothelial_cells	Macrophages	Monocytes	NK_cells	Neutrophils	Plasma_cells_CD138.	Platelets	Reticulocytes	Subcutaneous_Adipose	T_cells_CD3.	T_cells_CD4.	T_cells_CD8.	T_cells_Gamma_Delta	T_cells_Regulatory	Vascular_Endothelial_Cells
S581	0.0850273683988673	0.00672208656589077	0	0	0	0.024224326276084	0	0	0	0.0791261034804419	0.189102289106555	0	0.0911739561756312	0.45902229541505	0.05320693507288	0	0	0	0.0123946395085997	0	0
S5815	0.0873103880215947	0	0	0	0	0.0179944170387054	0	0	0	0.107853555457392	0.199522397507959	0	0.0797175735486615	0.451513920013289	0.0560877484123977	0	0	0	0	0	0
S582	0.0867581735236009	0	0	0	0	0.0235273619661482	0	0	0	0.0389995645094247	0.208545987066553	0	0.0731285394165994	0.48444467900418	0.0561777005606522	0	0	0.0107249998356231	0.0176929941172187	0	0
S5821	0.11006893900371	0	0	0	0	0.0138095814037098	0	0	0	0.112504062308527	0.185248333480859	0	0.0832982495828551	0.440860756921018	0.0542100772993225	0	0	0	0	0	0
S5822	0.0694472367910876	0	0	0	0	0.0161992480360408	0	0	0	0.0549656789245793	0.1895764673528	0	0.0890825060201152	0.531604278076047	0.0478360019192796	0	0	0.00128858288005001	0	0	0
S5823	0.0747243827301983	0	0	0	0	0.0136299374440194	0	0	0	0.00465537669315251	0.203482465683046	0	0.0725679482529143	0.49605457195462	0.0429789871337766	0	0	0.0637939371707783	0.0281123929374948	0	0
S5827	0.116711154894315	0	0	0	0	0.013926451347143	0	0	0	0.074804940526047	0.208179823160474	0	0.0787985825565951	0.425971820290559	0.0510696406362343	0	0	0.00390011642625713	0.0266374701623759	0	0
S5833	0.111041563363446	0	0	0	0	0.0118086196172046	0	0	0	0.107569070726062	0.180104010016789	0	0.077962796768372	0.453648637629714	0.0578653018784117	0	0	0	0	0	0
S5844	0.0800484551943259	0.00916528006748795	0	0	0	0.0176427512606615	0	0	0	0.15562970975775	0.155661314276947	0	0.083817824760305	0.442063762152355	0.055970902530167	0	0	0	0	0	0
S5846	0.117494753964445	0	0	0	0	0.0129627412309412	0	0	0	0.121924105776206	0.192308160753732	0	0.0876283733325717	0.409078862238233	0.0586030027038717	0	0	0	0	0	0
S5852	0.11178190352965	0	0	0	0	0.0112317994319754	0	0	0	0.105872259112448	0.157784724400945	0	0.0843449048649916	0.433423234249683	0.0560801553348003	0.000548089871184446	0	0.0389329292043237	0	0	0
S5853	0.0923454324330888	0	0	0	0	0.0129868690800532	0	0	0	0.105049455181054	0.18344687272485	0	0.093264771982048	0.459771490912707	0.0531351076861979	0	0	0	0	0	0
S5863	0.110852722591462	0	0	0	0	0.0150703528003592	0	0	0	0.0692037071032314	0.205224748770264	0	0.0843427919934831	0.451257349795618	0.0518343052369635	0	0	0	0.0122140217086195	0	0
S5877	0.124310245738105	0	0	0	0	0.0131363385252924	0	0	0	0.0864447115199223	0.179678266945856	0	0.0664422646927467	0.452154434330587	0.0507253405732536	0	0	0.0271083976742368	0	0	0
S5881	0.0985569298944626	0	0	0	0	0.0167639826575032	0	0	0	0.0560764466859755	0.246999221425117	0	0.0729621132117571	0.443376019505037	0.0474917505419427	0	0	0	0.0177735360782047	0	0
S5883	0.0853838042146478	0	0	0	0	0.0156225090449946	0	0	0	0.0500662144793155	0.204199528532359	0	0.0777341471328375	0.475933329169416	0.0448942305010735	0	0	0.03062407247455	0.0155421644508054	0	0
S5884	0.0899235824139791	0	0	0	0	0.018953048618579	0	0	0	0.0927864012919629	0.18674340250231	0	0.0697616838529287	0.468945389566407	0.0522849090783034	0	0	0.0130989515729068	0.00750263110262279	0	0
S5889	0.117906990425258	0	0	0	0	0.016985315998765	0	0	0	0.0644066442833661	0.192713784776511	0	0.0688202253040477	0.44719401652012	0.0482086278583679	0	0	0.0292909591094103	0.014473435724155	0	0
S589	0.0671280176731678	0.00261118719666153	0	0	0	0.0233073136347617	0	0	0	0.115948768651454	0.185975533973353	0	0.0913929021521088	0.452188215923667	0.0563752139121993	0	0	0	0.00507284688262718	0	0
S5903	0.0734099542428079	0.00661495140463309	0	0	0	0.0130234057654039	0	0	0	0.107271037448674	0.20284366959502	0	0.0981185542517772	0.425998162942556	0.0493713162702489	0	0	0	0.0233489480788791	0	0
S5905	0.0985243754293725	0	0	0	0	0.00914264360583417	0	0	0	0.0677833827427077	0.199567539930407	0	0.0805562201581497	0.472603885329318	0.0456525203038117	0	0	0.0168059617055715	0.009363470794828	0	0
S5910	0.0855119528657687	0	0	0	0	0.0162171571084035	0	0	0	0.071136180949169	0.207783600994424	0	0.110357612627589	0.445795807560164	0.0539782568950414	0	0	0	0.00921943099943968	0	0
S5911	0.0849932087964031	0.0226494027864738	0	0	0	0.0179728762678199	0	0	0	0.106035644795377	0.199128096040452	0	0.099024109898733	0.414204138946105	0.0559925224686358	0	0	0	0	0	0
S5922	0.0583361454857793	0	0	0	0	0.0226704428659188	0	0	0	0.0947659441801001	0.22827397600587	0	0.0940712408533829	0.449661917405701	0.0522203332032482	0	0	0	0	0	0
S5923	0.100643382020177	0.0059134299698401	0	0	0	0.0148216052430904	0	0	0	0.128270437446725	0.160434878292051	0	0.0972476178438453	0.432442745109019	0.0596411532657155	0	0	0	0.000584750809537241	0	0
S5925	0.0731607501171276	0	0	0	0	0.0136870776139881	0	0	0	0.0610493289405497	0.223415982856405	0	0.0701900404581879	0.507204337760669	0.0512924822530733	0	0	0	0	0	0
S5929	0.0939518791780805	0	0	0	0	0.0147536090557542	0	0	0	0.028046752200746	0.191240082865503	0	0.0560643569984118	0.48038125442152	0.0438060058828013	0	0	0.0800508405344579	0.0117052188627256	0	0
S5931	0.0993057008968347	0	0	0	0	0.0132367360665208	0	0	0	0.096210296268484	0.187284939594549	0	0.0927522971106536	0.438906865458291	0.0500493278949118	0	0	0.0108336549046091	0.0114201818051457	0	0
