B Cells	Monocytes	NK Cells	Neutrophils	CD4 T Cells	CD8 T Cells
A	2.32164280806e-34	2.35496115556e-105	1.0	2.011143439e-121	5.30437420769e-28	0.0
B	2.36878297417e-34	2.32253970942e-105	1.0	1.95479318681e-121	5.04964706411e-28	0.0
C	2.01830754565e-34	3.28212766858e-106	1.0	1.10727685021e-121	1.80782428869e-27	0.0
D	2.20862123442e-34	3.39551724177e-106	1.0	8.14234344755e-122	1.66123302995e-27	0.0
E	1.14325404702e-34	9.17451159444e-106	1.0	1.03384218851e-121	5.94708442683e-28	0.0
F	4.73732983002e-35	4.28599853849e-106	1.0	4.68465912811e-122	3.43928972128e-29	0.0
G	4.11287158066e-34	5.6910831695e-105	1.0	1.17494065243e-120	4.92178813659e-28	0.0
H	4.65617740099e-34	1.11556545742e-104	1.0	4.98991756286e-121	5.29702587827e-28	0.0
I	5.16993458458e-34	1.33494024804e-104	1.0	5.8503217931e-121	6.0259243313e-28	0.0
J	7.60077235621e-34	1.36860228688e-105	1.0	8.76919296328e-122	5.865293556e-27	0.0
K	2.3072047281e-34	3.13101703555e-106	1.0	3.13930255225e-122	1.15368907432e-27	0.0
L	2.40518193229e-34	1.68728451202e-105	1.0	1.68472834431e-121	4.57653102829e-27	0.0
